id	Gene	Description	Tissue	Up/Dn	Fold Change (log2)	P value
1	SFTPC	surfactant protein C	Lung	-	6.58	0
2	CLDN18	claudin 18	Lung	-	6.41	0
3	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	Lung	-	6.18	0
4	KRT6A	keratin 6A, type II	Lung	+	5.85	0
5	AGER	advanced glycosylation end product-specific receptor	Lung	-	5.7	0
6	MMP12	matrix metallopeptidase 12	Lung	+	5.63	0
7	CLIC5	chloride intracellular channel 5	Lung	-	5.51	0
8	AQP4	aquaporin 4	Lung	-	5.29	0
9	CYP4B1	cytochrome P450, family 4, subfamily B, polypeptide 1	Lung	-	5.27	0
10	SPRR1B	small proline-rich protein 1B	Lung	+	5.25	0
11	AKR1B10	aldo-keto reductase family 1, member B10 (aldose reductase)	Lung	+	5.16	0
12	MMP1	matrix metallopeptidase 1	Lung	+	5.11	0
13	KRT6B	keratin 6B, type II	Lung	+	5.1	0
14	TMEM100	transmembrane protein 100	Lung	-	5.07	0
15	FABP4	fatty acid binding protein 4, adipocyte	Lung	-	5.03	0
16	GKN2	gastrokine 2	Lung	-	4.99	0
17	FAM107A	family with sequence similarity 107, member A	Lung	-	4.95	0
18	MT1M	metallothionein 1M	Lung	-	4.94	0
19	CPB2	carboxypeptidase B2 (plasma)	Lung	-	4.88	0
20	KRT17	keratin 17, type I	Lung	+	4.87	0
21	S100A2	S100 calcium binding protein A2	Lung	+	4.84	0
22	SERPINB5	serpin peptidase inhibitor, clade B (ovalbumin), member 5	Lung	+	4.83	0
23	GJB2	gap junction protein, beta 2, 26kDa	Lung	+	4.78	0
24	SPRR1A	small proline-rich protein 1A	Lung	+	4.77	0
25	KRT5	keratin 5, type II	Lung	+	4.73	0
26	GPM6A	glycoprotein M6A	Lung	-	4.71	0
27	GREM1	gremlin 1, DAN family BMP antagonist	Lung	+	4.69	0
28	COL11A1	collagen, type XI, alpha 1	Lung	+	4.68	0
29	TOP2A	topoisomerase (DNA) II alpha	Lung	+	4.66	0
30	GJB6	gap junction protein, beta 6, 30kDa	Lung	+	4.62	0
31	PEBP4	phosphatidylethanolamine-binding protein 4	Lung	-	4.61	0
32	DST	dystonin	Lung	+	4.52	0
33	TNNC1	troponin C type 1 (slow)	Lung	-	4.46	0
34	DSG3	desmoglein 3	Lung	+	4.45	0
35	FIGF	c-fos induced growth factor (vascular endothelial growth factor D)	Lung	-	4.43	0
36	MCEMP1	mast cell-expressed membrane protein 1	Lung	-	4.43	0
37	CLEC3B	C-type lectin domain family 3, member B	Lung	-	4.42	0
38	SPRR3	small proline-rich protein 3	Lung	+	4.36	0
39	FCN3	ficolin (collagen/fibrinogen domain containing) 3	Lung	-	4.34	0
40	PSAT1	phosphoserine aminotransferase 1	Lung	+	4.33	0
41	SPP1	secreted phosphoprotein 1	Lung	+	4.32	0
42	KRT15	keratin 15, type I	Lung	+	4.3	0
43	KRT14	keratin 14, type I	Lung	+	4.3	0
44	GPX2	glutathione peroxidase 2	Lung	+	4.29	0
