	num_samples	pval_counts	pval	pval_std	fc	fc_std	gene_id
SLC26A10	195	194	3.7167260573e-15	0.0025	-6.3088	1.6372	ENSG00000135502.16
GNL3L	195	194	7.23808929879e-10	0.0002	2.7225	0.537	ENSG00000130119.15
SIPA1L3	195	193	1.15912213178e-15	0.0026	3.4338	0.7086	ENSG00000105738.10
AC006449.2	195	193	1.54502114279e-09	0.0059	-7.6842	1.7133	ENSG00000279119.1
TMEM240	195	193	8.06333756771e-10	0.0011	-3.9984	0.9229	ENSG00000205090.8
SRSF5	195	192	2.90715282119e-08	0.0007	-2.2896	0.4856	ENSG00000100650.15
ST6GALNAC6	195	192	1.33794338553e-18	0.0063	-2.6889	0.7942	ENSG00000160408.14
LGI4	195	192	8.0339501083e-20	0.0083	-6.3879	1.3341	ENSG00000153902.13
PTH1R	195	192	5.41412573688e-18	0.0403	-5.5741	1.4807	ENSG00000160801.13
ARHGEF25	195	191	4.82088528819e-24	0.0251	-5.0487	1.4994	ENSG00000240771.6
GABBR1	195	191	6.3743417012e-12	0.0003	-3.3876	1.1328	ENSG00000204681.10
EIF2AK1	195	191	3.03250590783e-15	0.0992	1.808	0.4714	ENSG00000086232.12
HSPB2	195	191	4.93252158876e-14	0.0058	-4.9353	1.209	ENSG00000170276.5
ZBTB33	195	190	1.94214415598e-10	0.022	2.2209	0.5266	ENSG00000177485.6
ADAM33	195	190	1.92294157026e-13	0.0087	-6.6997	1.8509	ENSG00000149451.17
PPP1R14A	195	190	1.9794773944e-15	0.0413	-5.4246	1.3143	ENSG00000167641.10
TSPYL2	195	190	8.78217788904e-09	0.0101	-4.494	0.9138	ENSG00000184205.14
NFATC4	195	190	1.24179333917e-16	0.005	-3.9137	1.0886	ENSG00000100968.13
VMA21	195	190	1.00454186217e-09	0.0008	1.8463	0.5782	ENSG00000160131.13
ITGA7	195	190	3.15245479355e-18	0.063	-5.4343	1.3512	ENSG00000135424.15
IFFO1	195	190	9.62903673944e-14	0.0134	-3.8883	0.9325	ENSG00000010295.19
GRHL2	195	190			6.9696	1.2454	ENSG00000083307.10
TPM2	195	189	7.16503732866e-14	0.0611	-5.7896	1.2796	ENSG00000198467.13
ZSCAN18	195	189	1.30350229363e-24	0.0668	-4.0263	1.677	ENSG00000121413.12
SGCA	195	189	3.05958631142e-19	0.0902	-6.2491	2.1141	ENSG00000108823.15
SPEG	195	189	1.06316137855e-15	0.0362	-5.3832	1.8566	ENSG00000072195.14
MEIS1	195	189	6.55470605173e-12	0.0181	-3.8496	1.0998	ENSG00000143995.19
SPINT2	195	189	2.0984806262e-07	0.0837	5.1835	0.9349	ENSG00000167642.12
PPP1R12C	195	189	7.32099565583e-08	0.0782	-3.1129	0.579	ENSG00000125503.12
RBPMS	195	189	1.00776388762e-12	0.0728	-3.9178	1.0627	ENSG00000157110.15
C16orf45	195	189	1.11950159164e-15	0.1012	-3.4474	1.113	ENSG00000166780.10
CBX7	195	188	9.60003835425e-16	0.0954	-3.5108	1.0377	ENSG00000100307.12
RASGRP2	195	188	1.3018373579e-19	0.0161	-4.8185	1.396	ENSG00000068831.18
EZH1	195	188	1.04228544913e-10	0.0344	-2.2111	0.5595	ENSG00000108799.12
FAM219B	195	188	2.46463118993e-17	0.05	-2.0613	0.551	ENSG00000178761.14
IL11RA	195	188	2.13203754985e-10	0.0041	-3.7917	0.9844	ENSG00000137070.17
SEC31B	195	188	1.37272224927e-11	0.0136	-3.4136	0.9727	ENSG00000075826.16
APBB1	195	188	2.34593945015e-18	0.0719	-3.7782	1.3094	ENSG00000166313.18
TAGLN	195	188	4.1109517708e-15	0.069	-5.7774	1.6332	ENSG00000149591.16
TPX2	195	188	7.39485324677e-08	0.0989	6.2185	1.203	ENSG00000088325.15
LIMS2	195	188	8.64446451009e-19	0.0682	-5.0071	1.3542	ENSG00000072163.18
HAND2	195	188	5.40810084598e-21	0.0221	-7.8081	2.7455	ENSG00000164107.8
MYL9	195	188	1.75634937125e-17	0.0724	-5.9308	1.6116	ENSG00000101335.9
COX7A1	195	188	2.40775298307e-14	0.0744	-4.7036	1.1073	ENSG00000161281.10
GPRASP1	195	188	1.08827493153e-14	0.1005	-4.4891	1.2326	ENSG00000198932.12
PGM5	195	187	1.07295673297e-18	0.0895	-6.9509	2.3515	ENSG00000154330.12
ADCYAP1R1	195	187	1.79129353292e-13	0.1072	-6.6081	2.0165	ENSG00000078549.14
FAM83H	195	187	9.9099017819e-07	0.1034	6.6081	1.3421	ENSG00000180921.6
NUP155	195	187	1.56041519369e-14	0.0429	1.9117	0.7151	ENSG00000113569.15
TPM1	195	187	2.61383711271e-07	0.072	-4.5281	1.0213	ENSG00000140416.19
TNFSF12	195	187	1.71585635564e-12	0.0498	-3.4596	0.9093	ENSG00000239697.10
LMOD1	195	187	2.0556209405e-23	0.0936	-7.0041	2.177	ENSG00000163431.12
GPR162	195	187	3.16512256403e-09	0.065	-4.1427	1.0652	ENSG00000250510.7
SNRNP70	195	187	2.99817738757e-06	0.0025	-2.0454	0.3268	ENSG00000104852.14
GRIK5	195	187	3.02316938231e-18	0.1053	-4.9023	1.6723	ENSG00000105737.9
FHL1	195	187	1.03424173401e-12	0.1113	-5.8024	1.7187	ENSG00000022267.16
SAPCD2	195	187			5.867	1.2292	ENSG00000186193.8
ADCY5	195	187	5.75596317558e-22	0.0916	-6.1453	2.0969	ENSG00000173175.14
CASK	195	186	4.41485821406e-20	0.0609	2.0775	0.7453	ENSG00000147044.20
CCDC69	195	186	7.370388094e-16	0.0824	-4.3907	1.3368	ENSG00000198624.12
KCNMB1	195	186	2.0475938148e-13	0.0937	-5.6828	1.6959	ENSG00000145936.8
CALCOCO1	195	186	3.73374147038e-08	0.0481	-2.937	0.7106	ENSG00000012822.15
SSR1	195	186	4.8449187054e-09	0.0418	1.6763	0.4509	ENSG00000124783.12
C16orf86	195	186	6.66840072963e-09	0.0591	-2.8462	0.8003	ENSG00000159761.14
STARD9	195	186	6.87869189844e-10	0.0468	-4.0187	1.1407	ENSG00000159433.11
CORO6	195	186	3.74403726804e-16	0.0473	-6.2817	1.9026	ENSG00000167549.18
KANK2	195	186	3.20537327516e-13	0.1071	-4.0058	1.128	ENSG00000197256.10
RIC3	195	186	4.44330751071e-22	0.0057	-5.4666	2.3595	ENSG00000166405.14
PLEKHO1	195	186	2.31457553242e-11	0.0299	-3.912	1.0587	ENSG00000023902.13
