	num_samples	pval_counts	pval	pval_std	fc	fc_std	gene_id
RNPC3	19	19	1.26658940758e-19	0.0	-2.6134	0.5434	ENSG00000185946.15
STX16	19	19	4.39098272065e-20	0.0	-1.4668	0.3413	ENSG00000124222.21
CPA1	19	19	3.16419591685e-10	0.0	-5.3521	0.7299	ENSG00000091704.9
LUC7L3	19	19	1.50766253722e-09	0.0002	-1.5251	0.333	ENSG00000108848.15
PGA3	19	19	1.11982535035e-16	0.0	-5.8855	0.9339	ENSG00000229859.8
PNLIP	19	19	1.24992795458e-09	0.0	-5.6217	0.4741	ENSG00000175535.6
RTEL1-TNFRSF6B	19	19	1.22159815488e-10	0.0001	-2.467	0.7322	ENSG00000026036.20
CTRB2	19	19	1.23946109893e-07	0.0001	-4.9996	0.8379	ENSG00000168928.12
REG1A	19	19	1.60339107208e-08	0.0	-5.5469	0.581	ENSG00000115386.5
PGC	19	19	1.06606943426e-10	0.0	-5.2506	0.5564	ENSG00000096088.16
PNISR	19	19	3.29316240995e-36	0.0	-1.8961	0.4274	ENSG00000132424.14
LENG8	19	19	7.14244199519e-27	0.0001	-2.7374	0.637	ENSG00000167615.16
CLPS	19	19	1.65966469191e-06	0.0002	-4.9158	0.4921	ENSG00000137392.9
CRIPAK	19	19	2.35337236993e-09	0.0001	-1.7597	0.3286	ENSG00000179979.8
ZNF354B	19	19	1.50041743154e-08	0.0002	-1.5884	0.4673	ENSG00000178338.10
CELA3A	19	19	6.69541845195e-10	0.0	-5.5551	0.4844	ENSG00000142789.19
PRSS1	19	19	1.27420820091e-10	0.0	-5.9475	1.1457	ENSG00000204983.12
DMTF1	19	19	4.41814510323e-14	0.0	-1.7838	0.4158	ENSG00000135164.18
GP2	19	19	4.93415836849e-08	0.0	-5.2892	0.9628	ENSG00000169347.16
LIPF	19	19	1.90782885752e-07	0.0	-5.0357	0.7434	ENSG00000182333.14
PAN2	19	19	2.39559247577e-23	0.0001	-2.1663	0.5179	ENSG00000135473.14
GABBR1	19	19	6.15179207483e-12	0.0	-2.4726	0.5972	ENSG00000204681.10
RP11-793H13.10	19	19	1.10003903718e-08	0.0001	-1.8141	0.9417	ENSG00000267281.2
CTRB1	19	19	4.14060946765e-08	0.0	-5.2695	0.5509	ENSG00000168925.10
TTC14	19	18	1.37768733789e-09	0.0004	-1.9689	0.5202	ENSG00000163728.10
TDRD6	19	18	5.50745927127e-07	0.0032	-2.9933	1.0256	ENSG00000180113.15
CCNL2	19	18	2.86426122846e-19	0.0413	-2.3562	0.8633	ENSG00000221978.11
ATXN2L	19	18	9.93873378423e-13	0.1949	-0.8933	0.3317	ENSG00000168488.18
GGA3	19	18	2.02967811577e-10	0.0177	-0.8384	0.3021	ENSG00000125447.16
SEC31B	19	18	8.31209633419e-27	0.0128	-3.1325	1.0973	ENSG00000075826.16
TTN	19	18	3.05293763543e-09	0.0038	-1.7858	0.6249	ENSG00000155657.23
CCL2	19	18	3.24562854143e-13	0.0008	3.7399	1.9548	ENSG00000108691.9
ACAD8	19	18	2.50771921838e-08	0.0042	-1.006	0.3777	ENSG00000151498.11
APBB3	19	18	6.34043364876e-09	0.0018	-1.9084	0.5401	ENSG00000113108.17
ALB	19	18	4.5196023027e-05	0.0003	-4.2533	0.9287	ENSG00000163631.16
PILRB	19	18	1.68976145161e-06	0.0003	-2.227	0.7451	ENSG00000121716.18
TRIM52	19	18	5.92183302878e-12	0.0004	-1.3114	0.4441	ENSG00000183718.5
MZF1	19	18	1.39883118759e-13	0.0003	-1.9278	0.5393	ENSG00000099326.8
WDR19	19	18	5.98965173885e-11	0.0008	-1.7559	0.5072	ENSG00000157796.17
AMY2A	19	18	1.59339061565e-05	0.0005	-4.5978	0.5348	ENSG00000243480.7
LY6G5B	19	18	8.43314998149e-11	0.0391	-2.9465	1.0657	ENSG00000240053.8
REG1B	19	18	1.88830491045e-05	0.0005	-4.4581	0.4924	ENSG00000172023.7
