	num_samples	pval_counts	pval	pval_std	fc	fc_std	gene_id
ST6GALNAC6	181	181	2.75657914035e-19	0.0001	-2.7263	0.756	ENSG00000160408.14
TPX2	181	181	3.98836404049e-08	0.0001	6.283	0.7787	ENSG00000088325.15
SIPA1L3	181	181	5.80405233446e-16	0.0001	3.4414	0.6779	ENSG00000105738.10
EIF2AK1	181	180	1.01054815616e-15	0.0001	1.8315	0.4227	ENSG00000086232.12
ADAM33	181	180	1.30631605031e-13	0.0005	-6.8451	1.7265	ENSG00000149451.17
LGI4	181	180	5.31050538883e-20	0.0024	-6.4808	1.208	ENSG00000153902.13
SLC26A10	181	180	1.36675545309e-15	0.0026	-6.384	1.6062	ENSG00000135502.16
GNL3L	181	180	6.13531052132e-10	0.0002	2.7271	0.5322	ENSG00000130119.15
PTH1R	181	180	3.56818874457e-18	0.0003	-5.7869	1.3851	ENSG00000160801.13
ARHGEF25	181	180	3.194143866e-24	0.0001	-5.1124	1.4245	ENSG00000240771.6
HSPB2	181	180	3.53116568061e-14	0.0002	-4.9782	1.1274	ENSG00000170276.5
TMEM240	181	180	7.8091969567e-10	0.0003	-3.9857	0.9041	ENSG00000205090.8
AC006449.2	181	179	1.54502114279e-09	0.0061	-7.7306	1.7591	ENSG00000279119.1
ADCYAP1R1	181	179	3.14134187485e-14	0.0379	-6.846	1.7513	ENSG00000078549.14
ZBTB33	181	179	1.0354975811e-10	0.0002	2.2379	0.5067	ENSG00000177485.6
SAPCD2	181	179	6.78255756642e-07	0.0007	5.9537	1.0004	ENSG00000186193.8
IL11RA	181	179	1.04200092024e-10	0.0023	-3.8789	0.9276	ENSG00000137070.17
TSPYL2	181	179	5.96611226701e-09	0.0035	-4.5419	0.8333	ENSG00000184205.14
MTFR1L	181	179	4.32987843201e-13	0.0014	-2.1064	0.454	ENSG00000117640.17
NFATC4	181	179	4.36336741034e-17	0.0006	-3.9503	1.0509	ENSG00000100968.13
GABBR1	181	179	4.87009602317e-12	0.0002	-3.3932	1.1056	ENSG00000204681.10
ITGA7	181	179	1.84887358972e-18	0.0048	-5.4704	1.2407	ENSG00000135424.15
PPP1R14A	181	179	9.1531160033e-16	0.0019	-5.5099	1.2232	ENSG00000167641.10
CBX7	181	178	3.74265540699e-16	0.006	-3.5888	0.9227	ENSG00000100307.12
SPEG	181	178	8.49138313418e-16	0.0041	-5.399	1.8074	ENSG00000072195.14
