	num_samples	pval_counts	pval	pval_std	fc	fc_std	gene_id
PEAR1	513	485	1.02678542735e-10	0.0591	-3.7294	0.9882	ENSG00000187800.13
BTNL9	513	481	4.40875405606e-09	0.0643	-5.7045	1.5657	ENSG00000165810.16
KANK3	513	478	1.79648050659e-08	0.0673	-4.0363	1.0167	ENSG00000186994.11
TAL1	513	477			-4.2131	1.01	ENSG00000162367.11
ADCY4	513	476	1.38547854363e-07	0.064	-3.7599	0.855	ENSG00000129467.13
TCF21	513	474	4.21758003656e-10	0.0832	-4.7503	1.5802	ENSG00000118526.6
STARD8	513	473	1.45075150095e-08	0.0643	-3.0263	0.8545	ENSG00000130052.13
TBX3	513	471	2.02812712361e-08	0.0812	-3.6968	1.0339	ENSG00000135111.14
ARHGAP6	513	471			-3.7461	0.9856	ENSG00000047648.21
FCN3	513	469	4.35169796085e-09	0.0643	-5.7322	1.6246	ENSG00000142748.12
LIMS2	513	468	1.20144567388e-07	0.0692	-3.5935	0.985	ENSG00000072163.18
ACVRL1	513	463	2.56392956763e-07	0.0787	-3.1016	0.7959	ENSG00000139567.12
CORO6	513	463			-4.7605	1.1715	ENSG00000167549.18
RASGRP2	513	459			-3.5788	1.1713	ENSG00000068831.18
GOLM1	513	454			3.0822	0.9667	ENSG00000135052.16
ADRA1A	513	454			-5.4924	1.5694	ENSG00000120907.17
OCIAD2	513	452			2.8936	0.9335	ENSG00000145247.11
GPX3	513	450	1.95034750558e-07	0.0552	-4.0919	1.1694	ENSG00000211445.11
ADAM33	513	448			-4.5737	1.4766	ENSG00000149451.17
LIN7A	513	447			-2.9307	1.2032	ENSG00000111052.7
CA4	513	445			-5.4969	2.0001	ENSG00000167434.9
AOC3	513	444	9.73910946292e-08	0.0757	-3.3743	1.2353	ENSG00000131471.6
AGTR1	513	439			-3.8351	1.6283	ENSG00000144891.17
LCAT	513	439			-3.1607	0.9842	ENSG00000213398.7
NOVA2	513	438			-3.2695	0.9376	ENSG00000104967.6
GRASP	513	437	2.86693684569e-06	0.0636	-3.9216	0.9502	ENSG00000161835.10
ADARB1	513	436	1.52494122753e-06	0.0656	-2.81	0.8004	ENSG00000197381.15
FHL1	513	436	6.49383560392e-08	0.0839	-4.2171	1.3431	ENSG00000022267.16
INMT	513	433	1.61081842006e-08	0.0974	-4.3576	1.6873	ENSG00000241644.2
PTH1R	513	429			-3.9106	1.2045	ENSG00000160801.13
NOTCH4	513	429	4.30550750978e-06	0.0733	-3.1682	0.8246	ENSG00000204301.6
SLC11A1	513	429	6.2939692729e-06	0.0712	-4.1542	1.0799	ENSG00000018280.16
NPR1	513	425	4.99570363852e-08	0.132	-3.3833	1.2328	ENSG00000169418.9
TBX2	513	425	2.95904533145e-06	0.0666	-3.8703	1.0336	ENSG00000121068.13
ADAMTS8	513	424	1.19634595401e-07	0.0752	-5.0742	1.9016	ENSG00000134917.9
GALNT7	513	424			2.2024	0.8537	ENSG00000109586.11
GPR17	513	424			-4.8781	1.3693	ENSG00000144230.16
CLDN5	513	421	4.27668213354e-06	0.0888	-4.0842	1.2249	ENSG00000184113.9
SYN2	513	420			-4.4105	1.5916	ENSG00000157152.16
TOX2	513	419			-2.9832	1.0465	ENSG00000124191.17
HSPB6	513	418	9.77877794219e-07	0.1069	-3.8978	1.465	ENSG00000004776.11
