	num_samples	pval_counts	pval	pval_std	fc	fc_std	gene_id
TCF21	498	493	7.14414838769e-16	0.0394	-6.0188	1.5684	ENSG00000118526.6
ADGRD1	498	491	3.93109439956e-24	0.0314	-4.9889	1.5683	ENSG00000111452.12
INMT	498	489	2.90172134519e-15	0.0517	-5.9326	1.5614	ENSG00000241644.2
KANK3	498	487	4.33139251722e-12	0.0422	-4.8868	1.0354	ENSG00000186994.11
PEAR1	498	487	9.23456774967e-13	0.0283	-4.0202	1.0324	ENSG00000187800.13
STARD8	498	487	2.66136703661e-13	0.0383	-3.7911	1.0167	ENSG00000130052.13
PERP	498	486	1.74828141111e-17	0.0671	4.233	1.0409	ENSG00000112378.11
GPX3	498	486	1.32450879241e-11	0.0304	-5.1238	1.3062	ENSG00000211445.11
TNS2	498	484	5.39042604257e-11	0.0387	-3.4853	0.7686	ENSG00000111077.17
ADCY4	498	484	3.08550837079e-10	0.0281	-4.439	0.9186	ENSG00000129467.13
ARHGAP6	498	482	1.81984861013e-13	0.0489	-4.7354	1.1841	ENSG00000047648.21
AGTR1	498	482	1.18074365586e-12	0.0499	-4.944	1.6313	ENSG00000144891.17
RASGRP2	498	482	1.4754447354e-15	0.0718	-4.1812	1.2429	ENSG00000068831.18
ACVRL1	498	482	3.76355165484e-10	0.038	-3.6372	0.8826	ENSG00000139567.12
AOC3	498	482	1.82212487062e-13	0.061	-4.4883	1.3901	ENSG00000131471.6
ADAMTS8	498	481	2.1533324013e-12	0.0529	-6.7269	1.825	ENSG00000134917.9
NPR1	498	480	1.46785271178e-13	0.043	-4.4357	1.189	ENSG00000169418.9
ADH1B	498	480	1.05839519948e-15	0.0559	-6.6809	2.7443	ENSG00000196616.12
SCN7A	498	477	1.48442716267e-11	0.0504	-5.6186	2.0163	ENSG00000136546.13
NOSTRIN	498	477	3.57108150445e-10	0.0567	-4.3697	0.959	ENSG00000163072.14
FCN3	498	476	4.2737874566e-12	0.0554	-6.7552	1.6371	ENSG00000142748.12
LIMS2	498	476	1.78615160995e-09	0.0431	-3.9587	1.0168	ENSG00000072163.18
CA4	498	476	7.10359129098e-12	0.0584	-6.7613	1.981	ENSG00000167434.9
PTH1R	498	473	3.57009778814e-09	0.0422	-4.6945	1.1958	ENSG00000160801.13
DSP	498	473	3.0571097925e-09	0.0803	4.5404	1.0633	ENSG00000096696.13
TNXB	498	472	1.68370519541e-12	0.0578	-5.4739	1.5549	ENSG00000168477.17
TAL1	498	472	1.39475321674e-10	0.0636	-4.8093	1.2258	ENSG00000162367.11
ESAM	498	472	1.07416220137e-10	0.0504	-3.4426	0.8678	ENSG00000149564.11
MYO15B	498	471	6.93537122371e-11	0.0436	-4.3304	1.3365	ENSG00000266714.6
PVRL1	498	470	1.75161380987e-17	0.0772	5.084	1.3065	ENSG00000110400.10
SCUBE1	498	470	2.79667005949e-10	0.0696	-5.2989	1.6265	ENSG00000159307.18
GPR17	498	469	1.10984227513e-07	0.0463	-5.8444	1.4151	ENSG00000144230.16
CHRDL1	498	469	1.44157562236e-14	0.063	-5.1703	2.2514	ENSG00000101938.14
USHBP1	498	468	9.25876487982e-08	0.0552	-4.2601	0.9657	ENSG00000130307.11
HSPB6	498	467	1.96871614653e-10	0.0726	-4.9266	1.4135	ENSG00000004776.11
ADRA1A	498	467	4.28579407145e-08	0.0839	-6.5306	1.5854	ENSG00000120907.17
