	num_samples	pval_counts	pval	pval_std	fc	fc_std	gene_id
UVRAG	4	4	7.36973233156e-05	0.0001	0.991	0.5939	ENSG00000198382.8
IGSF6	4	4	9.76904251655e-06	0.0001	4.0335	0.321	ENSG00000140749.8
CD300LF	4	4	0.000285818160426	0.0002	3.9881	0.2249	ENSG00000186074.18
GMFG	4	4	0.000309430315959	0.0003	2.7827	0.8553	ENSG00000130755.12
LGMN	4	4	3.68960369223e-12	0.0	2.201	0.3891	ENSG00000100600.14
FAM19A5	4	4	7.0884771455e-05	0.0003	2.4343	2.6098	ENSG00000219438.8
PEX5L	4	4	1.42500048995e-07	0.0	-4.9779	0.4387	ENSG00000114757.18
TMSB4X	4	4	3.66837400243e-06	0.0	2.2227	0.3291	ENSG00000205542.10
ANKRD62	4	4	1.99846250762e-07	0.0	-5.2774	0.2784	ENSG00000181626.11
SS18L1	4	4	4.08568226884e-05	0.0002	-1.3193	0.2395	ENSG00000184402.14
RGS10	4	4	7.05090076621e-05	0.0	3.0752	0.0764	ENSG00000148908.14
GRPR	4	4	4.73797632205e-07	0.0	-5.5655	1.1161	ENSG00000126010.5
CTB-50L17.14	4	4	1.88406526765e-13	0.0	-5.6818	1.2283	ENSG00000267385.1
RAB40C	4	4	0.000119345870057	0.0001	-2.0688	0.2878	ENSG00000197562.9
FAN1	4	4	4.27938412334e-08	0.0	-1.8804	0.4172	ENSG00000198690.9
NRBP2	4	4	0.000136379128152	0.0003	-1.9698	0.3121	ENSG00000185189.15
MMP9	4	4	1.12939533555e-06	0.0002	5.7948	1.3871	ENSG00000100985.7
HN1	4	4	2.69985682527e-07	0.0001	2.5925	0.6359	ENSG00000189159.15
HLA-DQB2	4	4	5.39339249777e-05	0.0002	4.6721	0.2815	ENSG00000232629.8
KLK1	4	4	4.72751501623e-10	0.0003	-5.5386	1.4904	ENSG00000167748.10
SLC2A14	4	4	4.42145929399e-06	0.0001	-4.1228	0.8461	ENSG00000173262.11
VIPR2	4	4	5.26986988238e-12	0.0	-4.593	0.5251	ENSG00000106018.13
ACTR3B	4	4	9.98813180817e-06	0.0	-1.2317	0.1713	ENSG00000133627.17
ELK3	4	4	3.63859005694e-06	0.0001	2.1612	0.2289	ENSG00000111145.7
ZDHHC20	4	4	0.000178251803492	0.0003	1.0869	0.1342	ENSG00000180776.15
FAM63A	4	4	6.61205590763e-07	0.0	-1.8215	0.4197	ENSG00000143409.15
SNX20	4	4	5.52703575615e-05	0.0001	3.4847	0.7904	ENSG00000167208.14
CDH11	4	4	6.31831334308e-05	0.0001	3.8151	0.5971	ENSG00000140937.13
ECE2	4	4	5.77392645798e-07	0.0	-3.6347	0.8372	ENSG00000145194.17
KIRREL2	4	4	2.68942612238e-18	0.0	-5.2754	1.7762	ENSG00000126259.19
TMEM52	4	4	1.44047733799e-19	0.0	-6.321	1.3474	ENSG00000178821.12
ARF6	4	4	3.06986628118e-06	0.0	1.4592	0.2262	ENSG00000165527.6
ETS1	4	4	5.51327071439e-06	0.0003	2.1984	0.9757	ENSG00000134954.14
HID1	4	4	5.32463009796e-11	0.0	-2.9931	0.8573	ENSG00000167861.15
CD1A	4	4	1.6288874404e-05	0.0	5.5046	0.2737	ENSG00000158477.6
PLEKHH1	4	4	1.45624764904e-10	0.0	-3.3698	0.1428	ENSG00000054690.13
RBPJL	4	4	5.64532174322e-18	0.0	-7.9586	2.855	ENSG00000124232.10
COMTD1	4	4	2.78280792149e-08	0.0002	-2.7425	1.0593	ENSG00000165644.10
OSBPL2	4	4	4.38832992065e-05	0.0	-1.4281	0.1613	ENSG00000130703.15
CCDC64B	4	4	8.00014083919e-12	0.0	-4.1258	3.4367	ENSG00000162069.14
NECAB3	4	4	7.47955438486e-07	0.0	-1.8878	0.2159	ENSG00000125967.16
FAM49B	4	4	1.70463247932e-05	0.0002	1.3012	0.4081	ENSG00000153310.18
ACTB	4	4	1.73703159436e-05	0.0004	2.3425	0.3592	ENSG00000075624.13
ECHDC2	4	4	5.46042312599e-07	0.0	-2.3562	0.3019	ENSG00000121310.16
ZNFX1	4	4	1.02760976418e-05	0.0003	1.3912	0.2612	ENSG00000124201.14
SUB1	4	4	9.92839671581e-05	0.0003	0.8368	0.0672	ENSG00000113387.11
ZDBF2	4	4	6.87758708391e-07	0.0001	-2.0057	0.3658	ENSG00000204186.7
SPN	4	4	6.8493579728e-05	0.0003	3.7195	0.7273	ENSG00000197471.11
SRPR	4	4	0.000391120328754	0.0003	-1.7438	0.1262	ENSG00000182934.11
GDF10	4	4	2.96640798608e-08	0.0	-4.8916	0.5171	ENSG00000266524.2
NPL	4	4	1.01932539607e-06	0.0	2.6539	0.2298	ENSG00000135838.13
ADCY6	4	4	5.77938388696e-05	0.0002	-1.3971	0.6295	ENSG00000174233.11
