	num_samples	pval_counts	pval	pval_std	fc	fc_std	gene_id
PEAR1	59	57	1.27509848303e-10	0.0008	-2.8735	0.9217	ENSG00000187800.13
ADAM33	59	57	5.98894795099e-08	0.0051	-4.7292	1.2651	ENSG00000149451.17
TRIM3	59	56	1.21816981433e-08	0.0013	-1.8499	0.3528	ENSG00000110171.18
CAPRIN2	59	56	7.77447486571e-09	0.0259	-2.0099	0.4925	ENSG00000110888.17
CENPT	59	55	1.66046204468e-08	0.0055	-2.3734	0.5483	ENSG00000102901.12
TAF1C	59	55	8.18857244461e-08	0.0014	-2.1255	0.3737	ENSG00000103168.16
ABCA9	59	55	6.39739560038e-10	0.0041	-5.1953	1.2847	ENSG00000154258.16
CHRD	59	54	7.09605321644e-09	0.0029	-3.7389	0.9968	ENSG00000090539.15
RP5-966M1.6	59	54	2.40135110038e-08	0.0683	-3.3333	0.8976	ENSG00000243696.4
EME2	59	54	2.02499415859e-09	0.0162	-2.7563	0.7368	ENSG00000197774.12
LZTR1	59	53	6.13379234807e-06	0.0131	-1.3833	0.3157	ENSG00000099949.18
ENTHD2	59	53	8.74952474265e-08	0.0041	-2.1508	0.4663	ENSG00000167302.9
SEC31B	59	53	4.97269395158e-09	0.0161	-2.8528	0.8016	ENSG00000075826.16
APOD	59	53	3.69150980583e-08	0.005	-4.9833	1.537	ENSG00000189058.8
ADCY4	59	53	6.75188756286e-09	0.0458	-3.0218	0.7863	ENSG00000129467.13
RUNX1T1	59	53	3.82199278877e-07	0.0453	-2.5511	1.0149	ENSG00000079102.16
SRRM2	59	53	2.40000339936e-06	0.0013	-1.8233	0.4393	ENSG00000167978.16
TUBGCP6	59	53	7.62779677531e-07	0.0134	-1.677	0.4247	ENSG00000128159.11
KIAA0895L	59	52	1.20519576012e-08	0.0252	-2.8414	0.7704	ENSG00000196123.12
RTEL1-TNFRSF6B	59	52	1.81685810524e-06	0.0091	-2.6156	0.929	ENSG00000026036.20
GABBR1	59	52	1.43562950994e-08	0.1189	-2.8674	0.7807	ENSG00000204681.10
PRSS53	59	52	1.41243324711e-06	0.0466	-3.1486	0.9986	ENSG00000151006.7
CLMN	59	52	7.06668876928e-08	0.0736	-2.8455	0.9871	ENSG00000165959.11
LGI4	59	52	8.88698682263e-09	0.0082	-3.8473	1.2117	ENSG00000153902.13
AGAP6	59	52	5.09493270662e-07	0.1405	-2.3459	0.7268	ENSG00000204149.9
WDR27	59	51	1.49298688917e-07	0.1026	-2.5164	0.7561	ENSG00000184465.15
GALNT7	59	51	1.4935583625e-12	0.0545	2.235	0.9205	ENSG00000109586.11
LENG8	59	51	1.85943669795e-08	0.027	-2.6508	0.7576	ENSG00000167615.16
KSR1	59	51	1.24255073219e-07	0.0586	-2.0652	0.7937	ENSG00000141068.13
NPIPB5	59	51	5.543178292e-07	0.012	-3.0784	0.7579	ENSG00000243716.10
FAM65C	59	51	8.42660762476e-08	0.0253	-4.0346	1.3312	ENSG00000042062.11
