	num_samples	pval_counts	pval	pval_std	fc	fc_std	gene_id
TPX2	19	19	1.64834471382e-07	0.0002	5.6633	0.7926	ENSG00000088325.15
AMY2B	19	19	8.47401264064e-20	0.0	-4.1919	1.3727	ENSG00000240038.6
KPNA2	19	19	6.71505301318e-12	0.0	3.5735	0.6082	ENSG00000182481.8
PGC	19	19	2.14974278559e-09	0.0	-6.5321	1.2249	ENSG00000096088.16
YWHAZ	19	19	1.27596712476e-20	0.0001	1.5489	0.557	ENSG00000164924.17
PPAP2B	19	19	8.60486551039e-15	0.0	-2.5589	0.621	ENSG00000162407.8
PNISR	19	19	1.83087342884e-45	0.0	-2.1748	0.4416	ENSG00000132424.14
NPHP3	19	19	3.25019866787e-15	0.0001	-2.1139	0.628	ENSG00000113971.18
PHLDB1	19	19	1.87418204004e-19	0.0	-2.1427	0.6595	ENSG00000019144.16
RAI2	19	19	1.70759258979e-08	0.0001	-3.8356	0.9128	ENSG00000131831.17
TNS2	19	19	4.25855561e-12	0.0	-3.5901	0.6688	ENSG00000111077.17
STARD9	19	19	7.11368900005e-09	0.0	-4.298	0.9677	ENSG00000159433.11
REG1B	19	19	2.91249438398e-05	0.0001	-5.6659	0.4907	ENSG00000172023.7
CELA3B	19	19	3.07079188199e-05	0.0001	-5.6581	0.4785	ENSG00000219073.7
ALYREF	19	19	2.81734727807e-12	0.0	2.0506	0.4855	ENSG00000183684.7
PCNA	19	19	1.01767692457e-10	0.0001	2.4357	0.5505	ENSG00000132646.10
CPSF3	19	19	7.33875856473e-24	0.0	1.5783	0.4216	ENSG00000119203.13
SUMO2	19	19	7.27959646451e-10	0.0	1.2865	0.3685	ENSG00000188612.11
LRRK2	19	19	2.41687046761e-16	0.0	-3.3751	0.8754	ENSG00000188906.13
MZT1	19	19	9.21401153326e-11	0.0001	1.71	0.4995	ENSG00000204899.5
SEC31B	19	19	1.62114938953e-32	0.0	-3.3478	0.9507	ENSG00000075826.16
LSM4	19	19	4.94458002835e-15	0.0	1.4197	0.5122	ENSG00000130520.10
WDR19	19	19	2.23991592279e-12	0.0	-1.8202	0.5401	ENSG00000157796.17
LURAP1	19	19	1.61698757186e-15	0.0	-3.1144	1.0954	ENSG00000171357.5
NME1	19	19	1.04169152826e-10	0.0	2.5658	0.5758	ENSG00000239672.7
FOXF1	19	19	7.66893898171e-18	0.0	-3.6447	1.0699	ENSG00000103241.6
CTRB2	19	19	5.14684273343e-07	0.0	-5.9469	0.9367	ENSG00000168928.12
CBX3	19	19	3.78780055874e-29	0.0	1.5974	0.4403	ENSG00000122565.18
PTH1R	19	19	1.67746015811e-11	0.0001	-3.9952	1.0736	ENSG00000160801.13
