	num_samples	pval_counts	pval	pval_std	fc	fc_std	gene_id
MYO15B	548	503	2.29998306679e-10	0.0505	-4.1888	1.3769	ENSG00000266714.6
RASGRP2	548	499	1.43462744283e-14	0.0895	-4.0759	1.3884	ENSG00000068831.18
TCF21	548	493	3.41333893151e-15	0.1474	-5.8854	2.0848	ENSG00000118526.6
PEAR1	548	491	5.72251262923e-12	0.0892	-3.9148	1.2512	ENSG00000187800.13
ADGRD1	548	491	1.92685012988e-22	0.2026	-4.7887	1.9804	ENSG00000111452.12
SEC31B	548	490	2.28127937304e-10	0.0798	-3.439	1.3227	ENSG00000075826.16
AMY2B	548	489	3.80500155959e-10	0.0583	-3.8408	1.3881	ENSG00000240038.6
INMT	548	489	1.99937558349e-14	0.2081	-5.7583	2.1394	ENSG00000241644.2
KANK3	548	488	1.55662740703e-11	0.1409	-4.7698	1.4558	ENSG00000186994.11
ADCY4	548	487	1.11693761413e-09	0.0793	-4.2964	1.1779	ENSG00000129467.13
STARD8	548	487	1.23372740747e-12	0.1625	-3.67	1.3145	ENSG00000130052.13
GPX3	548	486	1.04825688524e-10	0.1168	-4.9323	1.6598	ENSG00000211445.11
PERP	548	486	1.78108957267e-16	0.1654	4.1102	1.3808	ENSG00000112378.11
TNS2	548	484	1.85493112735e-10	0.136	-3.3941	1.0471	ENSG00000111077.17
AOC3	548	482	9.71545749656e-13	0.2124	-4.3575	1.7613	ENSG00000131471.6
ACVRL1	548	482	1.63124149903e-09	0.2091	-3.5118	1.2508	ENSG00000139567.12
AGTR1	548	482	5.28026744598e-12	0.1498	-4.7052	1.933	ENSG00000144891.17
ARHGAP6	548	482	7.4991375419e-13	0.1107	-4.5948	1.5223	ENSG00000047648.21
ADAMTS8	548	481	1.06338807258e-11	0.1786	-6.4905	2.3767	ENSG00000134917.9
NPR1	548	480	6.82553119602e-13	0.2176	-4.3114	1.6375	ENSG00000169418.9
ADH1B	548	480	2.63413959402e-14	0.214	-6.3167	3.2139	ENSG00000196616.12
FCN3	548	478	1.41911797971e-11	0.1724	-6.5789	2.199	ENSG00000142748.12
NOSTRIN	548	477	8.1926147359e-10	0.1972	-4.2832	1.3966	ENSG00000163072.14
SCN7A	548	477	8.60305082839e-11	0.1923	-5.4007	2.4117	ENSG00000136546.13
TRIM3	548	476	1.76325174536e-07	0.06	-2.0111	0.5776	ENSG00000110171.18
CA4	548	476	2.82199296955e-11	0.2246	-6.4722	2.5867	ENSG00000167434.9
LIMS2	548	476	6.43166757955e-09	0.1651	-3.8352	1.3297	ENSG00000072163.18
TNXB	548	473	1.29594824347e-11	0.2115	-5.2311	2.0419	ENSG00000168477.17
PTH1R	548	473	8.23384020322e-09	0.0965	-4.5833	1.4677	ENSG00000160801.13
DSP	548	473	6.6426472355e-09	0.1883	4.4615	1.5324	ENSG00000096696.13
TAL1	548	472	4.51569546127e-10	0.1341	-4.6836	1.5429	ENSG00000162367.11
ESAM	548	472	5.59134407851e-10	0.2219	-3.3447	1.2216	ENSG00000149564.11
LCAT	548	472	4.12443472926e-08	0.0672	-3.2326	0.9973	ENSG00000213398.7
GPR17	548	471	2.33156469072e-07	0.0931	-5.645	1.7421	ENSG00000144230.16
