	num_samples	pval_counts	pval	pval_std	fc	fc_std	gene_id
SCARA5	287	283	6.45188570378e-26	0.0012	-5.9481	2.2047	ENSG00000168079.16
CA7	287	283	1.06999652896e-19	0.0113	-7.3106	1.7335	ENSG00000168748.13
BEST4	287	282	1.73531481497e-11	0.0045	-6.0709	1.3459	ENSG00000142959.4
GLP2R	287	279	5.16571358978e-14	0.028	-4.2568	1.5753	ENSG00000065325.12
OTOP2	287	279	1.04903423594e-11	0.0067	-7.2886	1.8301	ENSG00000183034.12
SCGN	287	278	3.67423210325e-13	0.03	-5.8546	1.8764	ENSG00000079689.13
KRT80	287	275	2.14312515449e-08	0.0136	5.8689	1.0902	ENSG00000167767.13
ABCA8	287	273	5.47076621012e-23	0.0508	-5.8547	2.2504	ENSG00000141338.13
GUCA2B	287	271	1.27398119431e-10	0.0267	-6.826	1.9461	ENSG00000044012.3
AJUBA	287	271	4.05666593107e-08	0.0157	2.8824	0.6603	ENSG00000129474.15
TMIGD1	287	270	8.69328409611e-17	0.0262	-7.9163	2.239	ENSG00000182271.12
VSTM2A	287	270	3.40705273624e-09	0.031	-6.1595	1.602	ENSG00000170419.10
ESM1	287	270	1.15635993035e-07	0.0469	5.1775	0.9923	ENSG00000164283.12
CEMIP	287	268	6.51689644934e-10	0.0583	4.8031	1.2368	ENSG00000103888.15
CDH3	287	268	3.78470212078e-08	0.0258	5.5414	0.9581	ENSG00000062038.13
FAM135B	287	268	4.90998391494e-07	0.0555	-5.2454	1.4004	ENSG00000147724.11
GUCA2A	287	267	1.06245291155e-11	0.0402	-6.191	2.1268	ENSG00000197273.3
GCNT2	287	267	1.98256556421e-12	0.0778	-4.2986	1.4324	ENSG00000111846.15
SPIB	287	267	2.17426189407e-13	0.0705	-5.4957	1.9369	ENSG00000269404.6
ASPA	287	266	8.1088405357e-11	0.0675	-4.3241	1.5025	ENSG00000108381.10
ETV4	287	266	8.82335597549e-10	0.0569	4.88	1.0768	ENSG00000175832.12
CLEC3B	287	266	1.09301361098e-08	0.0307	-4.1362	1.2183	ENSG00000163815.5
CHGA	287	265	8.33757639852e-19	0.0379	-7.4213	2.8355	ENSG00000100604.12
GFRA2	287	264	6.03771491637e-10	0.0461	-4.2761	1.5166	ENSG00000168546.10
SLC4A4	287	264	9.00207294602e-14	0.0595	-5.5495	2.3289	ENSG00000080493.13
CLDN1	287	264	5.09477593883e-09	0.085	4.47	1.1511	ENSG00000163347.5
SLC39A10	287	264	2.41037410911e-09	0.0242	1.7804	0.6403	ENSG00000196950.13
BMP3	287	262	3.06642675287e-12	0.0486	-6.0992	2.3076	ENSG00000152785.6
SLC25A34	287	262	3.11581236068e-07	0.0548	-4.2943	1.0904	ENSG00000162461.7
FOXQ1	287	261	3.7997575431e-10	0.0971	5.36	1.5676	ENSG00000164379.5
METTL7A	287	261	6.5173953945e-11	0.0632	-2.5349	1.0617	ENSG00000185432.11
HPSE2	287	261	6.66716077837e-09	0.0569	-3.8958	1.6096	ENSG00000172987.12
KIAA1257	287	260	1.0399538147e-14	0.0983	3.3615	1.1603	ENSG00000114656.10
STMN2	287	259	1.50293031111e-11	0.1176	-4.2204	2.0396	ENSG00000104435.13
PPM1H	287	259	7.01246070108e-10	0.0973	2.2361	0.7345	ENSG00000111110.11
LGI1	287	259	8.2160442868e-06	0.0918	-5.4154	1.3563	ENSG00000108231.11
TMEM41A	287	258	8.67918565125e-12	0.0867	1.1708	0.4194	ENSG00000163900.10
C2orf88	287	258	7.08373882512e-09	0.0636	-4.0321	1.2378	ENSG00000187699.10
GREM2	287	257	1.94383274357e-11	0.1243	-4.5928	2.2728	ENSG00000180875.4
PKIB	287	257	2.15679287195e-09	0.0411	-4.4239	1.4774	ENSG00000135549.14
ENPP6	287	257	1.86809327323e-06	0.0762	-3.9707	1.2972	ENSG00000164303.10
PYY	287	256	4.12260442253e-09	0.0205	-6.5769	1.9556	ENSG00000131096.10
ZG16	287	256	3.25053336842e-14	0.0742	-7.3718	2.7711	ENSG00000174992.7
SLC6A6	287	255	2.01235843829e-09	0.0389	2.8326	0.9886	ENSG00000131389.16
SCN9A	287	255	1.12425891757e-11	0.1038	-4.0265	1.7764	ENSG00000169432.14
ADH1B	287	255	2.40169407749e-16	0.1126	-6.3509	2.8012	ENSG00000196616.12
SIM2	287	254	4.88601232051e-14	0.1504	4.2624	1.4312	ENSG00000159263.15
SLCO4A1	287	254	5.17010831579e-08	0.0813	3.078	0.9399	ENSG00000101187.15
LPAR1	287	254	3.65955650491e-11	0.0858	-2.3076	1.2176	ENSG00000198121.13
CA4	287	253	8.33282087373e-11	0.0437	-6.5657	2.3848	ENSG00000167434.9
CADM3	287	253	5.84538931095e-13	0.1099	-5.6726	2.2665	ENSG00000162706.12
ANO5	287	251	4.14957630275e-13	0.1222	-4.4423	2.1862	ENSG00000171714.10
