	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	geneId
ORM1	404.235063881	-1.22348170507	0.173494245938	-7.05200162957	1.76362137087e-12	3.44558707227e-08	ENSG00000229314.5
ORM2	212.495547782	-1.09360706692	0.171720800969	-6.36851832013	1.90862978232e-10	1.86444500286e-06	ENSG00000228278.3
SLC6A4	648.37367451	-0.949049599493	0.159521394189	-5.94935622472	2.69199187519e-09	1.75311484219e-05	ENSG00000108576.9
TRH	466.582153198	-0.793750716493	0.165593436708	-4.79337063274	1.6400223049e-06	0.00801027894273	ENSG00000170893.3
ANKRD1	155.3533591	-0.714372987992	0.158048542809	-4.51995934473	6.18515079703e-06	0.0241678582243	ENSG00000148677.6
UGT3A2	101.228069295	0.685471544405	0.15361083145	4.46239069168	8.10502760924e-06	0.0263913207336	ENSG00000168671.9
S100A8	6169.81371559	-0.6883663393	0.160062380432	-4.30061290757	1.70326361096e-05	0.047538087382	ENSG00000143546.9
KCNE4	2426.11669557	-0.621090411193	0.150829768744	-4.11782379807	3.82466937745e-05	0.0756958162094	ENSG00000152049.6
S100A7	4704.16146524	-0.724078206879	0.175514690262	-4.12545642645	3.70000232814e-05	0.0756958162094	ENSG00000143556.8
CASP14	3474.26341099	-0.723004843293	0.175706683482	-4.11483973726	3.87448514149e-05	0.0756958162094	ENSG00000105141.5
GNAT3	39.0776495009	-0.701536856334	0.171665300963	-4.0866549757	4.37637192233e-05	0.0777283438605	ENSG00000214415.3
S100A9	9767.80746524	-0.636227679425	0.158663392691	-4.00992105761	6.07390512985e-05	0.0988882371015	ENSG00000163220.10
KRT13	606.052927102	-0.685205392892	0.175128128961	-3.91259472113	9.13097045511e-05	0.137224438293	ENSG00000171401.14
CEACAM6	7564.2759579	-0.649676769758	0.17198001215	-3.77762951425	0.000158328173279	0.209103201953	ENSG00000086548.8
UGT2B28	1223.859483	0.667137492966	0.177522544456	3.75804377417	0.000171246927944	0.209103201953	ENSG00000135226.16
GABRQ	107.330069391	-0.626934321488	0.16681888153	-3.75817362962	0.000171158100528	0.209103201953	ENSG00000268089.2
GALNT13	191.633793843	0.545089375449	0.1459588408	3.73454168628	0.000188057341357	0.216122134006	ENSG00000144278.14
MALRD1	270.666865743	-0.584218877946	0.159250430426	-3.66855446722	0.000243925731953	0.225668945231	ENSG00000204740.9
ASB15	70.5141157817	-0.626261687802	0.169965662236	-3.6846365293	0.000229029235052	0.225668945231	ENSG00000146809.12
CA9	193.821051086	-0.625532150629	0.172552492906	-3.6251701734	0.000288771235644	0.225668945231	ENSG00000107159.12
SLCO1B7	175.818126331	0.646948354715	0.177526723327	3.64423080982	0.0002681926661	0.225668945231	ENSG00000205754.10
ASCL4	6.12564379869	0.616928386092	0.167491095314	3.68335035923	0.000230188434703	0.225668945231	ENSG00000187855.5
CHRNA4	28.9133918717	0.640794466038	0.176665123743	3.627170165	0.000286544461683	0.225668945231	ENSG00000101204.15
SPINK4	9.88123372159	-0.644517055395	0.176483765489	-3.65199061574	0.000260215396119	0.225668945231	ENSG00000122711.8
CDH18	21.9452915078	0.624442138432	0.169614145033	3.68154518192	0.000231824695533	0.225668945231	ENSG00000145526.11
CHGB	336.479640203	0.583199547784	0.163618385764	3.56438883723	0.000364704972136	0.253216514314	ENSG00000089199.9
MYO3B	377.43149504	-0.550502760755	0.155178121907	-3.54755395922	0.000388826095584	0.253216514314	ENSG00000071909.18
CHRNA9	94.287961899	-0.618414617283	0.173653387337	-3.56120100371	0.000369162331826	0.253216514314	ENSG00000174343.5
RASGRP1	820.573998457	-0.511435099556	0.144065915228	-3.55000763885	0.000385219973278	0.253216514314	ENSG00000172575.11
CRISP3	3725.77026814	-0.595167765214	0.167463793192	-3.55400862401	0.000379406772003	0.253216514314	ENSG00000096006.11
LIPF	11.2767159358	0.610226682499	0.173517487823	3.5168021976	0.000436779143066	0.27526948768	ENSG00000182333.14
SLC25A48	119.472345803	-0.553903834208	0.158244787475	-3.5002975014	0.000464739179664	0.277980675409	ENSG00000145832.12
RGS7	33.0653683704	-0.564954822465	0.161528346229	-3.49755838931	0.000469537917209	0.277980675409	ENSG00000182901.15
EGR4	10.0457462436	-0.541796676737	0.158230164246	-3.42410487481	0.000616828115933	0.354440320617	ENSG00000135625.7
CXCR1	57.9651965539	-0.537644188703	0.15815829183	-3.39940563648	0.000675324784548	0.376966294735	ENSG00000163464.7
AGTR2	3.04522590845	0.595469125604	0.176620247303	3.37146581264	0.000747693180195	0.405768935041	ENSG00000180772.6
LRTM2	78.2512857514	-0.59166208924	0.176776866937	-3.34694295409	0.000817080229358	0.420086748446	ENSG00000166159.10
