	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	geneId
XIRP2	106.031300056	0.367059740016	0.0722279607429	5.0819618364	3.73556476407e-07	0.00723466827857	ENSG00000163092.19
CKM	318.17635324	0.45249532168	0.0948247247362	4.77191284171	1.82484475e-06	0.0176708841366	ENSG00000104879.4
NRAP	109.094433299	0.335133357275	0.0750583638602	4.46497019171	8.00799001216e-06	0.050570922821	ENSG00000197893.13
CACNA1S	11.4536825467	0.376211955281	0.0853522843709	4.40775496583	1.0444761258e-05	0.050570922821	ENSG00000081248.10
MYH7	628.601799191	0.42732307497	0.098699495704	4.32953655865	1.4942346411e-05	0.0578776845885	ENSG00000092054.12
MYL2	171.965136328	0.339972745792	0.0851061762521	3.99468946631	6.47791011861e-05	0.177534961207	ENSG00000111245.14
GMNC	6.61280706743	-0.346528476906	0.0869659719786	-3.98464444221	6.75812395783e-05	0.177534961207	ENSG00000205835.8
SIK1	878.569302832	0.409882636699	0.103370029352	3.96519802954	7.33350384496e-05	0.177534961207	ENSG00000142178.7
DLK1	7.78411313636	0.306525952855	0.0785394303731	3.90282882622	9.50749429733e-05	0.204590713396	ENSG00000185559.13
SNTN	2.57337608492	0.285145400855	0.0756763577344	3.76795883671	0.00016458783361	0.318757257353	ENSG00000188817.7
CALCA	1893.01058027	0.304748472992	0.0817522451427	3.72770769121	0.000193229306814	0.340206544097	ENSG00000110680.12
LMOD2	54.2260410377	0.29722548166	0.0802992571555	3.70147236959	0.000214352001335	0.344975706828	ENSG00000170807.11
COL11A1	347.81333974	0.333394651882	0.09055127222	3.68183288548	0.000231563184219	0.344975706828	ENSG00000060718.18
GRIN3B	14.5289960455	0.0980028496784	0.0968880352126	1.01150621399	0.311774208509	0.999988203016	ENSG00000116032.5
RBKS	759.884371482	0.0812319593072	0.0737878462475	1.10088535495	0.270946556716	0.999988203016	ENSG00000171174.13
SSRP1	9364.25159418	0.0828309492467	0.0494257238585	1.67586719587	0.0937642084946	0.999988203016	ENSG00000149136.7
TIGAR	410.903169942	-0.0662743401033	0.0988174543689	-0.67067443223	0.502427954147	0.999988203016	ENSG00000078237.5
RNF44	3351.08009819	-0.00359446995824	0.0640632278763	-0.0561081618488	0.955255641968	0.999988203016	ENSG00000146083.11
UQCC2	2356.80784384	-0.0232720622252	0.0979897004851	-0.237494982738	0.812272811074	0.999988203016	ENSG00000137288.9
ADGRD2	0.242817911175	0.00976701678611	0.0169804043773	0.575193415252	0.565160495616	0.999988203016	ENSG00000180264.10
