	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	geneId
PI16	5155.53797683	-8.58193876481	0.435444512954	-19.7084554048	1.82451376926e-86	3.45033798904e-82	ENSG00000164530.13
C16orf89	653.364751879	-5.84651178085	0.357478192147	-16.3548767709	4.01519835789e-60	3.7965708073e-56	ENSG00000153446.15
CFD	6654.5599293	-4.86325691117	0.314629478848	-15.4570923519	6.75809589379e-54	4.26007838158e-50	ENSG00000197766.7
CLEC3B	2491.62396163	-5.15367294817	0.34873837849	-14.7780492944	2.02959674882e-49	9.59542602924e-46	ENSG00000163815.5
NR4A1	39820.5175783	-3.66357505057	0.254018739786	-14.422459751	3.73780155726e-47	1.41371130499e-43	ENSG00000123358.19
F10	408.022890112	-4.20310108521	0.295035546012	-14.2460837076	4.74135211336e-46	1.37187806485e-42	ENSG00000126218.11
PER1	5323.33630618	-2.56246408472	0.179932017354	-14.2412902517	5.0780743768e-46	1.37187806485e-42	ENSG00000179094.13
MYOC	539.738848605	-7.00753582143	0.50111806456	-13.9838020559	1.95745082291e-44	4.627169064e-41	ENSG00000034971.14
COL10A1	696.980839347	6.50295482918	0.474360165884	13.7088973672	8.98123177036e-43	1.88715637788e-39	ENSG00000123500.9
SCARA5	2807.36162552	-6.45013572754	0.483597666868	-13.3378139918	1.39490154574e-40	2.63789831314e-37	ENSG00000168079.16
PDK4	7421.65251048	-4.16181473571	0.31700927591	-13.1283689531	2.26482154207e-39	3.89364001656e-36	ENSG00000004799.7
ITGA8	1947.92718244	-3.78468718543	0.28878713913	-13.1054561392	3.06414452115e-39	4.82883641995e-36	ENSG00000077943.7
FXYD1	547.050855821	-4.32771812726	0.332396408621	-13.0197499582	9.44797756659e-39	1.37439002894e-35	ENSG00000266964.5
KLF2	2609.81916993	-3.18539881403	0.247840403199	-12.8526211744	8.31444392505e-38	1.12310320762e-34	ENSG00000127528.5
KLF9	4451.7859949	-2.46584261691	0.19349370417	-12.7437873366	3.37599437605e-37	4.25622864303e-34	ENSG00000119138.4
