	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	geneId
CRHBP	1883.79935349	-5.99838374606	0.246361963372	-24.3478484421	6.10965716294e-131	1.11281295566e-126	ENSG00000145708.10
CLEC4G	1695.16598114	-6.87741379843	0.289032600649	-23.7945954297	3.7990175196e-125	3.4597652551e-121	ENSG00000182566.12
BIRC5	383.241644042	3.6101828841	0.160799025035	22.4515222236	1.23663795544e-111	7.5080412401e-108	ENSG00000089685.14
MARCO	2320.46300028	-6.47011773753	0.292747982059	-22.1013230972	3.06940290958e-108	1.0673400353e-104	ENSG00000019169.10
CENPF	466.438379568	3.45202773734	0.156234364727	22.0951884905	3.51599879861e-108	1.0673400353e-104	ENSG00000117724.12
CLEC1B	467.254519555	-7.27658821233	0.329312217759	-22.096320209	3.42899238808e-108	1.0673400353e-104	ENSG00000165682.14
KIF2C	189.018226831	3.42918318157	0.159038953183	21.5619074003	4.09382672811e-103	1.06521371466e-99	ENSG00000142945.12
FOXM1	438.34723575	3.43159440814	0.16130214865	21.2743254623	1.96316436343e-100	4.46963446445e-97	ENSG00000111206.12
FCN3	3531.26004851	-5.07980781095	0.242583636628	-20.9404388588	2.29337164932e-97	4.64127458008e-94	ENSG00000142748.12
CDKN3	156.031429219	3.52720489542	0.16930393655	20.8335669406	2.14849056533e-96	3.91326071569e-93	ENSG00000100526.19
UBE2C	230.805812078	3.55504770289	0.171694256596	20.7056879675	3.07808572578e-95	5.09675030994e-92	ENSG00000175063.16
CDC20	314.130907516	3.67363656921	0.179927016088	20.4173706044	1.17205116773e-92	1.77897833076e-89	ENSG00000117399.13
ADAMTS13	990.89452929	-3.39268195236	0.167853597287	-20.2121492014	7.65414688461e-91	1.07240485659e-87	ENSG00000160323.18
MKI67	650.181424424	3.15510929784	0.156175702307	20.2023058084	9.34311796126e-91	1.21553964676e-87	ENSG00000148773.12
PLK1	222.425930712	3.18785957552	0.157852692107	20.1951549446	1.07987534379e-90	1.31125663411e-87	ENSG00000166851.14
BMPER	286.3474318	-5.35337030506	0.266558999527	-20.0832472907	1.03408907731e-89	1.17718115338e-86	ENSG00000164619.8
UBE2T	182.154168459	3.01211286881	0.150136721268	20.0624660202	1.57096581793e-89	1.68315125928e-86	ENSG00000077152.9
PRC1	393.195756647	2.90810923116	0.145656000328	19.9655985652	1.09705574548e-88	1.11009851935e-85	ENSG00000198901.13
KIF4A	218.277698022	3.48630930849	0.176542509813	19.7477044605	8.39478517467e-87	8.04750616692e-84	ENSG00000090889.11
TROAP	143.356663055	3.56893965967	0.18087964275	19.731018955	1.16792403388e-86	1.06362841765e-83	ENSG00000135451.12
CDCA5	236.999969923	3.07491986154	0.155934231531	19.7193382836	1.47140884276e-86	1.27620193629e-83	ENSG00000146670.9
BUB1	158.713071965	3.30088992675	0.167818957551	19.6693506796	3.94803773863e-86	3.26861633507e-83	ENSG00000169679.14
COLEC10	629.440415368	-4.97989570465	0.25323804176	-19.6648800079	4.31186296251e-86	3.4146205217e-83	ENSG00000184374.2
KIFC1	252.159900351	3.26115869871	0.168613111682	19.3410741678	2.42373501101e-83	1.83941289544e-80	ENSG00000237649.7
ECM1	1555.34911129	-3.57451408375	0.185919242752	-19.226165247	2.23560493913e-82	1.62877233445e-79	ENSG00000143369.14
CDCA8	171.633033322	2.8791620781	0.149797021855	19.2204226923	2.49727417681e-82	1.74943660986e-79	ENSG00000134690.10
MT1F	6364.07142713	-5.2530946261	0.273748024047	-19.1895252738	4.527564438e-82	3.05426143236e-79	ENSG00000198417.6
CDK1	279.969304811	3.10600597672	0.162249007678	19.1434512986	1.09753452876e-81	7.13946210957e-79	ENSG00000170312.15
DBH	932.083895	-4.5025219408	0.236117132794	-19.0690183619	4.56799410536e-81	2.86901533224e-78	ENSG00000123454.10
PTTG1	296.807666591	3.12097372776	0.164180083306	19.0094539174	1.42427383959e-80	8.64724123813e-78	ENSG00000164611.12
TOP2A	848.718651052	3.57225570998	0.187980299409	19.0033515278	1.59993961681e-80	9.40041941308e-78	ENSG00000131747.14
COL15A1	530.661402094	3.62765391677	0.19174087098	18.9195652353	7.870099601e-80	4.47956231664e-77	ENSG00000204291.10
ANLN	246.2788211	3.48285887461	0.184696878452	18.8571615492	2.56632439247e-79	1.41645552983e-76	ENSG00000011426.10
THBS4	500.079697767	5.54496343267	0.294699729317	18.8156380242	5.62274832809e-79	3.01213935435e-76	ENSG00000113296.14
OIT3	2304.26617839	-3.81251151868	0.203817759873	-18.7054922057	4.46590343988e-78	2.32405615011e-75	ENSG00000138315.12
ASPM	443.977183957	3.54619994875	0.190032863668	18.6609825285	1.02823133795e-77	5.20227933042e-75	ENSG00000066279.16
FCN2	1348.21609164	-5.70710014045	0.306339864658	-18.6299623355	1.83653488287e-77	9.04071523151e-75	ENSG00000160339.15
KIF18B	104.243910095	3.40060264947	0.182559755498	18.6273400739	1.92874540732e-77	9.24478127601e-75	ENSG00000186185.13
HJURP	144.35181017	3.56913715368	0.191829119837	18.6058152	2.88273319708e-77	1.34631031927e-74	ENSG00000123485.11
PLVAP	2808.94426716	2.91312119148	0.158640103748	18.3630817344	2.5945656034e-75	1.18143544751e-72	ENSG00000130300.8
AURKB	127.3601614	2.8647262488	0.156030771296	18.3600082536	2.74565419636e-75	1.21974013494e-72	ENSG00000178999.12
MELK	134.405708551	3.70973219356	0.202074915571	18.358202368	2.83848824479e-75	1.23095773549e-72	ENSG00000165304.7
IQGAP3	351.248858308	3.66684844302	0.199950779846	18.338755397	4.0598564017e-75	1.71967963955e-72	ENSG00000183856.10
CCNB2	172.255582381	3.33603015944	0.182275057422	18.3021758798	7.95090942585e-75	3.29131509733e-72	ENSG00000157456.7
SPC24	206.621131086	3.14291294759	0.172372807497	18.2332294358	2.81214152877e-74	1.11730518428e-71	ENSG00000161888.11
STAB2	741.63342233	-5.79060113478	0.31758831434	-18.2330421912	2.82178755227e-74	1.11730518428e-71	ENSG00000136011.14
PZP	2874.64414305	-6.04465768448	0.332155860298	-18.1982569239	5.32762262835e-74	2.064623799e-71	ENSG00000126838.9
KIF20A	186.462968561	3.43406875205	0.188859063263	18.183235121	7.0075194562e-74	2.65906165365e-71	ENSG00000112984.11
SLC26A6	484.630250756	2.22744864027	0.122561676166	18.1741039283	8.27696225141e-74	3.07666511117e-71	ENSG00000225697.10
DLGAP5	108.724921412	3.30001692947	0.182268432625	18.1052576245	2.89653016344e-73	1.05514800794e-70	ENSG00000126787.12
CCNB1	400.977802962	2.76542178287	0.152778608392	18.1008441691	3.13821090853e-73	1.12077202918e-70	ENSG00000134057.14
CDCA3	128.150144403	2.71011878408	0.15013945674	18.0506766371	7.79301502189e-73	2.72965337709e-70	ENSG00000111665.11
PLAC8	233.288632031	-3.65900474528	0.204970129654	-17.8514047459	2.81856693129e-71	9.68629775218e-69	ENSG00000145287.10
MYBL2	307.354335991	3.54423894822	0.198575593155	17.8483110231	2.97910623998e-71	1.00484150102e-68	ENSG00000101057.15
MAGEA1	175.942635109	7.7783663293	0.436135373933	17.8347522219	3.79729272455e-71	1.257525267e-68	ENSG00000198681.6
NUF2	111.731953602	3.62485722843	0.204197049887	17.7517610095	1.67033200323e-70	5.4327548405e-68	ENSG00000143228.12
RRM2	594.758112259	3.02219669781	0.170304424262	17.745849592	1.85572227688e-70	5.9298465879e-68	ENSG00000171848.13
SKA1	84.5810334275	3.99936273238	0.225389974557	17.7441908862	1.9113325051e-70	6.00224314619e-68	ENSG00000154839.9
CFP	971.974683349	-3.89480904868	0.219532261866	-17.7413971668	2.00877584848e-70	6.20132937359e-68	ENSG00000126759.12
VIPR1	774.495832579	-4.00076273088	0.225870714494	-17.7126226383	3.35088633683e-70	1.01721739565e-67	ENSG00000114812.12
CENPA	51.7177183141	3.56435296654	0.201312885848	17.7055380809	3.80031298363e-70	1.13473607679e-67	ENSG00000115163.14
NEK2	159.180098234	3.80494078727	0.215863848737	17.6265771667	1.54013156656e-69	4.52450908924e-67	ENSG00000117650.12
E2F1	439.335986727	3.47504956322	0.197730654054	17.5746627646	3.85173750049e-69	1.11358010847e-66	ENSG00000101412.12
NCAPG	239.153762232	3.36351994364	0.191985018409	17.5197000866	1.01358301635e-68	2.88459391558e-66	ENSG00000109805.9
EZH2	239.62456477	2.12488631988	0.121424737944	17.4996162714	1.44237633054e-68	4.04176038222e-66	ENSG00000106462.10
EBF2	29.3425711157	5.46940637073	0.313077660277	17.4698072226	2.43315434158e-68	6.71476866327e-66	ENSG00000221818.8
KCNN2	434.162580013	-4.47449091419	0.256896617001	-17.4174769852	6.07996531602e-68	1.65284310845e-65	ENSG00000080709.14
BUB1B	121.248972106	3.1810941358	0.182729177945	17.4087913687	7.0762093176e-68	1.8953834781e-65	ENSG00000156970.12
GABRD	85.8071060593	4.39999532822	0.25307374371	17.3862181976	1.04933767076e-67	2.76994729496e-65	ENSG00000187730.7
NDC80	140.798475532	2.97898416599	0.173449520903	17.1749345312	4.09114084312e-66	1.06451484738e-63	ENSG00000080986.12
CLEC4M	869.768293836	-6.5411386688	0.380959461691	-17.1701698647	4.44118378178e-66	1.13932001974e-63	ENSG00000104938.16
CSRNP1	3407.52377143	-2.32143662063	0.135464371094	-17.1368796229	7.87657918233e-66	1.99255573926e-63	ENSG00000144655.14
GTSE1	85.5470467771	2.93699527745	0.171394921333	17.1358360832	8.01918386035e-66	2.00084129907e-63	ENSG00000075218.18
CDC25C	88.8851541651	4.04492532208	0.236315517191	17.1166302161	1.11548538042e-65	2.7456014485e-63	ENSG00000158402.18
RACGAP1	336.092561707	2.13390824938	0.124675895176	17.1156440976	1.13453785836e-65	2.75526300695e-63	ENSG00000161800.12
KIF23	132.288225981	2.92863150182	0.171791529498	17.0475896593	3.64247160747e-65	8.72947077085e-63	ENSG00000137807.13
PKMYT1	169.638906878	2.74453783035	0.161745506357	16.9682477873	1.41079133226e-64	3.33716276957e-62	ENSG00000127564.16
CENPM	119.117362869	3.07818353295	0.181765503793	16.9349159699	2.48713302497e-64	5.80777447651e-62	ENSG00000100162.14
LIFR	1837.01069505	-3.13987212647	0.185418549908	-16.9339698107	2.52744476813e-64	5.82719987427e-62	ENSG00000113594.9
MT1H	4165.43755389	-6.04742573516	0.357916418044	-16.8961953973	4.79888682005e-64	1.09258655675e-61	ENSG00000205358.3
ESM1	259.851859558	4.27502656293	0.255396604358	16.7387760447	6.83797797574e-63	1.53761643025e-60	ENSG00000164283.12
SKA3	79.3396022803	3.21353845294	0.192067421494	16.7313041845	7.75220483954e-63	1.72193486521e-60	ENSG00000165480.15
TRIP13	93.3560340153	2.78097171085	0.166334153595	16.7191863532	9.50074705363e-63	2.08489887753e-60	ENSG00000071539.13
MT1M	3963.13464058	-5.0204246147	0.301990993792	-16.6244183367	4.63846335648e-62	1.00577347113e-59	ENSG00000205364.3
CDH13	274.493692855	2.67444416624	0.161290462487	16.5815394476	9.47696981486e-62	2.03074739068e-59	ENSG00000140945.15
ARHGEF39	108.118964912	2.5653520176	0.155342590565	16.5141575679	2.90184692671e-61	6.14584185152e-59	ENSG00000137135.17
GPM6A	264.904491381	-3.98738012396	0.24222414235	-16.4615305695	6.9325101036e-61	1.4513648164e-58	ENSG00000150625.16
DTL	239.638128123	3.13866813798	0.190861402929	16.4447504305	9.14603467341e-61	1.89302131297e-58	ENSG00000143476.17
BCO2	1243.54422107	-3.9493825302	0.240798152954	-16.4012160465	1.87448002751e-60	3.83615496866e-58	ENSG00000197580.11
EXO1	87.6861909572	3.46553870679	0.211857950583	16.3578411726	3.82447048972e-60	7.67141635191e-58	ENSG00000174371.16
HOXA13	117.400131702	6.42940841149	0.393050658438	16.3577093015	3.83275989911e-60	7.67141635191e-58	ENSG00000106031.7
BMP10	31.3459897754	-6.15682647281	0.378057192034	-16.2854367078	1.25232005585e-59	2.47932146709e-57	ENSG00000163217.1
UHRF1	227.099696857	3.10355724021	0.191005138881	16.2485536169	2.28696468631e-59	4.47900804264e-57	ENSG00000276043.4
DEPDC1	127.34502983	3.73382125097	0.229842971516	16.2450964949	2.41960410569e-59	4.68836906181e-57	ENSG00000024526.16
HGF	873.262313822	-3.11659829106	0.192770570583	-16.1673967226	8.56414425302e-59	1.64197182552e-56	ENSG00000019991.15
WDR62	136.941532943	2.13820402815	0.132632144456	16.12131084	1.80734521159e-58	3.42906100874e-56	ENSG00000075702.16
DIAPH3	73.3557223582	3.12596168895	0.195087163263	16.0234104421	8.77050606637e-58	1.64686595354e-55	ENSG00000139734.17
CENPE	108.185131059	2.82260575427	0.176382943309	16.0027137619	1.22324753753e-57	2.27349292332e-55	ENSG00000138778.11
SPC25	64.2868206283	3.04373118876	0.190468083843	15.9802688584	1.75387829082e-57	3.22678173626e-55	ENSG00000152253.8
FAM189B	789.071783017	1.55255420979	0.0974595124031	15.9302480744	3.90803600895e-57	7.1180967867e-55	ENSG00000160767.20
DACH1	70.1797293319	-2.78048434756	0.174579458517	-15.9267554796	4.13250731865e-57	7.45242458435e-55	ENSG00000276644.4
HMMR	193.412250211	3.21140109402	0.201894084469	15.9063654711	5.72415112212e-57	1.0221538092e-54	ENSG00000072571.19
NOX4	37.7764202312	2.99418846836	0.188465876083	15.8871649902	7.77659240237e-57	1.37517333997e-54	ENSG00000086991.12
CKAP2L	105.32897413	3.19480463183	0.203662190178	15.6867832416	1.86258011325e-55	3.26202251756e-53	ENSG00000169607.12
CDC45	112.598992263	2.98390654242	0.190900547587	15.6306861355	4.4993197857e-55	7.80482005493e-53	ENSG00000093009.9
PBK	137.920599145	3.45559051822	0.221322122739	15.613398586	5.90081679698e-55	1.01393846359e-52	ENSG00000168078.9
CENPL	96.9611774049	2.10421355243	0.134939456705	15.5937603708	8.02663728755e-55	1.36632870612e-52	ENSG00000120334.15
APLN	223.068721665	3.76766461723	0.241789111248	15.5824412348	9.58241634008e-55	1.61605677054e-52	ENSG00000171388.11
RECQL4	332.152046104	2.29816933804	0.147780255198	15.5512611273	1.5600339256e-54	2.60683100191e-52	ENSG00000160957.12
TTK	91.6719898831	3.33957631913	0.214854664139	15.543420165	1.76317104699e-54	2.91949067726e-52	ENSG00000112742.9
GPR182	162.261149322	-4.12534832284	0.265915800801	-15.5137389746	2.80083196961e-54	4.59588770221e-52	ENSG00000166856.2
OLFML2B	200.314439894	2.84251081465	0.183798024655	15.4654045929	5.93988838877e-54	9.65974349224e-52	ENSG00000162745.10
PITPNM3	147.980542772	-3.85296025937	0.249672979338	-15.4320274048	9.96887582717e-54	1.60684163112e-51	ENSG00000091622.15
ZIC2	96.8347670023	6.03464298013	0.392189056306	15.3870764191	1.99860671556e-53	3.19321251905e-51	ENSG00000043355.10
GDF2	372.461100507	-6.20481126089	0.403298268239	-15.385167132	2.0584430274e-53	3.26021576531e-51	ENSG00000263761.2
KIF18A	50.8370755894	2.97235507893	0.193216927962	15.3835127713	2.11173055107e-53	3.31578105665e-51	ENSG00000121621.6
CCNA2	413.95224011	3.14402255432	0.204514682973	15.3730896414	2.48052436651e-53	3.86156160783e-51	ENSG00000145386.9
GPC3	9784.73251982	4.7826747637	0.311591745059	15.3491703151	3.58745150029e-53	5.53744420562e-51	ENSG00000147257.13
RAD54L	63.3687978063	3.20589708429	0.209045155199	15.3359071213	4.40081788113e-53	6.73584007454e-51	ENSG00000085999.11
PAMR1	342.315318904	-2.5095989206	0.164171869972	-15.2864124714	9.41982470858e-53	1.42977239368e-50	ENSG00000149090.11
CDC6	251.58453383	2.82777259412	0.185488303833	15.2450183417	1.77683053662e-52	2.65748804823e-50	ENSG00000094804.9
