	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	geneId
MUC5AC	759.334853753	-0.288617006517	0.0556229056242	-5.1888157096	2.11635713644e-07	0.00411991243751	ENSG00000215182.8
SERPINB11	12.6018839511	-0.235123388614	0.050590129846	-4.64761385926	3.35796751552e-06	0.0326847768123	ENSG00000206072.12
MSMB	109.601472122	-0.233222351946	0.053610909304	-4.35027786272	1.35965131206e-05	0.0661708302297	ENSG00000263639.5
SLC2A14	24.6216145363	-0.320480823374	0.0730965059827	-4.38435215289	1.16331457911e-05	0.0661708302297	ENSG00000173262.11
ATP12A	52.9651375693	-0.240267720093	0.0605226884537	-3.96987850724	7.19092890017e-05	0.279971625799	ENSG00000075673.11
SERPINB3	104.519335428	-0.22898924129	0.05872109103	-3.89960808414	9.63485195529e-05	0.31260277169	ENSG00000057149.14
ADH7	27.9099462968	-0.217747278144	0.0564682967203	-3.85609786006	0.000115211381105	0.320402850853	ENSG00000196344.11
SERPINB13	11.7913798502	-0.221614309519	0.0580835880104	-3.81543766682	0.000135941770171	0.330797304989	ENSG00000197641.11
BPIFB1	2377.6822231	-0.221807593845	0.0586845334223	-3.77966017465	0.000157042543321	0.339683021204	ENSG00000125999.10
CLCA2	24.4858231432	-0.262495778251	0.0707812021301	-3.70855213462	0.00020844774602	0.405785227176	ENSG00000137975.7
TP53AIP1	9.58964471108	-0.25672694943	0.0712720365014	-3.60207119134	0.000315691876558	0.438969554353	ENSG00000120471.14
LGALS9C	32.2014389046	-0.283910483897	0.07805316527	-3.63739872579	0.000275405424306	0.438969554353	ENSG00000171916.16
SERPINB7	7.64035589277	-0.229204689335	0.0633270911512	-3.61937813925	0.000295311838805	0.438969554353	ENSG00000166396.12
GSTA2	79.4593042166	-0.209956247838	0.0579361628556	-3.62392394472	0.00029016696338	0.438969554353	ENSG00000244067.2
PKNOX1	556.375547485	0.178780640649	0.0504526162434	3.54353557776	0.00039480003787	0.480348271076	ENSG00000160199.14
GBP6	13.189078024	-0.26964197586	0.0757425127545	-3.5599819184	0.000370880329905	0.480348271076	ENSG00000183347.14
ZGRF1	221.500008431	-0.232946361805	0.0666232311388	-3.49647349466	0.000471451327448	0.525593249873	ENSG00000138658.15
FOLR3	99.44259552	0.27048529598	0.0775857560369	3.48627518498	0.000489796877027	0.525593249873	ENSG00000110203.8
C2orf91	43.32850473	-0.256767363588	0.0739136470933	-3.47388302005	0.000512984627708	0.525593249873	ENSG00000205086.6
EYA3	856.865182943	0.179380107806	0.0530576587513	3.38085230348	0.000722613734417	0.675611805943	ENSG00000158161.15
SOX21	5.42592014492	-0.223791304748	0.0662397750017	-3.37850339532	0.000728815324642	0.675611805943	ENSG00000125285.5
RPL17-C18orf32	216.042511562	0.274473992543	0.0820850553615	3.34377544529	0.000826466044397	0.731309749376	ENSG00000215472.9
ALDH3A1	364.105019518	-0.24394101568	0.0735152609248	-3.31823641257	0.000905877766838	0.766727064654	ENSG00000108602.17
PCK1	80.6530206094	0.235287503222	0.0714879603309	3.29128852094	0.00099729570139	0.80893147579	ENSG00000124253.10
UNC93B1	1720.38021618	-0.226223980925	0.0701351388482	-3.22554406593	0.00125733478483	0.844018491599	ENSG00000110057.7
TNFSF14	368.586897779	0.261382834504	0.0805811838961	3.24372045516	0.00117979472442	0.844018491599	ENSG00000125735.10
ZNF614	212.878696803	0.193194247423	0.059329700732	3.25628218311	0.00112881503852	0.844018491599	ENSG00000142556.18
FER1L6	5.09187791227	-0.188613748472	0.0578720339626	-3.25915188317	0.00111745826213	0.844018491599	ENSG00000214814.6
TUBGCP2	2216.64508132	-0.14594573049	0.045186553219	-3.22984870704	0.00123855740426	0.844018491599	ENSG00000130640.13
