	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	geneId
CDH3	3975.21036148	5.89928171583	0.149801534866	39.3806493444	0.0	0.0	ENSG00000062038.13
KRT80	1746.42575552	6.85250158209	0.186591127463	36.724691443	2.94804101059e-295	2.88436332476e-291	ENSG00000167767.13
ETV4	4728.3799272	5.33025884865	0.155359654577	34.3091574396	5.73025765609e-258	3.73765606048e-254	ENSG00000175832.12
ESM1	333.076124984	5.93566512549	0.187062798748	31.7308688057	5.83115961686e-221	2.85260328457e-217	ENSG00000164283.12
UGP2	6284.58501001	-2.0984776951	0.0703478174106	-29.8300327195	1.59398854453e-195	6.23823356785e-192	ENSG00000169764.14
CEMIP	6838.05689639	5.46387736434	0.184545669166	29.6071828129	1.20774489181e-192	3.93885867382e-189	ENSG00000103888.15
CLDN1	4414.51901512	4.89395038232	0.166495664943	29.3938606989	6.57919903549e-190	1.83916809609e-186	ENSG00000163347.5
FOXQ1	719.777489791	5.95883021969	0.208891045539	28.5260203678	5.57325611437e-179	1.36321844557e-175	ENSG00000164379.5
BEST4	487.670699778	-6.41748920156	0.228652455291	-28.0665658866	2.50809849983e-173	5.45316349386e-170	ENSG00000142959.4
AJUBA	1022.07869457	3.02032575404	0.108259626836	27.8989115548	2.75043266758e-171	5.38204664391e-168	ENSG00000129474.15
MTHFD1L	2069.75120726	2.38120102805	0.0865977351901	27.4972667914	1.89285968023e-166	3.36722529298e-163	ENSG00000120254.15
GRIN2D	1462.89822566	4.70825540709	0.175149865249	26.8812961997	3.63418864909e-159	5.92615029045e-156	ENSG00000105464.3
WNT2	380.451572689	5.43162133438	0.212858512108	25.5175199742	1.25994610689e-143	1.89650964766e-140	ENSG00000105989.8
C6orf223	1500.5181063	4.75136058839	0.191635221558	24.7937751201	1.0463846866e-135	1.46254682481e-132	ENSG00000181577.15
TRIB3	3148.84873942	3.6430182312	0.148133521707	24.5928010705	1.50831534958e-133	1.9676476507e-130	ENSG00000101255.10
NFE2L3	6002.49971536	2.67802825615	0.109085613599	24.5497840439	4.34802736267e-133	5.31763746454e-130	ENSG00000050344.8
INHBA	2130.3957256	5.67742633205	0.233262595639	24.3392058487	7.54296775612e-131	8.68239959128e-128	ENSG00000122641.9
COL10A1	1335.92005553	8.22882939524	0.338420957028	24.3153658908	1.34846750643e-130	1.46593400921e-127	ENSG00000123500.9
SPTBN2	1650.95239267	3.13799899434	0.12995461841	24.1468832176	8.05133572294e-129	8.2920282856e-126	ENSG00000173898.11
KLK6	1303.49406412	9.2865520896	0.38645076877	24.0303625716	1.33951869456e-127	1.31058509075e-124	ENSG00000167755.13
COL11A1	2128.82273381	6.75363543827	0.281578609636	23.9849022872	3.99718845278e-127	3.72461826876e-124	ENSG00000060718.18
SIM2	533.101766402	4.39339885215	0.183544933464	23.9363668026	1.28141608422e-126	1.13976136073e-123	ENSG00000159263.15
MMP7	2987.79238103	7.35679819245	0.307437786203	23.9293883921	1.51477937269e-126	1.2887479463e-123	ENSG00000137673.8
EPHX4	302.470201976	4.47242261229	0.187382976242	23.8678171411	6.61476373408e-126	5.39323736452e-123	ENSG00000172031.6
