	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	geneId
MFSD2A	464.023371373	-5.63599728125	0.215325809181	-26.1742765657	5.21713987065e-151	1.02501147039e-146	ENSG00000168389.17
SERPINA5	866.062624771	-6.20514862133	0.244471263414	-25.381914155	3.99452891463e-142	3.92402547929e-138	ENSG00000188488.13
SPINK2	274.666997084	-6.93045746419	0.299771364148	-23.1191444316	2.9722127349e-118	1.94650212009e-114	ENSG00000128040.10
MCF2	79.1193060293	-4.87303699123	0.215305116692	-22.6331685289	2.04379048886e-113	1.00385879336e-109	ENSG00000101977.19
EMX2	198.471798636	-6.22497040573	0.276707850245	-22.4965442803	4.48688558242e-112	1.76307682076e-108	ENSG00000170370.11
CLDN2	247.821651382	-6.88424441403	0.317500099187	-21.6826527981	2.99131701325e-104	9.7950675599e-101	ENSG00000165376.10
HOXB8	81.1435428243	-5.65946074855	0.261600707964	-21.6339657205	8.60576240751e-104	2.41539162886e-100	ENSG00000120068.6
AKR1B1	2062.89226408	-3.22601076264	0.155595917077	-20.7332610216	1.73617435377e-95	4.15051096326e-92	ENSG00000085662.13
NDRG4	326.064794097	-3.35968826568	0.16207758511	-20.7288889664	1.90128766068e-95	4.15051096326e-92	ENSG00000103034.14
KLHL14	128.36651001	-3.91453926384	0.188958757615	-20.7163685518	2.46597849883e-95	4.84490795665e-92	ENSG00000197705.9
CRTAC1	273.900043203	-3.9541492473	0.206102029434	-19.185396952	4.90183762695e-82	8.75512762333e-79	ENSG00000095713.13
ACSL6	124.075033729	-3.40090762292	0.179216337609	-18.9765490597	2.66538125869e-80	4.36389546578e-77	ENSG00000164398.12
CYSLTR2	90.6605003143	-3.46634271746	0.183963823958	-18.8425237249	3.38436941179e-79	5.11482352565e-76	ENSG00000152207.7
WNT9B	23.0288621956	-4.52498059681	0.241217906095	-18.758891784	1.63778662868e-78	2.29839956383e-75	ENSG00000158955.10
SLC2A9	200.016235066	-2.45781735786	0.132910630988	-18.4922555825	2.38371980571e-76	3.12219620152e-73	ENSG00000109667.11
ABCG2	744.009829008	-2.71200770087	0.150616735591	-18.0060183235	1.74755982527e-72	2.14589424295e-69	ENSG00000118777.10
ANO1	2218.33278898	-2.67857902873	0.148842116755	-17.9961094824	2.08994389708e-72	2.41536045564e-69	ENSG00000131620.17
ANXA9	145.983508027	-2.63493773471	0.146558904113	-17.9786943049	2.86152103311e-72	3.12335020764e-69	ENSG00000143412.9
PATE2	31.2069146305	-4.63127684033	0.258285665938	-17.9308318311	6.77583176582e-72	7.00656666858e-69	ENSG00000196844.8
EPHA10	518.253063046	2.0925688977	0.11774282733	17.7723683485	1.15701171713e-70	1.13659046032e-67	ENSG00000183317.16
CA2	303.47113317	-4.07594835084	0.229468654554	-17.7625495681	1.37829128643e-70	1.28948994783e-67	ENSG00000104267.9
KCP	47.2277263037	-3.32686721256	0.187665603439	-17.7276344284	2.56606139088e-70	2.29160946121e-67	ENSG00000135253.13
HOXB6	115.879760623	-4.21115059041	0.23951330381	-17.5821155795	3.37736084744e-69	2.88500037259e-66	ENSG00000108511.9
ANXA13	81.2292089399	-5.16075955836	0.293952915178	-17.5564156431	5.31257711142e-69	4.34900843784e-66	ENSG00000104537.16
RASL10B	160.521443289	-2.79037072791	0.161541813541	-17.2733651229	7.46592169702e-67	5.86731854326e-64	ENSG00000270885.1
KCNJ5	338.849394089	-2.8399290295	0.166004110135	-17.1075826206	1.30295950535e-65	9.84586361599e-63	ENSG00000120457.11
MRO	36.4634901132	-2.88624217728	0.170181162756	-16.9598217014	1.6283781186e-64	1.18491647763e-61	ENSG00000134042.12
PAQR8	601.50665225	-2.31190142715	0.137346466744	-16.8326239616	1.40724956097e-63	9.87436861588e-61	ENSG00000170915.8
NKX2-3	74.0051999017	4.01363886375	0.238851031552	16.8039419284	2.2835088729e-63	1.54703789055e-60	ENSG00000119919.10
HPN	12991.5566366	2.43675081312	0.145321473075	16.7680024264	4.18337706665e-63	2.73969364095e-60	ENSG00000105707.13
SEMG2	12571.8066619	-7.28384789064	0.439975106338	-16.5551363832	1.47007968448e-61	9.31698566485e-59	ENSG00000124157.6
AQP2	605.682932046	-7.39022188779	0.447715889858	-16.506498999	3.29449671592e-61	2.02271803055e-58	ENSG00000167580.7
WWC3	2419.90819691	-1.29412813505	0.0784827142614	-16.4893396874	4.37706731191e-61	2.60594671143e-58	ENSG00000047644.17
SLC16A12	47.5232105238	-3.50040765392	0.212442941039	-16.4769308728	5.37448353766e-61	3.10566111954e-58	ENSG00000152779.13
STAC2	462.370788894	-4.03511984584	0.249627517319	-16.1645634631	8.96708432344e-59	5.03360873436e-56	ENSG00000141750.6
SLC45A2	321.537855591	4.73920483593	0.293312597384	16.1575223096	1.00521382443e-58	5.48595444685e-56	ENSG00000164175.14
C1orf186	66.575332903	-3.03852233586	0.18971800585	-16.0159934333	9.88157816699e-58	5.24711800667e-55	ENSG00000263961.6
GCNT4	116.844863153	-2.34421555668	0.146537485793	-15.997378036	1.33270674882e-57	6.89044460372e-55	ENSG00000176928.5
FRMD3	238.955450009	-2.1184271887	0.133107082271	-15.9152101643	4.96998409858e-57	2.50372506628e-54	ENSG00000172159.15
PNMT	86.045496332	-4.19917661826	0.264549508679	-15.8729329691	9.75727040915e-57	4.79252729321e-54	ENSG00000141744.3
PLA2G4A	541.143204602	-2.15040519955	0.13586313737	-15.8277310621	2.00315284933e-56	9.59901073923e-54	ENSG00000116711.9
ABHD6	416.598766604	-1.24332907725	0.079351499045	-15.6686274641	2.47874514205e-55	1.1595215668e-52	ENSG00000163686.13
CYP19A1	7.1636402099	-3.45932465694	0.221867814977	-15.5918273108	8.27327508565e-55	3.78011710716e-52	ENSG00000137869.13
FUT3	68.6910750444	-3.86723567584	0.248120901678	-15.5860939151	9.05007413217e-55	4.04106378352e-52	ENSG00000171124.12
KCNJ16	50.3321128471	-4.88270312881	0.313391203244	-15.5802175628	9.92164877623e-55	4.3317918557e-52	ENSG00000153822.13
LAPTM4A	15148.4746026	-0.89444556891	0.0574298706722	-15.5745704882	1.0837858384e-54	4.62894355804e-52	ENSG00000068697.6
SLCO4C1	27.8357963149	-4.43459540172	0.285753688174	-15.5189437101	2.58267413049e-54	1.07961273706e-51	ENSG00000173930.8
HOXC6	670.495436341	2.84448900099	0.18464974779	15.4047814039	1.52002249666e-53	6.22164208163e-51	ENSG00000197757.7
