	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	geneId
GABRB2	5186.53446232	6.97624781362	0.227280470035	30.6944446768	6.75116851806e-207	1.32363409965e-202	ENSG00000145864.12
SLC22A31	2697.3813176	7.02556624761	0.258210532896	27.2086741343	5.12803557478e-163	5.02701327395e-159	ENSG00000259803.6
METTL7B	3562.43903092	4.25143507685	0.156929926423	27.091295929	1.24692518301e-161	8.14907171269e-158	ENSG00000170439.6
LIPH	3608.61965703	5.60525309599	0.207681447966	26.9896668715	1.95412478491e-160	9.57814263322e-157	ENSG00000163898.9
KLHDC8A	2771.52605635	4.84114619127	0.189280483823	25.576573419	2.7807158705e-144	1.09037430714e-140	ENSG00000162873.14
LRP4	12733.3877326	4.41644001581	0.172988511472	25.5302504093	9.09956518206e-144	2.97343458266e-140	ENSG00000134569.9
ETV4	2573.5199218	3.52095627377	0.139482530963	25.2429910001	1.35217253436e-140	3.78724210125e-137	ENSG00000175832.12
GOLT1A	597.617009107	3.95675186195	0.158835862589	24.9109476755	5.66211189922e-137	1.28472429812e-133	ENSG00000174567.7
GRHL3	322.958569372	5.18686677007	0.208229999537	24.9093155721	5.89743888762e-137	1.28472429812e-133	ENSG00000158055.15
HMGA2	2672.51079131	5.5346344142	0.224067050028	24.7007956481	1.04863623322e-134	2.05595619884e-131	ENSG00000149948.13
ZCCHC12	29930.7183843	6.58549366646	0.267735242155	24.5970370335	1.35884969987e-133	2.42196429234e-130	ENSG00000174460.3
PRR15	5893.77489649	5.73957530844	0.234188203789	24.5083877649	1.20229487708e-132	1.96434944667e-129	ENSG00000176532.3
SRCIN1	1223.0441317	3.3600948521	0.13880829592	24.2067293588	1.88982170288e-129	2.85014186975e-126	ENSG00000277363.4
NGEF	2218.7829162	5.15397691671	0.21401361332	24.0824723098	3.81584875251e-128	5.34382361726e-125	ENSG00000066248.14
GALE	3985.65799976	3.14169847836	0.131284504397	23.9304592176	1.47639075982e-126	1.92974114913e-123	ENSG00000117308.14
CDH3	6414.57930608	4.00124381216	0.168586706364	23.7340410669	1.60597286559e-124	1.96791900018e-121	ENSG00000062038.13
PLEKHN1	407.465790516	3.70077348356	0.156645456396	23.6251568905	2.12561300888e-123	2.45145697954e-120	ENSG00000187583.10
KCNQ3	1772.75272067	4.41850816598	0.189937860472	23.2629142763	1.05289610004e-119	1.14683782986e-116	ENSG00000184156.15
