	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	geneId
ZNF695	236.51726215	4.39720458272	0.225077711562	19.5363839103	5.3865856299e-85	1.05668650302e-80	ENSG00000197472.14
OTX1	266.192821623	6.04473449729	0.313087802488	19.3068348535	4.7054018961e-83	4.61529344979e-79	ENSG00000115507.9
TCEAL1	885.782980128	-2.37262816649	0.131616550964	-18.026822228	1.19992713008e-72	7.84632350357e-69	ENSG00000172465.13
AUNIP	314.537777568	3.5757475668	0.199708987159	17.9047904537	1.0820160153e-71	5.30647704306e-68	ENSG00000127423.10
CSRP1	18325.9613087	-2.99467166406	0.168610212688	-17.7609150497	1.41902194328e-70	5.56739069226e-67	ENSG00000159176.13
SPAG5	2486.45355416	3.18971893463	0.181425257141	17.5814491592	3.41729433667e-69	1.11728438337e-65	ENSG00000076382.16
BUB1	1638.60462768	3.72844789606	0.212956973273	17.5079868894	1.24520378894e-68	3.48959467537e-65	ENSG00000169679.14
MTFR2	316.9498511	3.66411635453	0.210835001472	17.3790705004	1.18864448965e-67	2.91470486918e-64	ENSG00000146410.11
SGOL1	414.200027863	3.72909648706	0.22073533879	16.8939713392	4.98329021262e-64	1.08619115668e-60	ENSG00000129810.14
AURKA	1232.22912733	3.36750335718	0.19991327413	16.8448211948	1.14514580747e-63	2.24643253052e-60	ENSG00000087586.17
PPP1R12B	4383.39992924	-4.21907987996	0.252816803087	-16.6882890237	1.5947594741e-62	2.84403605486e-59	ENSG00000077157.20
CCNB1	3894.72814958	3.03037811616	0.182580619073	16.5974796862	7.26791809171e-62	1.18812291004e-58	ENSG00000134057.14
TNS1	5834.52192173	-3.35765918663	0.204000086416	-16.4591066878	7.21574908635e-61	1.08885653713e-57	ENSG00000079308.16
CCNB2	1654.77628971	3.47526289017	0.21155108587	16.4275351075	1.2149812218e-60	1.70244904486e-57	ENSG00000157456.7
KIF2C	2114.04278408	3.66806311822	0.223457346103	16.4150482506	1.49262126044e-60	1.9520500844e-57	ENSG00000142945.12
MYLK	9077.09319486	-4.52893161379	0.277032414145	-16.3480206017	4.49340726075e-60	5.50919813963e-57	ENSG00000065534.18
CDC20	4213.59961671	4.10118021402	0.251027935405	16.3375450919	5.33584108036e-60	6.15724673373e-57	ENSG00000117399.13
CDCA5	2190.38480144	3.68478973073	0.225879712948	16.3130618622	7.96957640719e-60	8.6855100211e-57	ENSG00000146670.9
CBX7	1397.67018843	-3.37823081031	0.207395855732	-16.2888057642	1.18521041399e-59	1.2236985627e-56	ENSG00000100307.12
NCAPH	915.104590174	3.51536691256	0.216013291925	16.2738453788	1.51347342378e-59	1.48449040771e-56	ENSG00000121152.9
NEK2	1171.18396978	3.76916512922	0.233024858291	16.1749487023	7.57608328827e-59	7.07714408885e-56	ENSG00000117650.12
CDCA8	1317.69792603	3.33445083228	0.206456974866	16.1508267495	1.12049761737e-58	9.99127352727e-56	ENSG00000134690.10
POC1A	1188.80647074	3.44885921104	0.214766013085	16.0586824773	4.96996133085e-58	4.23894484467e-55	ENSG00000164087.7
TFAP2A	1704.16312065	5.1527942533	0.321621194552	16.0213143306	9.07124019479e-58	7.41460495421e-55	ENSG00000137203.10
KANK2	6243.28208054	-2.93897845199	0.18402959091	-15.9701406576	2.06320109416e-57	1.61895263457e-54	ENSG00000197256.10
PLK1	1819.04321469	3.43948399216	0.215829150923	15.9361419782	3.55643690333e-57	2.68333164356e-54	ENSG00000166851.14
CDCA2	554.496379618	3.72338656943	0.23511225713	15.8366331678	1.73885130511e-56	1.26337207601e-53	ENSG00000184661.13
TPX2	4362.06357115	3.65977312325	0.231350894415	15.8191440431	2.29592761104e-56	1.60854328378e-53	ENSG00000088325.15
PRAME	10076.9974405	3.87993744392	0.245444306436	15.8078119646	2.74847857326e-56	1.85920359213e-53	ENSG00000185686.17
CDC6	1299.44702533	3.19299521161	0.202203145501	15.791026414	3.586954565e-56	2.34550959006e-53	ENSG00000094804.9
