	num_samples	pval_counts	pval	pval_std	fc	fc_std	gene_id
GSTM5	303	303	1.01793987547e-31	0.0	-7.0199	1.7157	ENSG00000134201.10
STIL	303	303	1.31655356729e-15	0.0	4.6474	0.6195	ENSG00000123473.15
MCM4	303	303	5.04286681971e-11	0.0001	3.8988	0.4993	ENSG00000104738.16
UHRF1	303	303	1.33067162778e-09	0.0	6.1797	0.667	ENSG00000276043.4
CENPU	303	302	1.20778449564e-19	0.0009	5.2118	0.8067	ENSG00000151725.11
RACGAP1	303	302	3.2841213224e-12	0.0002	3.6123	0.5331	ENSG00000161800.12
CLEC3B	303	302	1.08677181734e-21	0.0002	-5.8916	1.3443	ENSG00000163815.5
ARHGAP11A	303	302	3.7133402451e-12	0.0001	4.6085	0.6278	ENSG00000198826.10
CDCA8	303	302	6.40040210636e-10	0.0002	5.0042	0.5651	ENSG00000134690.10
CENPF	303	302	2.21418312118e-10	0.0015	4.9606	0.6292	ENSG00000117724.12
FXYD1	303	302	2.10458715526e-31	0.0004	-7.3051	1.8607	ENSG00000266964.5
CCL14	303	302	8.84422900468e-39	0.0003	-8.0738	2.4594	ENSG00000276409.4
KIF2C	303	302	2.08910574377e-09	0.0013	4.8712	0.5754	ENSG00000142945.12
SMOC2	303	301	7.20301340881e-32	0.0114	-6.1403	1.7395	ENSG00000112562.18
ABCA8	303	301	8.96388159635e-28	0.0004	-6.9922	2.0602	ENSG00000141338.13
TOP2A	303	301	1.39491779259e-07	0.0007	5.3753	0.6239	ENSG00000131747.14
PRLHR	303	301	5.81866790234e-07	0.0776	-7.469	1.0015	ENSG00000119973.4
CSDC2	303	301	1.60221344268e-24	0.0004	-7.103	1.8428	ENSG00000172346.14
BLM	303	301	2.47819138933e-10	0.0003	4.6076	0.5927	ENSG00000197299.10
LRRN4CL	303	301	5.65903570687e-17	0.0002	-5.6057	1.4927	ENSG00000177363.4
ESPL1	303	301	1.60566229229e-11	0.0002	5.2714	0.6654	ENSG00000135476.11
BUB1	303	301	1.15781575278e-07	0.0006	4.7774	0.5961	ENSG00000169679.14
POLQ	303	301	1.23429277891e-14	0.0023	5.912	0.7518	ENSG00000051341.13
MYOCD	303	300	5.97590701589e-20	0.0494	-7.5686	1.8431	ENSG00000141052.17
MYH11	303	300	8.29367505767e-29	0.0347	-8.4356	1.8728	ENSG00000133392.16
CHRDL1	303	300	7.03717992835e-22	0.035	-9.2492	2.4954	ENSG00000101938.14
JAM2	303	300	1.09246093331e-16	0.0008	-5.1078	1.1998	ENSG00000154721.14
PGM5	303	300	1.58078956616e-21	0.0143	-8.4362	2.0693	ENSG00000154330.12
DES	303	300	7.67821625201e-28	0.035	-9.3779	2.3871	ENSG00000175084.11
DTL	303	300	2.15231366181e-09	0.0008	4.4838	0.5689	ENSG00000143476.17
TROAP	303	300	1.31901577673e-08	0.0003	5.6969	0.6146	ENSG00000135451.12
NDN	303	300	1.29058780859e-23	0.0068	-4.9188	1.3457	ENSG00000182636.5
SKA3	303	300	9.34331674496e-10	0.0004	5.3079	0.6153	ENSG00000165480.15
SPARCL1	303	299	1.53064719959e-19	0.0102	-5.7446	1.3405	ENSG00000152583.12
E2F7	303	299	2.14065877039e-19	0.0341	7.2464	1.0862	ENSG00000165891.15
KCNMB1	303	299	1.95498318667e-14	0.0111	-5.9626	1.3482	ENSG00000145936.8
SKA1	303	299	1.89363510819e-11	0.0256	5.4996	0.758	ENSG00000154839.9
ADGRD1	303	299	1.46078751692e-19	0.0619	-6.5806	1.8484	ENSG00000111452.12
JAM3	303	299	1.23148988941e-18	0.0348	-4.4211	0.9482	ENSG00000166086.12
CDC6	303	299	1.09157943066e-07	0.0003	5.1824	0.5735	ENSG00000094804.9
OLFML3	303	299	4.16949607449e-20	0.0228	-4.562	1.4208	ENSG00000116774.11
EZH2	303	299	3.90960080746e-10	0.003	4.3281	0.6705	ENSG00000106462.10
GPIHBP1	303	299	4.544993099e-11	0.0031	-6.516	1.5184	ENSG00000277494.1
LMOD1	303	299	6.73994821444e-20	0.0172	-7.1739	1.5751	ENSG00000163431.12
CNN1	303	299	6.25065267067e-21	0.0201	-8.5336	1.8697	ENSG00000130176.7
CCNF	303	298	8.79074065991e-10	0.0013	3.5735	0.655	ENSG00000162063.12
HSPB7	303	298	1.19669100543e-18	0.0032	-6.9785	1.5754	ENSG00000173641.17
LCN6	303	298	2.5987741628e-09	0.0063	-7.1916	1.5016	ENSG00000267206.5
ACTA2	303	298	1.25036694432e-14	0.0157	-6.3944	1.4194	ENSG00000107796.12
SCN7A	303	298	1.15607882995e-13	0.0548	-7.6878	1.76	ENSG00000136546.13
GPM6A	303	298	2.57589143218e-12	0.0185	-8.3659	1.8166	ENSG00000150625.16
PLN	303	298	2.0581561142e-18	0.0079	-7.7207	1.9656	ENSG00000198523.5
TIMELESS	303	298	1.48219211834e-09	0.0104	3.4249	0.5264	ENSG00000111602.11
CASQ2	303	298	1.04129319346e-12	0.0034	-7.0378	1.7456	ENSG00000118729.11
MRGPRF	303	298	1.10461335344e-18	0.0141	-5.9212	1.4647	ENSG00000172935.8
RAI2	303	298	1.94595798825e-25	0.0077	-5.4989	1.5005	ENSG00000131831.17
UBE2T	303	298	8.50956553573e-08	0.0012	4.0244	0.5526	ENSG00000077152.9
LIMS2	303	298	5.37554352894e-14	0.0059	-5.4472	1.1437	ENSG00000072163.18
CLVS2	303	297	1.84280656956e-06	0.0526	-7.2588	1.2133	ENSG00000146352.12
TCEAL7	303	297	6.89051503276e-13	0.0254	-5.7193	1.4407	ENSG00000182916.7
TNXB	303	297	6.37595595194e-11	0.0038	-5.4846	1.4701	ENSG00000168477.17
NCAPH	303	297	7.88899653266e-08	0.0014	4.8949	0.5976	ENSG00000121152.9
ORC1	303	297	1.29500823552e-10	0.0025	4.8617	0.6235	ENSG00000085840.12
ECSCR	303	297	2.91409383548e-13	0.0549	-4.2047	1.06	ENSG00000249751.3
ABCG2	303	297	4.74132875161e-11	0.012	-5.0031	1.2297	ENSG00000118777.10
TCF23	303	297	7.9823373728e-12	0.0477	-9.2762	1.6663	ENSG00000163792.6
DACT3	303	297	6.70242261652e-19	0.0167	-5.7392	1.3616	ENSG00000197380.10
FANCI	303	297	1.54173822541e-08	0.0011	3.7437	0.538	ENSG00000140525.17
FHL1	303	297	9.60197822256e-26	0.0317	-6.2932	1.7047	ENSG00000022267.16
ATOH8	303	297	5.50676334819e-24	0.0394	-5.46	1.5515	ENSG00000168874.12
PLK1	303	296	1.28254895606e-08	0.0013	4.6705	0.6426	ENSG00000166851.14
NCAM1	303	296	4.26943259332e-14	0.0114	-6.9434	1.5423	ENSG00000149294.16
CCNB1	303	296	1.27278046609e-07	0.001	3.9711	0.6106	ENSG00000134057.14
KIF15	303	296	1.38533323543e-10	0.0006	4.5004	0.7646	ENSG00000163808.16
CACNB2	303	296	3.5235693453e-09	0.0233	-5.3739	1.042	ENSG00000165995.18
TCF21	303	296	1.50250548321e-17	0.0081	-7.1453	2.1394	ENSG00000118526.6
DPP6	303	295	1.3217845814e-11	0.055	-8.494	1.9091	ENSG00000130226.16
RAD51AP1	303	295	1.58923828655e-10	0.0183	4.191	0.6746	ENSG00000111247.14
AUNIP	303	295	1.86753074058e-08	0.0042	4.7366	0.6408	ENSG00000127423.10
CD34	303	295	1.5195287255e-10	0.0241	-4.2486	0.9811	ENSG00000174059.16
CNRIP1	303	295	1.20586144974e-13	0.0014	-4.5009	1.1259	ENSG00000119865.8
ZCCHC24	303	295	5.70363201658e-13	0.0147	-4.0454	0.9663	ENSG00000165424.6
CDK1	303	295	1.0376163732e-06	0.0009	4.3448	0.569	ENSG00000170312.15
HSPA12B	303	295	1.2374336472e-09	0.0116	-4.1196	0.9423	ENSG00000132622.10
GTSE1	303	295	3.10625959211e-08	0.0718	5.437	0.7659	ENSG00000075218.18
SLITRK3	303	295	2.9560303044e-09	0.0661	-8.058	1.7242	ENSG00000121871.3
HAND2	303	295	9.0077264776e-12	0.0542	-6.8381	1.7819	ENSG00000164107.8
APBB1	303	295	4.20574090021e-16	0.001	-4.2761	1.3259	ENSG00000166313.18
OGN	303	294	1.4917853572e-17	0.0516	-9.509	2.3473	ENSG00000106809.10
BRIP1	303	294	8.85688558238e-09	0.0058	4.9729	0.6741	ENSG00000136492.8
NXPH3	303	294	2.11051384543e-22	0.0525	-5.6182	1.569	ENSG00000182575.7
TNS2	303	294	1.30145499114e-13	0.0168	-3.4486	0.8115	ENSG00000111077.17
MAMDC2	303	294	2.96662742041e-17	0.0427	-6.799	2.1831	ENSG00000165072.9
RASL12	303	294	6.20224181561e-15	0.0296	-5.0294	1.2814	ENSG00000103710.10
C7	303	294	1.74724416095e-22	0.0555	-9.2788	2.478	ENSG00000112936.18
KCNB1	303	294	1.1939296267e-11	0.0505	-7.3907	1.7578	ENSG00000158445.7
MRVI1	303	294	1.06750136227e-15	0.0123	-4.6095	1.2701	ENSG00000072952.18
LGI4	303	294	2.66788603331e-12	0.0125	-4.4986	1.0919	ENSG00000153902.13
C1QTNF7	303	294	1.2307529342e-15	0.0388	-6.4421	1.9495	ENSG00000163145.12
HSPB2	303	294	6.9896654324e-13	0.0066	-4.9646	1.4744	ENSG00000170276.5
ASPN	303	294	5.80126166334e-23	0.0736	-5.0772	1.6573	ENSG00000106819.11
FAM83D	303	294	2.88400501333e-10	0.0014	5.7145	0.8753	ENSG00000101447.13
MASP1	303	294	2.29278956291e-14	0.0169	-6.7964	2.0675	ENSG00000127241.16
ACTG2	303	294	4.3861280866e-13	0.0459	-8.4474	1.9445	ENSG00000163017.13
TCEAL6	303	294	4.40442922253e-06	0.0151	-7.3173	1.0689	ENSG00000204071.9
FANCA	303	294	2.56264971822e-07	0.0058	4.0218	0.5987	ENSG00000187741.14
CXorf36	303	293	1.68359497659e-09	0.0245	-4.5132	1.0083	ENSG00000147113.16
GNG11	303	293	2.62023778267e-10	0.0211	-4.6063	1.0082	ENSG00000127920.5
KIF11	303	293	4.55148790657e-07	0.0011	4.4174	0.6251	ENSG00000138160.5
MMRN1	303	293	4.66463082817e-14	0.0409	-5.4543	1.8943	ENSG00000138722.9
ZCCHC12	303	293	8.04606634527e-14	0.052	-8.0575	1.824	ENSG00000174460.3
LDB2	303	293	5.9731460148e-09	0.0188	-4.8543	1.0964	ENSG00000169744.12
RERGL	303	293	1.66687707013e-11	0.0836	-6.9664	2.0081	ENSG00000111404.6
PDZRN3	303	293	1.7242713396e-15	0.0292	-5.3551	1.5932	ENSG00000121440.14
FIGF	303	293	7.1446194323e-09	0.0122	-6.1296	1.4437	ENSG00000165197.4
RAB3IL1	303	293	3.89021237282e-12	0.0488	-3.8517	1.0585	ENSG00000167994.11
BUB1B	303	293	5.78889454829e-07	0.021	5.3389	0.6811	ENSG00000156970.12
TPX2	303	293	8.31609006716e-06	0.001	5.1692	0.5942	ENSG00000088325.15
MFAP4	303	292	4.83674546709e-27	0.0747	-5.3017	1.9895	ENSG00000166482.11
HSPB6	303	292	1.73901684021e-10	0.0048	-6.4389	1.8143	ENSG00000004776.11
MCM10	303	292	3.35722414525e-07	0.0009	5.7103	0.719	ENSG00000065328.16
KNTC1	303	292	5.55871991811e-09	0.0111	3.2106	0.5588	ENSG00000184445.11
CXCL12	303	292	1.52067703154e-15	0.0064	-5.7358	1.7043	ENSG00000107562.16
HIC1	303	292	5.85577060996e-11	0.0526	-3.4264	0.9993	ENSG00000177374.12
TCEAL2	303	292	6.18204124247e-13	0.0531	-7.7722	2.21	ENSG00000184905.8
ADH1B	303	292	2.8281318902e-12	0.0758	-9.1571	1.9885	ENSG00000196616.12
TFAP2A	303	292	5.45423784595e-12	0.0974	6.0598	1.2087	ENSG00000137203.10
PMP22	303	292	1.38537353108e-12	0.0085	-3.806	1.1141	ENSG00000109099.13
RECQL4	303	292	2.73327622228e-08	0.0034	3.6699	0.6927	ENSG00000160957.12
NECAB1	303	291	2.57553720026e-17	0.0084	-5.817	1.795	ENSG00000123119.11
CLIP3	303	291	7.03175413857e-12	0.0725	-4.6741	1.1406	ENSG00000105270.14
PDE2A	303	291	1.24705496556e-14	0.0155	-5.1304	1.3303	ENSG00000186642.15
OLFML1	303	291	1.16795462092e-15	0.0509	-4.1957	1.4599	ENSG00000183801.7
KANK3	303	291	6.50356326453e-11	0.0093	-3.6411	0.9565	ENSG00000186994.11
TCEAL5	303	291	1.40648822774e-08	0.0975	-6.7356	1.843	ENSG00000204065.2
TAGLN	303	291	1.93764568741e-10	0.0344	-5.9498	1.5894	ENSG00000149591.16
DCN	303	291	4.6563120472e-16	0.0398	-5.2901	1.7611	ENSG00000011465.16
