query	_id	_score	entrezgene	name	notfound	summary	symbol
MFSD2A	84879	91.206276	84879.0	major facilitator superfamily domain containing 2A			MFSD2A
SERPINA5	5104	99.44547	5104.0	serpin family A member 5		The protein encoded by this gene is a member of the serpin family of proteins, a group of proteins that inhibit serine proteases. This gene is one in a cluster of serpin genes located on the q arm of chromosome 14. This family member is a glycoprotein that can inhibit several serine proteases, including protein C and various plasminogen activators and kallikreins, and it thus plays diverse roles in hemostasis and thrombosis in multiple organs.	SERPINA5
SPINK2	6691	98.66807	6691.0	serine peptidase inhibitor, Kazal type 2		This gene encodes a member of the family of serine protease inhibitors of the Kazal type (SPINK). The encoded protein acts as a trypsin and acrosin inhibitor in the genital tract and is localized in the spermatozoa. The protein has been associated with the progression of lymphomas. Alternative splicing results in multiple transcript variants.	SPINK2
MCF2	4168	92.935646	4168.0	MCF.2 cell line derived transforming sequence		The oncogenic protein encoded by this gene is a guanine nucleotide exchange factor (GEF) that exerts control over some members of the Rho family of small GTPases. Several transcript variants encoding different isoforms have been found for this gene. These isoforms exhibit different expression patterns and varying levels of GEF activity.	MCF2
EMX2	2018	95.165184	2018.0	empty spiracles homeobox 2		This gene encodes a homeobox-containing transcription factor that is the homolog to the 'empty spiracles' gene in Drosophila. Research on this gene in humans has focused on its expression in three tissues: dorsal telencephalon, olfactory neuroepithelium, and urogenetial system. It is expressed in the dorsal telencephalon during development in a low rostral-lateral to high caudal-medial gradient and is proposed to pattern the neocortex into defined functional areas. It is also expressed in embryonic and adult olfactory neuroepithelia where it complexes with eukaryotic translation initiation factor 4E (eIF4E) and possibly regulates mRNA transport or translation. In the developing urogenital system, it is expressed in epithelial tissues and is negatively regulated by HOXA10. Alternative splicing results in multiple transcript variants encoding distinct proteins.	EMX2
CLDN2	9075	96.44029	9075.0	claudin 2		This gene product belongs to the claudin protein family whose members have been identified as major integral membrane proteins localized exclusively at tight junctions. Claudins are expressed in an organ-specific manner and regulate tissue-specific physiologic properties of tight junctions. This protein is expressed in the intestine. Alternatively spliced transcript variants with different 5' untranslated region have been found for this gene.	CLDN2
HOXB8	3218	96.98781	3218.0	homeobox B8		This gene is a member of the Antp homeobox family and encodes a nuclear protein with a homeobox DNA-binding domain. It is included in a cluster of homeobox B genes located on chromosome 17. The encoded protein functions as a sequence-specific transcription factor that is involved in development. Increased expression of this gene is associated with colorectal cancer. Mice that have had the murine ortholog of this gene knocked out exhibit an excessive pathologic grooming behavior. This behavior is similar to the behavior of humans suffering from the obsessive-compulsive spectrum disorder trichotillomania.	HOXB8
AKR1B1	231	96.99105	231.0	aldo-keto reductase family 1 member B		This gene encodes a member of the aldo/keto reductase superfamily, which consists of more than 40 known enzymes and proteins. This member catalyzes the reduction of a number of aldehydes, including the aldehyde form of glucose, and is thereby implicated in the development of diabetic complications by catalyzing the reduction of glucose to sorbitol. Multiple pseudogenes have been identified for this gene. The nomenclature system used by the HUGO Gene Nomenclature Committee to define human aldo-keto reductase family members is known to differ from that used by the Mouse Genome Informatics database.	AKR1B1
NDRG4	65009	93.275116	65009.0	NDRG family member 4		This gene is a member of the N-myc downregulated gene family which belongs to the alpha/beta hydrolase superfamily. The protein encoded by this gene is a cytoplasmic protein that is required for cell cycle progression and survival in primary astrocytes and may be involved in the regulation of mitogenic signalling in vascular smooth muscles cells. Alternative splicing results in multiple transcripts encoding different isoforms.	NDRG4
KLHL14	57565	94.68412	57565.0	kelch like family member 14		The protein encoded by this gene is a member of the Kelch-like gene family, whose members contain a BTB/POZ domain, a BACK domain, and several Kelch domains. The encoded protein possesses six Kelch domains and localizes to the endoplasmic reticulum, where it interacts with torsin-1A.	KLHL14
CRTAC1	55118	95.14645	55118.0	cartilage acidic protein 1		This gene encodes a glycosylated extracellular matrix protein that is found in the interterritorial matrix of articular deep zone cartilage. This protein is used as a marker to distinguish chondrocytes from osteoblasts and mesenchymal stem cells in culture. The presence of FG-GAP motifs and an RGD integrin-binding motif suggests that this protein may be involved in cell-cell or cell-matrix interactions. Copy number alterations in this gene have been observed in neurofibromatosis type 1-associated glomus tumors. Alternative splicing results in multiple transcript variants.	CRTAC1
ACSL6	23305	94.68735	23305.0	acyl-CoA synthetase long-chain family member 6		The protein encoded by this gene catalyzes the formation of acyl-CoA from fatty acids, ATP, and CoA, using magnesium as a cofactor. The encoded protein plays a major role in fatty acid metabolism in the brain. Translocations with the ETV6 gene are causes of myelodysplastic syndrome with basophilia, acute myelogenous leukemia with eosinophilia, and acute eosinophilic leukemia. Several transcript variants encoding different isoforms have been found for this gene.	ACSL6
CYSLTR2	57105	100.283905	57105.0	cysteinyl leukotriene receptor 2		The cysteinyl leukotrienes LTC4, LTD4, and LTE4 are important mediators of human bronchial asthma. Pharmacologic studies have determined that cysteinyl leukotrienes activate at least 2 receptors, the protein encoded by this gene and CYSLTR1. This encoded receptor is a member of the superfamily of G protein-coupled receptors. It seems to play a major role in endocrine and cardiovascular systems.	CYSLTR2
WNT9B	7484	94.69105	7484.0	Wnt family member 9B		The WNT gene family consists of structurally related genes that encode secreted signaling proteins. These proteins have been implicated in oncogenesis and in several developmental processes, including regulation of cell fate and patterning during embryogenesis. This gene is a member of the WNT gene family. Study of its expression in the teratocarcinoma cell line NT2 suggests that it may be implicated in the early process of neuronal differentiation of NT2 cells induced by retinoic acid. This gene is clustered with WNT3, another family member, in the chromosome 17q21 region. Alternative splicing results in multiple transcript variants.	WNT9B
SLC2A9	56606	94.05308	56606.0	solute carrier family 2 member 9		This gene encodes a member of the SLC2A facilitative glucose transporter family. Members of this family play a significant role in maintaining glucose homeostasis. The encoded protein may play a role in the development and survival of chondrocytes in cartilage matrices. Two transcript variants encoding distinct isoforms have been identified for this gene.	SLC2A9
ABCG2	9429	97.014626	9429.0	ATP binding cassette subfamily G member 2 (Junior blood group)		The membrane-associated protein encoded by this gene is included in the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This protein is a member of the White subfamily. Alternatively referred to as a breast cancer resistance protein, this protein functions as a xenobiotic transporter which may play a major role in multi-drug resistance. It likely serves as a cellular defense mechanism in response to mitoxantrone and anthracycline exposure. Significant expression of this protein has been observed in the placenta, which may suggest a potential role for this molecule in placenta tissue. Multiple transcript variants encoding different isoforms have been found for this gene.	ABCG2
ANO1	55107	96.14476	55107.0	anoctamin 1			ANO1
ANXA9	8416	99.04424	8416.0	annexin A9		The annexins are a family of calcium-dependent phospholipid-binding proteins. Members of the annexin family contain 4 internal repeat domains, each of which includes a type II calcium-binding site. The calcium-binding sites are required for annexins to aggregate and cooperatively bind anionic phospholipids and extracellular matrix proteins. This gene encodes a divergent member of the annexin protein family in which all four homologous type II calcium-binding sites in the conserved tetrad core contain amino acid substitutions that ablate their function. However, structural analysis suggests that the conserved putative ion channel formed by the tetrad core is intact.	ANXA9
PATE2	399967	97.94154	399967.0	prostate and testis expressed 2			PATE2
CA2	760	97.295334	760.0	carbonic anhydrase 2		The protein encoded by this gene is one of several isozymes of carbonic anhydrase, which catalyzes reversible hydration of carbon dioxide. Defects in this enzyme are associated with osteopetrosis and renal tubular acidosis. Two transcript variants encoding different isoforms have been found for this gene.	CA2
KCP	375616	96.42041	375616.0	kielin/chordin-like protein			KCP
HOXB6	3216	95.403015	3216.0	homeobox B6		This gene is a member of the Antp homeobox family and encodes a protein with a homeobox DNA-binding domain. It is included in a cluster of homeobox B genes located on chromosome 17. The encoded protein functions as a sequence-specific transcription factor that is involved in development, including that of lung and skin, and has been localized to both the nucleus and cytoplasm. Altered expression of this gene or a change in the subcellular localization of its protein is associated with some cases of acute myeloid leukemia and colorectal cancer.	HOXB6
ANXA13	312	95.38185	312.0	annexin A13		This gene encodes a member of the annexin family. Members of this calcium-dependent phospholipid-binding protein family play a role in the regulation of cellular growth and in signal transduction pathways. The specific function of this gene has not yet been determined; however, it is associated with the plasma membrane of undifferentiated, proliferating endothelial cells and differentiated villus enterocytes. Alternatively spliced transcript variants encoding different isoforms have been identified.	ANXA13
RASL10B	91608	94.70852	91608.0	RAS like family 10 member B			RASL10B
KCNJ5	3762	96.14476	3762.0	potassium voltage-gated channel subfamily J member 5		Potassium channels are present in most mammalian cells, where they participate in a wide range of physiologic responses. The protein encoded by this gene is an integral membrane protein and inward-rectifier type potassium channel. The encoded protein, which has a greater tendency to allow potassium to flow into a cell rather than out of a cell, is controlled by G-proteins. It may associate with two other G-protein-activated potassium channels to form a heteromultimeric pore-forming complex.	KCNJ5
MRO	83876	99.027435	83876.0	maestro		This gene is specifically transcribed in males before and after differentiation of testis, and the encoded protein may play an important role in a mammalian sex determination. Multiple transcript variants encoding different isoforms have been found for this gene.	MRO
PAQR8	85315	93.84546	85315.0	progestin and adipoQ receptor family member 8			PAQR8
SEMG2	6407	109.788025	6407.0	semenogelin II		The secreted protein encoded by this gene is involved in the formation of a gel matrix that encases ejaculated spermatozoa. Proteolysis by the prostate-specific antigen (PSA) breaks down the gel matrix and allows the spermatozoa to move more freely. The encoded protein is found in lesser abundance than a similar semenogelin protein. An antibacterial activity has been found for a antimicrobial peptide isolated from this protein. The genes encoding these two semenogelin proteins are found in a cluster on chromosome 20.	SEMG2
AQP2	359	96.41671	359.0	aquaporin 2		This gene encodes a water channel protein located in the kidney collecting tubule. It belongs to the MIP/aquaporin family, some members of which are clustered together on chromosome 12q13. Mutations in this gene have been linked to autosomal dominant and recessive forms of nephrogenic diabetes insipidus.	AQP2
WWC3	55841	96.43658	55841.0	WWC family member 3		This gene encodes a member of the WWC family of proteins, which also includes the WWC1 (KIBRA) gene product and the WWC2 gene product. The protein encoded by this gene includes a C2 domain, which is known to mediate homodimerization in the related WWC1 gene product.	WWC3
SLC16A12	387700	92.9146	387700.0	solute carrier family 16 member 12		This gene encodes a transmembrane transporter that likely plays a role in monocarboxylic acid transport. A mutation in this gene has been associated with juvenile cataracts with microcornea and renal glucosuria.	SLC16A12
STAC2	342667	97.963036	342667.0	SH3 and cysteine rich domain 2			STAC2
