	num_samples	pval_counts	pval	pval_std	fc	fc_std	gene_id
ANKRD36C	154	154	3.15118070413e-16	0.0	-3.8099	1.0065	ENSG00000174501.14
GOLGA8F	154	154	1.23026602428e-11	0.0	-9.997	1.1419	ENSG00000153684.14
LCNL1	154	154	2.00729123691e-17	0.0	-7.3613	1.656	ENSG00000214402.6
TRIM73	154	154	3.15980452622e-21	0.0	-4.3777	0.9232	ENSG00000178809.11
ANKRD30A	154	154	3.39219609345e-07	0.0	-7.3817	1.0653	ENSG00000148513.17
PRCC	154	154	2.54591766486e-25	0.0	1.2651	0.3505	ENSG00000143294.14
MAGOHB	154	154	5.03256732364e-29	0.0	2.7241	0.7658	ENSG00000111196.9
DENR	154	154	2.21878593415e-20	0.0	2.3044	0.6353	ENSG00000139726.10
SEC31B	154	154	2.25791724739e-39	0.0	-3.3984	0.9223	ENSG00000075826.16
FAM153B	154	154	3.6484842223e-47	0.0	-7.5663	1.9488	ENSG00000182230.11
FAM153C	154	154	1.971999233e-25	0.0	-7.9848	1.6952	ENSG00000204677.10
PHB2	154	154	9.34067455521e-22	0.0	3.425	0.7248	ENSG00000215021.8
YARS2	154	154	2.10313905986e-36	0.0	2.3089	0.6887	ENSG00000139131.12
STRC	154	154	2.27980135802e-16	0.0	-6.0077	1.1706	ENSG00000242866.9
SCML1	154	154	4.65811708378e-18	0.0	-3.823	1.1419	ENSG00000047634.14
DLG3	154	154	7.30836018741e-14	0.0001	4.1941	0.8387	ENSG00000082458.11
DERA	154	154	2.7841808223e-17	0.0	3.2419	0.7064	ENSG00000023697.12
RALA	154	154	1.36816622127e-17	0.0	2.155	0.4584	ENSG00000006451.7
LENG8	154	154	2.04211759279e-13	0.0	-2.5807	0.4524	ENSG00000167615.16
POTEB3	154	154	1.38509997385e-07	0.0	-8.1838	1.1126	ENSG00000278522.4
CCDC180	154	154	4.68620645729e-16	0.0	-4.8612	1.1096	ENSG00000197816.13
TMEM262	154	154	2.46391025616e-08	0.0001	-3.1958	0.5638	ENSG00000187066.8
BEND2	154	154	1.789173073e-10	0.0001	-8.0995	1.5449	ENSG00000177324.13
ALDH18A1	154	154	4.33757323804e-16	0.0	2.1999	0.3672	ENSG00000059573.8
FAM153A	154	154	6.27543600285e-28	0.0	-6.6346	1.9881	ENSG00000170074.19
FAM64A	154	154	6.42287396024e-29	0.0	5.1314	1.1606	ENSG00000129195.15
VANGL2	154	154	4.12211000187e-14	0.0	2.9216	0.6166	ENSG00000162738.5
RHNO1	154	154	1.33757228546e-25	0.0	2.3028	0.6224	ENSG00000171792.10
MRPL15	154	154	6.62724092984e-37	0.0	3.567	0.8576	ENSG00000137547.8
ANP32A	154	154	2.084923937e-09	0.0001	2.7559	0.4622	ENSG00000140350.15
PPP1R3E	154	154	5.49075876981e-24	0.0	-3.4016	0.8409	ENSG00000235194.8
POLN	154	154	1.21376378223e-17	0.0	-4.4032	0.866	ENSG00000130997.16
FAM32A	154	154	6.40864105522e-13	0.0001	1.4922	0.3624	ENSG00000105058.11
SPINT1	154	154	1.27727140797e-28	0.0001	5.3889	0.8794	ENSG00000166145.14
TK1	154	154	8.40558963096e-15	0.0	3.6266	0.8511	ENSG00000167900.11
GDF9	154	154	3.66854407378e-11	0.0	-4.6359	0.7781	ENSG00000164404.8
EMG1	154	154	6.40212558061e-28	0.0001	2.5989	0.6816	ENSG00000126749.14
LRCH4	154	154	1.01308883048e-09	0.0001	-2.1751	0.4185	ENSG00000077454.15
PRR11	154	154	2.7698782884e-38	0.0	3.7215	0.7564	ENSG00000068489.12
MCF2	154	154	3.07155380671e-23	0.0	-6.4357	1.4981	ENSG00000101977.19
CPEB2	154	154	1.81455783041e-10	0.0	-3.2538	0.7545	ENSG00000137449.15
RPL6	154	154	1.99242974893e-08	0.0	3.0129	0.4656	ENSG00000089009.15
CATSPER2	154	154	4.15548386028e-18	0.0	-5.0671	0.8728	ENSG00000166762.16
RGPD3	154	154	1.05939043964e-08	0.0001	-5.3744	0.9958	ENSG00000153165.18
AURKB	154	154	6.59896373658e-20	0.0	5.1218	0.9901	ENSG00000178999.12
C9orf84	154	154	5.1627075106e-17	0.0	-5.9154	1.3982	ENSG00000165181.16
COPZ1	154	154	1.16090010328e-12	0.0	1.7898	0.3307	ENSG00000111481.9
FAM136A	154	154	1.23299268714e-13	0.0001	2.2439	0.7327	ENSG00000035141.7
CDK4	154	154	2.44101519443e-10	0.0	2.5589	0.4611	ENSG00000135446.16
L3MBTL4	154	154	7.59671879127e-33	0.0	-3.9976	0.9862	ENSG00000154655.14
THOC6	154	154	3.41678653676e-17	0.0001	2.0811	0.5835	ENSG00000131652.13
GCSAML	154	154	1.13948938716e-09	0.0001	-6.0564	1.2659	ENSG00000169224.12
DNAJC5G	154	154	6.41287024177e-18	0.0	-6.9841	1.6976	ENSG00000163793.12
P4HB	154	154	1.46349183579e-11	0.0	2.5439	0.5531	ENSG00000185624.14
SPATA31D1	154	154	5.17456108977e-11	0.0001	-7.7945	1.9055	ENSG00000214929.3
LASP1	154	154	1.43266757606e-11	0.0	2.7959	0.4428	ENSG00000002834.17
SLC35G2	154	154	5.92038438031e-26	0.0	-3.304	1.0436	ENSG00000168917.8
