query	_id	_score	entrezgene	name	notfound	summary	symbol
DCAF12L1	139170	111.14438	139170.0	DDB1 and CUL4 associated factor 12 like 1		This gene encodes a member of the WD repeat protein family. WD repeats are minimally conserved regions of approximately 40 amino acids typically bracketed by gly-his and trp-asp (GH-WD), which may facilitate formation of heterotrimeric or multiprotein complexes. Members of this family are involved in a variety of cellular processes, including cell cycle progression, signal transduction, apoptosis, and gene regulation.	DCAF12L1
MT1M	4499	109.436714	4499.0	metallothionein 1M		This gene encodes a member of the metallothionein superfamily, type 1 family. Metallothioneins have a high content of cysteine residues that bind various heavy metals. These genes are transcriptionally regulated by both heavy metals and glucocorticoids.	MT1M
SECISBP2L	9728	92.733116	9728.0	SECIS binding protein 2 like			SECISBP2L
KCNE2	9992	95.539764	9992.0	potassium voltage-gated channel subfamily E regulatory subunit 2		Voltage-gated potassium (Kv) channels represent the most complex class of voltage-gated ion channels from both functional and structural standpoints. Their diverse functions include regulating neurotransmitter release, heart rate, insulin secretion, neuronal excitability, epithelial electrolyte transport, smooth muscle contraction, and cell volume. This gene encodes a member of the potassium channel, voltage-gated, isk-related subfamily. This member is a small integral membrane subunit that assembles with the KCNH2 gene product, a pore-forming protein, to alter its function. This gene is expressed in heart and muscle and the gene mutations are associated with cardiac arrhythmia.	KCNE2
ZCWPW2	152098	98.66305	152098.0	zinc finger CW-type and PWWP domain containing 2			ZCWPW2
GALR1	2587	98.6859	2587.0	galanin receptor 1		The neuropeptide galanin elicits a range of biological effects by interaction with specific G-protein-coupled receptors. Galanin receptors are seven-transmembrane proteins shown to activate a variety of intracellular second-messenger pathways. GALR1 inhibits adenylyl cyclase via a G protein of the Gi/Go family.  GALR1 is widely expressed in the brain and spinal cord, as well as in peripheral sites such as the small intestine and heart.	GALR1
SRRM4	84530	94.80489	84530.0	serine/arginine repetitive matrix 4		SRRM4 promotes alternative splicing and inclusion of neural-specific exons in target mRNAs (Calarco et al., 2009 [PubMed 19737518]).	SRRM4
SERTM1	400120	95.03958	400120.0	serine rich and transmembrane domain containing 1			SERTM1
GHRL	51738	96.3601	51738.0	ghrelin and obestatin prepropeptide		This gene encodes the ghrelin-obestatin preproprotein that is cleaved to yield two peptides, ghrelin and obestatin. Ghrelin is a powerful appetite stimulant and plays an important role in energy homeostasis. Its secretion is initiated when the stomach is empty, whereupon it binds to the growth hormone secretagogue receptor in the hypothalamus which results in the secretion of growth hormone (somatotropin). Ghrelin is thought to regulate multiple activities, including hunger, reward perception via the mesolimbic pathway, gastric acid secretion, gastrointestinal motility, and pancreatic glucose-stimulated insulin secretion. It was initially proposed that obestatin plays an opposing role to ghrelin by promoting satiety and thus decreasing food intake, but this action is still debated. Recent reports suggest multiple metabolic roles for obestatin, including regulating adipocyte function and glucose metabolism. Alternative splicing results in multiple transcript variants. In addition, antisense transcripts for this gene have been identified and may potentially regulate ghrelin-obestatin preproprotein expression.	GHRL
HS6ST3	266722	98.30399	266722.0	heparan sulfate 6-O-sulfotransferase 3		Heparan sulfate (HS) sulfotransferases, such as HS6ST3, modify HS to generate structures required for interactions between HS and a variety of proteins. These interactions are implicated in proliferation and differentiation, adhesion, migration, inflammation, blood coagulation, and other diverse processes (Habuchi et al., 2000 [PubMed 10644753]).	HS6ST3
