	num_samples	pval_counts	pval	pval_std	fc	fc_std	gene_id
CHRD	421	357	6.00892254659e-07	0.0568	-3.3553	1.2084	ENSG00000090539.15
UBAP1L	421	351	3.05429217617e-06	0.0308	-3.2012	0.8968	ENSG00000246922.8
LENG8	421	321	6.64590515995e-06	0.0826	-2.2407	0.7169	ENSG00000167615.16
GDF2	421	321	2.79463194285e-08	0.2821	-6.4831	2.8366	ENSG00000263761.2
NKTR	421	317	3.55528321356e-06	0.108	-2.1709	0.7981	ENSG00000114857.17
KRT13	421	314	6.86751545584e-06	0.1369	-5.4939	1.8558	ENSG00000171401.14
PRSS53	421	309	3.5548186361e-05	0.0443	-4.3775	1.267	ENSG00000151006.7
FAM65C	421	304	9.70439676854e-06	0.1386	-4.3649	1.76	ENSG00000042062.11
BMPER	421	303	1.27890962864e-06	0.2507	-4.5419	2.3835	ENSG00000164619.8
SGK494	421	300	1.745991547e-05	0.0831	-2.7746	1.0884	ENSG00000167524.14
TAF1C	421	298	5.9680233331e-05	0.0771	-1.6473	0.5108	ENSG00000103168.16
RIC3	421	298	7.22285825146e-07	0.1997	-4.8604	2.1342	ENSG00000166405.14
KIAA0895L	421	298	3.63770274593e-05	0.1056	-2.5732	0.8394	ENSG00000196123.12
JMJD7-PLA2G4B	421	294	3.32201239728e-05	0.1004	-2.4888	1.1534	ENSG00000168970.20
KRT5	421	291	3.49892594529e-05	0.2223	-4.5471	2.3993	ENSG00000186081.11
CLEC4M	421	291	3.28326310325e-05	0.2801	-5.2804	2.3256	ENSG00000104938.16
RPS6KA6	421	288	3.02934217578e-05	0.2673	-4.329	2.3494	ENSG00000072133.10
MAPK8IP3	421	287	5.35272846606e-05	0.1171	-2.3355	0.8479	ENSG00000138834.12
RP5-966M1.6	421	286	0.000117532400901	0.0535	-3.7038	1.3911	ENSG00000243696.4
IGF2	421	286	1.19310054483e-08	0.2036	-2.3716	3.8592	ENSG00000167244.17
SYT9	421	285	5.60423342958e-07	0.3002	-5.5264	2.8956	ENSG00000170743.16
