query	_id	_score	entrezgene	name	notfound	summary	symbol
AMACR	23600	92.22679	23600.0	alpha-methylacyl-CoA racemase		This gene encodes a racemase. The encoded enzyme interconverts pristanoyl-CoA and C27-bile acylCoAs between their (R)- and (S)-stereoisomers. The conversion to the (S)-stereoisomers is necessary for degradation of these substrates by peroxisomal beta-oxidation. Encoded proteins from this locus localize to both mitochondria and peroxisomes. Mutations in this gene may be associated with adult-onset sensorimotor neuropathy, pigmentary retinopathy, and adrenomyeloneuropathy due to defects in bile acid synthesis. Alternatively spliced transcript variants have been described. Read-through transcription also exists between this gene and the upstream neighboring C1QTNF3 (C1q and tumor necrosis factor related protein 3) gene.	AMACR
SLC45A2	51151	97.95428	51151.0	solute carrier family 45 member 2		This gene encodes a transporter protein that mediates melanin synthesis. The protein is expressed in a high percentage of melanoma cell lines. Mutations in this gene are a cause of oculocutaneous albinism type 4, and polymorphisms in this gene are associated with variations in skin and hair color. Multiple transcript variants encoding different isoforms have been found for this gene.	SLC45A2
ZIC2	7546	96.95275	7546.0	Zic family member 2		This gene encodes a member of the ZIC family of C2H2-type zinc finger proteins. This protein functions as a transcriptional repressor and may regulate tissue specific expression of dopamine receptor D1. Expansion of an alanine repeat in the C-terminus of the encoded protein and other mutations in this gene cause holoprosencephaly type 5. Holoprosencephaly is the most common structural anomaly of the human brain. A polyhistidine tract polymorphism in this gene may be associated with increased risk of neural tube defects. This gene is closely linked to a gene encoding zinc finger protein of the cerebellum 5, a related family member on chromosome 13.	ZIC2
ARHGEF26	26084	94.55887	26084.0	Rho guanine nucleotide exchange factor 26		This gene encodes a member of the Rho-guanine nucleotide exchange factor (Rho-GEF) family. These proteins regulate Rho GTPases by catalyzing the exchange of GDP for GTP. The encoded protein specifically activates RhoG and plays a role in the promotion of macropinocytosis. Underexpression of the encoded protein may be a predictive marker of chemoresistant disease. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene.	ARHGEF26
NLRP12	91662	100.411476	91662.0	NLR family pyrin domain containing 12		This gene encodes a member of the CATERPILLER family of cytoplasmic proteins. The encoded protein, which contains an N-terminal pyrin domain, a NACHT domain, a NACHT-associated domain, and a C-terminus leucine-rich repeat region, functions as an attenuating factor of inflammation by suppressing inflammatory responses in activated monocytes. Mutations in this gene cause familial cold autoinflammatory syndrome type 2. Alternative splicing results in multiple transcript variants.	NLRP12
NETO2	81831	93.91821	81831.0	neuropilin and tolloid like 2		This gene encodes a predicted transmembrane protein containing two extracellular CUB domains followed by a low-density lipoprotein class A (LDLa) domain. A similar gene in rats encodes a protein that modulates glutamate signaling in the brain by regulating kainate receptor function. Expression of this gene may be a biomarker for proliferating infantile hemangiomas. A pseudogene of this gene is located on the long arm of chromosome 8. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene.	NETO2
ACSM1	116285	103.31507	116285.0	acyl-CoA synthetase medium-chain family member 1			ACSM1
PDLIM5	10611	95.52683	10611.0	PDZ and LIM domain 5		This gene encodes a member of a family of proteins that possess a 100-amino acid PDZ domain at the N terminus and one to three LIM domains at the C-terminus. This family member functions as a scaffold protein that tethers protein kinases to the Z-disk in striated muscles. It is thought to function in cardiomyocyte expansion and in restraining postsynaptic growth of excitatory synapses. Alternative splicing of this gene results in multiple transcript variants.	PDLIM5
TMTC4	84899	93.29397	84899.0	transmembrane and tetratricopeptide repeat containing 4			TMTC4
HPN	3249	96.05538	3249.0	hepsin		This gene encodes a type II transmembrane serine protease that may be involved in diverse cellular functions, including blood coagulation and the maintenance of cell morphology. Expression of the encoded protein is associated with the growth and progression of cancers, particularly prostate cancer. The protein is cleaved into a catalytic serine protease chain and a non-catalytic scavenger receptor cysteine-rich chain, which associate via a single disulfide bond. Alternative splicing results in multiple transcript variants.	HPN
ONECUT2	9480	95.52238	9480.0	one cut homeobox 2		This gene encodes a member of the onecut family of transcription factors, which are characterized by a cut domain and an atypical homeodomain. The protein binds to specific DNA sequences and stimulates expression of target genes, including genes involved in melanocyte and hepatocyte differentiation.	ONECUT2
DLX1	1745	96.63792	1745.0	distal-less homeobox 1		This gene encodes a member of a homeobox transcription factor gene family similiar to the Drosophila distal-less gene. The encoded protein is localized to the nucleus where it may function as a transcriptional regulator of signals from multiple TGF-{beta} superfamily members. The encoded protein may play a role in the control of craniofacial patterning and the differentiation and survival of inhibitory neurons in the forebrain. This gene is located in a tail-to-tail configuration with another member of the family on the long arm of chromosome 2. Alternatively spliced transcript variants encoding different isoforms have been described.	DLX1
EPHA10	284656	95.78623	284656.0	EPH receptor A10		Ephrin receptors, the largest subfamily of receptor tyrosine kinases (RTKs), and their ephrin ligands are important mediators of cell-cell communication regulating cell attachment, shape, and mobility in neuronal and epithelial cells (Aasheim et al., 2005 [PubMed 15777695]). See MIM 179610 for additional background on Eph receptors and ephrins.	EPHA10
TDRD1	56165	96.06358	56165.0	tudor domain containing 1		This gene is similar to a mouse gene that encodes a tudor domain protein. Alternatively spliced transcript variants have been described but their full length sequences have not been determined.	TDRD1
ZFP69B	65243	104.85316	65243.0	ZFP69 zinc finger protein B			ZFP69B
NKX2-3	159296	99.487785	159296.0	NK2 homeobox 3		This gene encodes a homeodomain-containing transcription factor. The encoded protein is a member of the NKX family of homeodomain transcription factors. Studies of similar proteins in mouse and rat have indicated a potential role in cellular differentiation.	NKX2-3
ZIC5	85416	97.95428	85416.0	Zic family member 5		This gene encodes a member of the ZIC family of C2H2-type zinc finger proteins. Members of this family are important during development, and have been associated X-linked visceral heterotaxy and holoprosencephaly type 5. This gene is closely linked to a gene encoding zinc finger protein of the cerebellum 2, a related family member on chromosome 13.	ZIC5
DNAH5	1767	93.293594	1767.0	dynein axonemal heavy chain 5		This gene encodes a dynein protein, which is part of a microtubule-associated motor protein complex consisting of heavy, light, and intermediate chains. This protein is an axonemal heavy chain dynein. It functions as a force-generating protein with ATPase activity, whereby the release of ADP is thought to produce the force-producing power stroke. Mutations in this gene cause primary ciliary dyskinesia type 3, as well as Kartagener syndrome, which are both diseases due to ciliary defects.	DNAH5
PYCR1	5831	96.6485	5831.0	pyrroline-5-carboxylate reductase 1		This gene encodes an enzyme that catalyzes the NAD(P)H-dependent conversion of pyrroline-5-carboxylate to proline. This enzyme may also play a physiologic role in the generation of NADP(+) in some cell types. The protein forms a homopolymer and localizes to the mitochondrion. Alternative splicing results in multiple transcript variants.	PYCR1
NEK5	341676	95.54355	341676.0	NIMA related kinase 5			NEK5
HIST3H2A	92815	111.15904	92815.0	histone cluster 3 H2A		Histones are basic nuclear proteins that are responsible for the nucleosome structure of the chromosomal fiber in eukaryotes. Nucleosomes consist of approximately 146 bp of DNA wrapped around a histone octamer composed of pairs of each of the four core histones (H2A, H2B, H3, and H4). The chromatin fiber is further compacted through the interaction of a linker histone, H1, with the DNA between the nucleosomes to form higher order chromatin structures. This gene is intronless and encodes a replication-dependent histone that is a member of the histone H2A family. Transcripts from this gene contain a palindromic termination element.	HIST3H2A
NUP210	23225	96.06154	23225.0	nucleoporin 210		The nuclear pore complex is a massive structure that extends across the nuclear envelope, forming a gateway that regulates the flow of macromolecules between the nucleus and the cytoplasm. Nucleoporins are the main components of the nuclear pore complex in eukaryotic cells. The protein encoded by this gene is a membrane-spanning glycoprotein that is a major component of the nuclear pore complex. Multiple pseudogenes related to this gene are located on chromosome 3.	NUP210
CGREF1	10669	95.783424	10669.0	cell growth regulator with EF-hand domain 1			CGREF1
SIM2	6493	95.528885	6493.0	single-minded family bHLH transcription factor 2		This gene represents a homolog of the Drosophila single-minded (sim) gene, which encodes a transcription factor that is a master regulator of neurogenesis. The encoded protein is ubiquitinated by RING-IBR-RING-type E3 ubiquitin ligases, including the parkin RBR E3 ubiquitin protein ligase. This gene maps within the so-called Down syndrome chromosomal region, and is thus thought to contribute to some specific Down syndrome phenotypes. Alternative splicing of this gene results in multiple transcript variants.	SIM2
MATK	4145	81.91608	4145.0	megakaryocyte-associated tyrosine kinase		The protein encoded by this gene has amino acid sequence similarity to Csk tyrosine kinase and has the structural features of the CSK subfamily: SRC homology SH2 and SH3 domains, a catalytic domain, a unique N terminus, lack of myristylation signals, lack of a negative regulatory phosphorylation site, and lack of an autophosphorylation site. This protein is thought to play a significant role in the signal transduction of hematopoietic cells. It is able to phosphorylate and inactivate Src family kinases, and may play an inhibitory role in the control of T-cell proliferation. This protein might be involved in signaling in some cases of breast cancer. Three alternatively spliced transcript variants that encode different isoforms have been described for this gene.	MATK
ZSCAN2	54993	103.29628	54993.0	zinc finger and SCAN domain containing 2		The protein encoded by this gene contains several copies of zinc finger motif, which is commonly found in transcriptional regulatory proteins. Studies in mice show that this gene is expressed during embryonic development, and specifically in the testis in adult mice, suggesting that it may play a role in regulating genes in germ cells. Alternative splicing of this gene results in several transcript variants encoding different isoforms.	ZSCAN2
HJURP	55355	99.06876	55355.0	Holliday junction recognition protein			HJURP
CACNA1D	776	93.50614	776.0	calcium voltage-gated channel subunit alpha1 D		Voltage-dependent calcium channels mediate the entry of calcium ions into excitable cells, and are also involved in a variety of calcium-dependent processes, including muscle contraction, hormone or neurotransmitter release, and gene expression. Calcium channels are multisubunit complexes composed of alpha-1, beta, alpha-2/delta, and gamma subunits. The channel activity is directed by the pore-forming alpha-1 subunit, whereas the others act as auxiliary subunits regulating this activity. The distinctive properties of the calcium channel types are related primarily to the expression of a variety of alpha-1 isoforms, namely alpha-1A, B, C, D, E, and S. This gene encodes the alpha-1D subunit. Several transcript variants encoding different isoforms have been found for this gene.	CACNA1D
