	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	geneId
ORM1	59.542577499	-0.941418223824	0.190646210589	-4.93803795479	7.8912486631e-07	0.0153342744021	ENSG00000229314.5
SLC44A5	379.842608127	0.806699736095	0.181375729654	4.44767189983	8.68059852198e-06	0.0843406952396	ENSG00000137968.16
PCDHB11	435.77039429	-0.608448278713	0.148449274325	-4.09869486717	4.15486348978e-05	0.186962720444	ENSG00000197479.6
FABP2	6.80253531612	-0.777514888351	0.193319848715	-4.02190925308	5.77282998488e-05	0.186962720444	ENSG00000145384.3
PM20D1	177.693330964	-0.770990023814	0.188338127606	-4.09364812963	4.24638576506e-05	0.186962720444	ENSG00000162877.12
APCS	116.80492925	0.806423471208	0.198404850375	4.06453506395	4.81283035441e-05	0.186962720444	ENSG00000132703.3
C1orf94	2.30021655576	-0.762488868877	0.19249567406	-3.96107015185	7.46146055997e-05	0.194988297484	ENSG00000142698.14
IHH	209.706633093	-0.687105648165	0.174234105969	-3.94357720231	8.0275132764e-05	0.194988297484	ENSG00000163501.6
SST	885.203581088	0.742827971421	0.190945720534	3.89025723826	0.000100138012195	0.203521585749	ENSG00000157005.3
SBSN	91.8497489507	-0.758106419149	0.195815549466	-3.87153329353	0.000108152881326	0.203521585749	ENSG00000189001.10
CSF2	3.10175150579	-0.7642553694	0.198193695295	-3.85610333498	0.000115208802143	0.203521585749	ENSG00000164400.5
ORM2	20.4615814142	-0.70263218991	0.191212604753	-3.67461230298	0.000238210851761	0.385742772618	ENSG00000228278.3
FAM81B	108.507991315	0.607869192072	0.168710402126	3.60303327128	0.000314525251095	0.470142667637	ENSG00000153347.9
IGFN1	127.051923198	-0.675832739421	0.193376187766	-3.49491189804	0.00047421826222	0.582415859008	ENSG00000163395.16
CNDP1	203.35135303	-0.614513773636	0.175981352329	-3.49192551087	0.000479551962954	0.582415859008	ENSG00000150656.14
STAB2	18.8584180161	-0.638211199155	0.18119511265	-3.52223186277	0.000427929692986	0.582415859008	ENSG00000136011.14
RNF212	396.647836572	0.610242534303	0.177427636037	3.43938829335	0.000583030340453	0.666437975041	ENSG00000178222.12
