query	_id	_score	entrezgene	name	notfound	summary	symbol
RTKN2	219790	96.95654	219790.0	rhotekin 2			RTKN2
FABP4	2167	102.6281	2167.0	fatty acid binding protein 4		FABP4 encodes the fatty acid binding protein found in adipocytes.  Fatty acid binding proteins are a family of small, highly conserved, cytoplasmic proteins that bind long-chain fatty acids and other hydrophobic ligands. It is thought that FABPs roles include fatty acid uptake, transport, and metabolism.	FABP4
FHL1	2273	96.63792	2273.0	four and a half LIM domains 1		This gene encodes a member of the four-and-a-half-LIM-only protein family. Family members contain two highly conserved, tandemly arranged, zinc finger domains with four highly conserved cysteines binding a zinc atom in each zinc finger. Expression of these family members occurs in a cell- and tissue-specific mode and these proteins are involved in many cellular processes. Mutations in this gene have been found in patients with Emery-Dreifuss muscular dystrophy. Multiple alternately spliced transcript variants which encode different protein isoforms have been described.	FHL1
SLC6A4	6532	92.733116	6532.0	solute carrier family 6 member 4		This gene encodes an integral membrane protein that transports the neurotransmitter serotonin from synaptic spaces into presynaptic neurons. The encoded protein terminates the action of serotonin and recycles it in a sodium-dependent manner. This protein is a target of psychomotor stimulants, such as amphetamines and cocaine, and is a member of the sodium:neurotransmitter symporter family. A repeat length polymorphism in the promoter of this gene has been shown to affect the rate of serotonin uptake and may play a role in sudden infant death syndrome, aggressive behavior in Alzheimer disease patients, and depression-susceptibility in people experiencing emotional trauma.	SLC6A4
RGCC	28984	95.02872	28984.0	regulator of cell cycle		This gene is thought to regulate cell cycle progression. It is induced by p53 in response to DNA damage, or by sublytic levels of complement system proteins that result in activation of the cell cycle. The encoded protein localizes to the cytoplasm during interphase and to centrosomes during mitosis. The protein forms a complex with polo-like kinase 1. The protein also translocates to the nucleus in response to treatment with complement system proteins, and can associate with and increase the kinase activity of cell division cycle 2 protein. In different assays and cell types, overexpression of this protein has been shown to activate or suppress cell cycle progression.	RGCC
KANK3	256949	97.92439	256949.0	KN motif and ankyrin repeat domains 3			KANK3
SERTM1	400120	95.03958	400120.0	serine rich and transmembrane domain containing 1			SERTM1
JAM2	58494	97.27994	58494.0	junctional adhesion molecule 2		This gene belongs to the immunoglobulin superfamily, and the junctional adhesion molecule (JAM) family. The protein encoded by this gene is a type I membrane protein that is localized at the tight junctions of both epithelial and endothelial cells. It acts as an adhesive ligand for interacting with a variety of immune cell types, and may play a role in lymphocyte homing to secondary lymphoid organs. Alternatively spliced transcript variants have been found for this gene.	JAM2
STXBP6	29091	90.8422	29091.0	syntaxin binding protein 6		STXBP6 binds components of the SNARE complex (see MIM 603215) and may be involved in regulating SNARE complex formation (Scales et al., 2002 [PubMed 12145319]).	STXBP6
RAMP2	10266	95.783424	10266.0	receptor activity modifying protein 2		The protein encoded by this gene is a member of the RAMP family of single-transmembrane-domain proteins, called receptor (calcitonin) activity modifying proteins (RAMPs). RAMPs are type I transmembrane proteins with an extracellular N terminus and a cytoplasmic C terminus. RAMPs are required to transport calcitonin-receptor-like receptor (CRLR) to the plasma membrane. CRLR, a receptor with seven transmembrane domains, can function as either a calcitonin-gene-related peptide (CGRP) receptor or an adrenomedullin receptor, depending on which members of the RAMP family are expressed. In the presence of this (RAMP2) protein, CRLR functions as an adrenomedullin receptor. The RAMP2 protein is involved in core glycosylation and transportation of adrenomedullin receptor to the cell surface.	RAMP2
