	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	geneId
HOXD8	746.446326988	-3.75421669777	0.196975059884	-19.0593504578	5.49527844711e-81	9.82171116851e-77	ENSG00000175879.8
ZFPM2	1065.3719316	-5.88365928002	0.320084680315	-18.3815710088	1.84545827294e-75	1.64919378561e-71	ENSG00000169946.13
CACNA1H	4045.17846881	-4.63453953083	0.290835898203	-15.9352389422	3.60818872026e-57	2.14963856657e-53	ENSG00000196557.10
TDRKH	512.937965258	1.96357119859	0.128100476366	15.3283676556	4.94251432656e-53	2.20843896397e-49	ENSG00000182134.15
ZBTB16	438.108886928	-8.20662500351	0.557662297916	-14.7161194762	5.07985688443e-49	1.81584564191e-45	ENSG00000109906.13
C1orf112	659.156791088	2.09309017385	0.149608478873	13.9904515413	1.78276435791e-44	5.31055789482e-41	ENSG00000000460.16
NUF2	549.766275991	4.76378527163	0.342384301124	13.9135622048	5.24031442971e-44	1.33800199717e-40	ENSG00000143228.12
KCNB1	709.331723131	-7.22855080672	0.524698297831	-13.7765852045	3.52558391416e-43	7.87659516223e-40	ENSG00000158445.7
CORO2B	974.492175284	-4.04651030756	0.299981231719	-13.4892115896	1.81025979918e-41	3.5949748212e-38	ENSG00000103647.12
NR3C1	1801.00307347	-3.71065958663	0.279018430776	-13.2989766171	2.34658112268e-40	4.19404444056e-37	ENSG00000113580.14
CXorf57	198.289860528	-5.24329468411	0.399037208957	-13.1398640688	1.94575958236e-39	3.16150554686e-36	ENSG00000147231.13
BNC2	3797.90859904	-5.62105284941	0.42824485458	-13.1257919139	2.3432036333e-39	3.49000654482e-36	ENSG00000173068.17
FGF2	1317.67319623	-4.71725403512	0.363995907272	-12.9596348225	2.07231710125e-38	2.8491171962e-35	ENSG00000138685.12
HOXD3	275.547059287	-3.87315588379	0.303941163396	-12.7431106748	3.40541012287e-37	4.347492509e-34	ENSG00000128652.11
VGLL3	847.719479858	-3.67410122352	0.289746784649	-12.6803865243	7.59563774197e-37	9.05045555748e-34	ENSG00000206538.7
DNA2	385.020912268	2.80494770547	0.22667452552	12.374340253	3.59838904283e-35	4.01962546016e-32	ENSG00000138346.14
ANLN	1276.52092898	3.97163943239	0.322568214251	12.3125567149	7.75276776287e-35	8.15089518975e-32	ENSG00000011426.10
SFMBT2	521.736484078	-3.15166556889	0.256714666527	-12.2769205653	1.20498041439e-34	1.19647860813e-31	ENSG00000198879.11
KIAA1462	3226.30235494	-3.1926381225	0.262947970893	-12.1417104367	6.34849037141e-34	5.97192465307e-31	ENSG00000165757.8
AURKA	671.939950195	3.54710154235	0.296415503429	11.9666532327	5.31287300253e-33	4.74784895871e-30	ENSG00000087586.17
KIF2C	1056.97719748	4.07114625467	0.341094703366	11.9355305565	7.72646638819e-33	6.5759587503e-30	ENSG00000142945.12
FAM13C	784.00236528	-3.98653053489	0.337137256301	-11.8246514154	2.91108618164e-32	2.36499287838e-29	ENSG00000148541.12
TRPM2	648.397877479	2.37197784762	0.200889057719	11.807401929	3.57436057137e-32	2.77758897791e-29	ENSG00000142185.16
SYNE1	5339.72887535	-3.82361129882	0.324360993475	-11.7881353669	4.49380213942e-32	3.34657190158e-29	ENSG00000131018.22
CDCA2	394.930797906	4.72172567053	0.400790468944	11.7810328249	4.88903021504e-32	3.49526548134e-29	ENSG00000184661.13
ZNF695	152.241414529	4.79220083854	0.40837334685	11.7348521286	8.44738299565e-32	5.80692601082e-29	ENSG00000197472.14
AKT3	2567.51704859	-3.52596519225	0.300892019808	-11.718373902	1.02622892928e-31	6.79325542704e-29	ENSG00000117020.16
ALDH1A2	3160.39255467	-4.02305505902	0.344918084624	-11.6637985608	1.95138242964e-31	1.24560922018e-28	ENSG00000128918.14
ST6GALNAC6	4381.05600327	-2.33847929817	0.201430473205	-11.6093620839	3.69360843804e-31	2.27640909011e-28	ENSG00000160408.14
MEF2C	1790.2530863	-2.99986957823	0.26211685542	-11.4447793654	2.49739035767e-30	1.48786192876e-27	ENSG00000081189.13
TMPRSS13	745.426423139	4.72952174946	0.415413842738	11.3850846141	4.96200576155e-30	2.86083641858e-27	ENSG00000137747.14
OGN	3880.63792473	-7.80171067602	0.686495256746	-11.3645514654	6.27861325287e-30	3.50680170839e-27	ENSG00000106809.10
PCDHGB4	136.516991791	-4.53815995949	0.400851677516	-11.3212946684	1.02940299454e-29	5.5753090065e-27	ENSG00000253953.2
ZWINT	1820.77964119	4.06844696677	0.359675851295	11.3114265307	1.15201125305e-29	6.05585209583e-27	ENSG00000122952.16
MTFR2	180.050290947	4.30364058246	0.384101856114	11.204425373	3.8786247136e-29	1.98064741446e-26	ENSG00000146410.11
EVA1C	1429.31702495	-3.55707063828	0.319062162901	-11.1485191661	7.2807937584e-29	3.61471185677e-26	ENSG00000166979.12
CBX7	4694.86408572	-4.03308307441	0.361965297223	-11.1421815996	7.81804176866e-29	3.77653677112e-26	ENSG00000100307.12
OTX1	186.09882252	5.36081434716	0.487058331053	11.0065140156	3.55493824721e-28	1.67203713927e-25	ENSG00000115507.9
C16orf59	382.072978946	3.66055260184	0.333999908273	10.9597413387	5.96696681675e-28	2.73455379271e-25	ENSG00000162062.14
SLC25A39	7397.19931589	1.39624151503	0.127551392637	10.9465015329	6.90637804819e-28	3.08594237138e-25	ENSG00000013306.15
