query	_id	_score	entrezgene	name	summary	symbol
RPN2	6185	93.29617	6185	ribophorin II	This gene encodes a type I integral membrane protein found only in the rough endoplasmic reticulum. The encoded protein is part of an N-oligosaccharyl transferase complex that links high mannose oligosaccharides to asparagine residues found in the Asn-X-Ser/Thr consensus motif of nascent polypeptide chains. This protein is similar in sequence to the yeast oligosaccharyl transferase subunit SWP1. Alternatively spliced transcript variants encoding different isoforms have been found for this gene.	RPN2
TMCO1	54499	98.28605	54499	transmembrane and coiled-coil domains 1	This locus encodes a transmembrane protein. Mutations at this locus have been associated with craniofacial dysmorphism, skeletal anomalies, and mental retardation. Mutations at this locus have also been associated with open angle glaucoma blindness. Alternatively spliced transcript variants have been described.	TMCO1
HPS5	11234	94.469345	11234	HPS5, biogenesis of lysosomal organelles complex 2 subunit 2	This gene encodes a protein that may play a role in organelle biogenesis associated with melanosomes, platelet dense granules, and lysosomes. This protein interacts with Hermansky-Pudlak syndrome 6 protein and may interact with the cytoplasmic domain of integrin, alpha-3. Mutations in this gene are associated with Hermansky-Pudlak syndrome type 5. Multiple transcript variants encoding two distinct isoforms have been identified for this gene.	HPS5
POLR3K	51728	95.88235	51728	RNA polymerase III subunit K	This gene encodes a small essential subunit of RNA polymerase III, the polymerase responsible for synthesizing transfer and small ribosomal RNAs in eukaryotes. The carboxy-terminal domain of this subunit shares a high degree of sequence similarity to the carboxy-terminal domain of an RNA polymerase II elongation factor. This similarity in sequence is supported by functional studies showing that this subunit is required for proper pausing and termination during transcription. Pseudogenes of this gene are found on chromosomes 13 and 17.	POLR3K
CERS1	10715	92.399414	10715	ceramide synthase 1	This gene encodes a ceramide synthase enzyme, which catalyzes the synthesis of ceramide, the hydrophobic moiety of sphingolipids. The encoded enzyme synthesizes 18-carbon (C18) ceramide in brain neurons. Elevated expression of this gene may be associated with increased longevity, while decreased expression of this gene may be associated with myoclonus epilepsy with dementia in human patients. This protein is transcribed from a monocistronic mRNA as well as a bicistronic mRNA, which also encodes growth differentiation factor 1.	CERS1
PPT1	5538	93.46419	5538	palmitoyl-protein thioesterase 1	The protein encoded by this gene is a small glycoprotein involved in the catabolism of lipid-modified proteins during lysosomal degradation. The encoded enzyme removes thioester-linked fatty acyl groups such as palmitate from cysteine residues. Defects in this gene are a cause of infantile neuronal ceroid lipofuscinosis 1 (CLN1, or INCL) and neuronal ceroid lipofuscinosis 4 (CLN4). Two transcript variants encoding different isoforms have been found for this gene.	PPT1
ASB9	140462	94.91508	140462	ankyrin repeat and SOCS box containing 9	This gene encodes a member of the ankyrin repeat and suppressor of cytokine signaling (SOCS) box protein family. Members of this family can interact with the elongin B-C adapter complex via their SOCS box domain and further complex with the cullin and ring box proteins to form E3 ubiquitin ligase complexes. They may function to mediate the substrate-recognition of the E3 ubiquitin ligases. A transcribed pseudogene of this gene has been identified on chromosome 15. Multiple transcript variants encoding different isoforms have been found for this gene.	ASB9
CNPY2	10330	91.61593	10330	canopy FGF signaling regulator 2		CNPY2
TTYH2	94015	94.68811	94015	tweety family member 2	This gene encodes a member of the tweety family of proteins. Members of this family function as chloride anion channels. The encoded protein functions as a calcium(2+)-activated large conductance chloride(-) channel, and may play a role in kidney tumorigenesis. Two transcript variants encoding distinct isoforms have been identified for this gene.	TTYH2
RABIF	5877	94.935585	5877	RAB interacting factor	This gene encodes a member of the SCE4/YPT1/RAB family of small GTP-binding proteins that are involved in the regulation of intracellular vesicular transport. This protein stimulates GTP-GDP exchange in SEC4, and to a lesser extent in YPT1 and RAB3A, and may play a general role in vesicular transport.	RABIF
