	num_samples	pval_counts	pval	pval_std	fc	fc_std	gene_id
PHC1	26	26	2.8188984252e-08	0.0	-2.417	0.4129	ENSG00000111752.10
NCAM1	26	26	1.41565435096e-15	0.0	-5.4028	1.3123	ENSG00000149294.16
LGI4	26	26	3.02162810166e-14	0.0	-6.2657	1.2149	ENSG00000153902.13
MAMDC2	26	26	3.87870246792e-19	0.0	-6.7866	1.9542	ENSG00000165072.9
EBF4	26	26	1.01199271435e-10	0.0	-4.1713	0.7491	ENSG00000088881.20
TMEM240	26	26	1.05950305298e-06	0.0001	-3.7277	0.9045	ENSG00000205090.8
C1QTNF4	26	26	1.97187279024e-07	0.0	-5.1775	1.1977	ENSG00000172247.3
DTX3	26	26	8.92443848478e-12	0.0	-4.1417	1.1597	ENSG00000178498.15
APBB1	26	26	3.76389474899e-12	0.0001	-3.8962	1.0431	ENSG00000166313.18
SCN7A	26	26	3.85545407769e-20	0.0	-7.4229	2.2734	ENSG00000136546.13
FAM46B	26	26	2.97802264705e-08	0.0001	-5.3491	1.045	ENSG00000158246.7
COPZ1	26	26	3.25196535325e-11	0.0	1.3687	0.4046	ENSG00000111481.9
POF1B	26	26	4.6354806506e-05	0.0002	6.0338	0.6923	ENSG00000124429.17
NAP1L2	26	26	1.52465297825e-09	0.0001	-4.1028	1.2527	ENSG00000186462.8
SPEG	26	26	1.87907506237e-18	0.0	-7.1618	1.7347	ENSG00000072195.14
TCF7L1	26	26	1.89990883858e-09	0.0	-3.3357	0.6484	ENSG00000152284.4
AHCY	26	26	5.45803630911e-11	0.0001	2.4383	0.8906	ENSG00000101444.12
NFATC4	26	26	1.12454070666e-13	0.0	-3.8958	0.8093	ENSG00000100968.13
PRIMA1	26	26	2.99857868904e-17	0.0	-7.4615	1.8741	ENSG00000175785.12
GRIK5	26	26	3.86349595799e-13	0.0	-5.6134	1.4037	ENSG00000105737.9
PLXNB3	26	26	3.73664867005e-13	0.0	-6.5003	1.3042	ENSG00000198753.11
CORO6	26	26	1.01552495632e-17	0.0	-6.9071	0.9012	ENSG00000167549.18
SRSF5	26	26	6.48637557061e-07	0.0001	-1.9901	0.3922	ENSG00000100650.15
ENOPH1	26	26	5.07710053811e-12	0.0	1.476	0.3807	ENSG00000145293.14
CYB5B	26	26	8.76943025177e-16	0.0	2.189	0.564	ENSG00000103018.16
SPTBN4	26	26	4.95451041266e-10	0.0	-4.6193	1.0694	ENSG00000160460.15
