	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	geneId
ERN2	808.698619912	6.01963713335	0.510330317894	11.7955702851	4.11404170949e-32	4.09495728094e-28	ENSG00000134398.12
NPIPA5	444.162576553	3.86613752813	0.328320680884	11.7754919298	5.22116190354e-32	4.09495728094e-28	ENSG00000183793.13
SPDEF	308.176248184	4.68918801433	0.506981562854	9.24922789683	2.26120116854e-20	1.18230671766e-16	ENSG00000124664.10
DNAH10	239.562672282	3.39140246439	0.388675355332	8.72554026868	2.64912813752e-18	1.03885559913e-14	ENSG00000197653.14
MS4A8	359.864451775	4.74787077575	0.546872600526	8.68185893969	3.89352123325e-18	1.2214754813e-14	ENSG00000166959.7
TEKT1	150.372949544	4.74170418487	0.552179717089	8.58724802474	8.90772013803e-18	2.32877496809e-14	ENSG00000167858.12
C20orf85	252.114564456	4.44122829591	0.5250097668	8.45932509595	2.68929364518e-17	6.02632287403e-14	ENSG00000124237.5
ERBB4	222.448183365	3.84593730247	0.46887982305	8.20239454419	2.35645427124e-16	4.62041771233e-13	ENSG00000178568.13
CCDC37	177.5128063	4.14353879953	0.529145632582	7.8306208053	4.85466811785e-15	8.46114712185e-12	ENSG00000163885.11
SHH	170.170610394	4.52983365087	0.582686898578	7.7740441083	7.60192492388e-15	1.19243794356e-11	ENSG00000164690.7
ARMC3	116.044637738	4.13102336575	0.550568588427	7.50319479276	6.22808929724e-14	8.88125533786e-11	ENSG00000165309.13
UBXN10	381.036886908	3.48705330412	0.469474234724	7.42757119818	1.10609848643e-13	1.44585507152e-10	ENSG00000162543.5
FOXA2	112.774732287	4.18897807008	0.575714155132	7.27614221874	3.43501461625e-13	4.14474148234e-10	ENSG00000125798.14
CCDC108	234.90843135	4.22511645624	0.585491883146	7.21635359579	5.3400095712e-13	5.98309929528e-10	ENSG00000181378.13
AMY1C	179.561402161	4.14127370471	0.582467092646	7.10988441578	1.16140177425e-12	1.21451654873e-09	ENSG00000187733.6
TBC1D3D	85.0778256623	-4.2258578774	0.598381014112	-7.0621523373	1.63943108835e-12	1.60725725324e-09	ENSG00000274419.4
TMEM190	99.6270755412	4.03434531117	0.576911756699	6.99300242078	2.69064866214e-12	2.4826773479e-09	ENSG00000160472.4
FAM216B	149.791927889	4.20356949724	0.602425056482	6.97774677864	2.99951649579e-12	2.61391198628e-09	ENSG00000179813.6
LRRC46	250.248012173	3.43702674593	0.508851837256	6.75447447426	1.43353902304e-11	1.18349963765e-08	ENSG00000141294.9
SNTN	111.071228197	4.00427297159	0.596165862517	6.71670959938	1.85873876388e-11	1.45780881251e-08	ENSG00000188817.7
SLCO1B3	190.927717662	3.93715793095	0.588945626276	6.68509579712	2.3077363205e-11	1.7237691392e-08	ENSG00000111700.12
WDR38	83.2042342395	3.78905343521	0.57003942699	6.64700239282	2.99122169528e-11	2.13274106873e-08	ENSG00000136918.7
SCGB2A2	1096.64092811	4.01653750102	0.612021711351	6.56273695282	5.28289953159e-11	3.60293748054e-08	ENSG00000110484.6
LRRC74B	116.468007795	3.74939942065	0.572206382476	6.55252988341	5.65703933504e-11	3.6973466254e-08	ENSG00000187905.10
SCGB1D2	632.969393332	3.94123197038	0.602549953311	6.54092154305	6.11409022512e-11	3.83622477085e-08	ENSG00000124935.3
DRC1	105.984551275	3.87456228724	0.592944720639	6.53444098982	6.38475618043e-11	3.85197251716e-08	ENSG00000157856.10
SLC5A8	358.395942658	3.92141409892	0.600665148482	6.52845284736	6.64525250307e-11	3.86064558382e-08	ENSG00000256870.2
AGR3	99.7821418342	3.88581788341	0.596019643133	6.51961378821	7.04886491616e-11	3.9488748241e-08	ENSG00000173467.8
GP1BB	63.8707081689	-3.95162479632	0.60909006884	-6.48775115288	8.71270264303e-11	4.71267081581e-08	ENSG00000203618.5
BMPR1B	391.363024033	2.73791746381	0.428896163392	6.3836371073	1.72930620588e-10	9.04196571515e-08	ENSG00000138696.10
NPIPA8	596.564994382	3.60109875705	0.572655219116	6.28842388376	3.20705243746e-10	1.62276853336e-07	ENSG00000214940.8
C4BPA	63.8600488338	3.58506458948	0.570657755933	6.28233744694	3.33519927568e-10	1.63487299495e-07	ENSG00000123838.10
FAM92B	93.7987592248	3.7514284599	0.599049596695	6.26230028464	3.79339552272e-10	1.75009418145e-07	ENSG00000153789.12
WDR72	149.610234724	3.46532777453	0.553117568373	6.26508354222	3.72625580719e-10	1.75009418145e-07	ENSG00000166415.14
RIMBP2	395.639402638	2.53044147929	0.405761049747	6.23628483038	4.48084920174e-10	2.00818858796e-07	ENSG00000060709.13
CILP	3645.45609595	1.99020565916	0.323322654665	6.15547853032	7.48511361346e-10	3.26143033724e-07	ENSG00000138615.5
P3H2	1163.74029938	-1.9045550609	0.323083591564	-5.89492970437	3.74840921285e-09	1.58912288954e-06	ENSG00000090530.9
SERPINA1	1089.74430493	2.60576023731	0.450816909196	5.7800854053	7.46627134832e-09	3.08199822026e-06	ENSG00000197249.12
TUBA4B	63.5535480499	3.43194041828	0.595205943762	5.76597134864	8.11888526126e-09	3.26545728739e-06	ENSG00000243910.7
C1orf87	58.337014833	3.49464873189	0.613008057477	5.70082022458	1.19232327047e-08	4.56165434647e-06	ENSG00000162598.13
DRC7	74.4711104758	3.24687421588	0.569373506949	5.70253827453	1.18036396068e-08	4.56165434647e-06	ENSG00000159625.14
DIRAS2	152.536414323	3.15575036885	0.57018198914	5.53463706143	3.1187347017e-08	1.1647731555e-05	ENSG00000165023.5
C11orf16	60.5481625197	3.36769637114	0.610515730501	5.51615003987	3.46506463031e-08	1.26402334398e-05	ENSG00000176029.13
C14orf105	55.4504336023	3.32712425698	0.608194608675	5.47049284805	4.48785818067e-08	1.59992144141e-05	ENSG00000100557.9
PROM1	587.999324454	3.3564531501	0.617453318556	5.43596260516	5.45013853185e-08	1.89979717801e-05	ENSG00000007062.11
TSPAN8	126.777158861	2.22004940682	0.409479595769	5.42163621766	5.90559696484e-08	2.01380856501e-05	ENSG00000127324.8
CLDN3	310.000370391	3.34070738243	0.618930073769	5.3975522018	6.75562215583e-08	2.25465296035e-05	ENSG00000165215.6
ASRGL1	901.421220874	2.98993148088	0.556069292268	5.37690450175	7.57773394835e-08	2.47634030654e-05	ENSG00000162174.12
BMF	601.362761955	1.53182024208	0.28661344515	5.34455123445	9.06413362038e-08	2.90163265243e-05	ENSG00000104081.13
ERICH3	262.409844491	3.17038729814	0.603167031355	5.25623439832	1.47034868444e-07	4.61277789283e-05	ENSG00000178965.13
MUC13	41.2373553095	3.14510319988	0.599103179917	5.24968537191	1.52359211591e-07	4.68609135886e-05	ENSG00000173702.7
FOLR1	302.704852606	3.24596910944	0.619502168614	5.23964123757	1.60889070741e-07	4.8532806993e-05	ENSG00000110195.11
CUX2	68.3410933713	3.16113854644	0.60390738759	5.23447570174	1.65453834304e-07	4.89680914131e-05	ENSG00000111249.13
TPPP3	1138.13938194	1.95498584434	0.375200563743	5.21050881385	1.88323433222e-07	5.47044698799e-05	ENSG00000159713.10
VWA3B	121.402820114	3.14266240265	0.603758497034	5.20516467774	1.93824645093e-07	5.52787887804e-05	ENSG00000168658.18
PLEKHS1	1691.0914685	3.2403240983	0.624462347231	5.18898235044	2.1144643438e-07	5.84770370227e-05	ENSG00000148735.14
CFAP126	75.6472693718	3.23244496216	0.623054503412	5.18806130838	2.12494651938e-07	5.84770370227e-05	ENSG00000188931.3
CFAP47	83.855540566	3.18729340768	0.615974769329	5.17438954707	2.28657325834e-07	6.18399795351e-05	ENSG00000165164.12
PLEKHG7	57.5174936226	3.18361691979	0.623204455989	5.10846302397	3.24789947012e-07	8.63500865903e-05	ENSG00000187510.7
CHST9	108.139402545	2.74487728743	0.537673503044	5.10510053387	3.30618698086e-07	8.64347483029e-05	ENSG00000154080.12
MUC16	2593.54275567	3.13764784344	0.625520594942	5.01605841408	5.27422991586e-07	0.000135625525345	ENSG00000181143.15
SLC16A12	284.964140728	2.62910382387	0.526081115599	4.99752556386	5.80706424155e-07	0.000146918725311	ENSG00000152779.13
VWA3A	1015.5781683	3.07612205607	0.61978544658	4.96320472357	6.93394255375e-07	0.00017264416333	ENSG00000175267.14
C6orf118	44.3507177327	3.06457630635	0.620706697988	4.93723737199	7.92370049063e-07	0.000194204946713	ENSG00000112539.14
C6	83.5440469467	2.83170903339	0.574044920796	4.93290495361	8.10155836579e-07	0.00019550929927	ENSG00000039537.13
COMP	427.737813631	-2.68178232811	0.545481172958	-4.91636093243	8.81677781771e-07	0.000209545419468	ENSG00000105664.10
IL36A	89.4190961093	-3.04498368601	0.620438897353	-4.90778979042	9.2108499213e-07	0.000215643868456	ENSG00000136694.8
WFDC2	7004.36357479	3.06120126347	0.624720081274	4.9001166366	9.57797771548e-07	0.000220941409478	ENSG00000101443.17
SCGB2A1	806.503095364	3.0647862492	0.626094421763	4.89508633628	9.82625794382e-07	0.000223383597256	ENSG00000124939.5
PTPRT	165.190180445	2.88844835382	0.595678514089	4.8490054375	1.24082020363e-06	0.000278050081631	ENSG00000196090.12
GJB1	66.4838231975	2.97656770863	0.614541519815	4.84355834822	1.27534246251e-06	0.000281760871366	ENSG00000169562.9
SPP1	489.665499984	2.63268558029	0.544553855551	4.83457339152	1.33431471652e-06	0.000286713159497	ENSG00000118785.13
CYP2A7	81.1122151384	-3.01711883945	0.624064576375	-4.83462602055	1.33396177229e-06	0.000286713159497	ENSG00000198077.10
CP	1143.25453505	2.89247626938	0.600775783239	4.8145686795	1.47518163841e-06	0.000312698637568	ENSG00000047457.13
CLDN10	210.842059719	2.99520706474	0.622669068185	4.81027116614	1.50725673962e-06	0.000315237722902	ENSG00000134873.9
SLC45A3	228.452802829	1.97888345422	0.412551029939	4.7966998277	1.61301037949e-06	0.000332916852798	ENSG00000158715.5
HNF1B	58.7388818508	2.97417610227	0.623480541961	4.77027894554	1.83970977387e-06	0.000369970352729	ENSG00000275410.4
PGLYRP3	177.610520866	-2.98169726211	0.624846500213	-4.77188759335	1.82507357662e-06	0.000369970352729	ENSG00000159527.3
TTC25	131.01112157	2.08598573136	0.43789288057	4.76368953211	1.90084898884e-06	0.000372708965487	ENSG00000204815.8
PRR29	524.135667589	2.67505065021	0.561338176649	4.76548854414	1.88396601883e-06	0.000372708965487	ENSG00000224383.7
PAK6	64.315027956	2.69512220677	0.566710614421	4.75572918203	1.97731396265e-06	0.000382915392816	ENSG00000259288.5
C11orf88	122.799866499	2.85387501076	0.601727143472	4.74280584102	2.10778265731e-06	0.000400207039798	ENSG00000183644.13
SLC26A7	47.7982402104	2.51605402176	0.530604691548	4.74186161909	2.1176325579e-06	0.000400207039798	ENSG00000147606.8
KIAA1324	1040.5720713	2.94659026441	0.623182986016	4.72829061533	2.26417954405e-06	0.000422808575333	ENSG00000116299.16
WI2-2610K16.2	91.8083963872	2.9276624476	0.622294536161	4.70462502478	2.54332970398e-06	0.000469349055725	ENSG00000260220.5
LPPR3	42.970471216	2.8066807395	0.606828794479	4.62516077852	3.74307937709e-06	0.00068272026871	ENSG00000129951.18
PIFO	245.096231701	2.40707594685	0.522770344401	4.60446154344	4.13534422103e-06	0.000745597809782	ENSG00000173947.13
DNAAF1	741.187141148	2.80181246987	0.60994784622	4.59352793395	4.35814650385e-06	0.000768111079318	ENSG00000154099.17
PPP1R9A	276.55295024	2.18567574349	0.475718618302	4.59447173056	4.33846935272e-06	0.000768111079318	ENSG00000158528.11
