	num_samples	pval_counts	pval	pval_std	fc	fc_std	gene_id
CLK4	87	87	0.00703720851184	0.0	-1.4649	0.0	ENSG00000113240.12
GGTLC1	87	87	1.92961737411e-11	0.0	-7.9488	0.0	ENSG00000149435.12
PTPRM	87	87	2.02027012055e-05	0.0	-2.5779	0.0	ENSG00000173482.16
HECA	87	87	0.00123619018397	0.0	-1.9579	0.0	ENSG00000112406.4
EME2	87	87	0.000140247799097	0.0	-1.9555	0.0	ENSG00000197774.12
FERMT2	87	87	0.00142835222896	0.0	-1.6648	0.0	ENSG00000073712.13
RP5-966M1.6	87	87	2.33829443471e-08	0.0	-3.9864	0.0	ENSG00000243696.4
RTKN2	87	87	0.00350097154546	0.0	-4.2031	0.0	ENSG00000182010.10
KLHDC4	87	87	0.00293997108814	0.0	-1.09	0.0	ENSG00000104731.13
PEX10	87	87	0.0029296658289	0.0	1.4107	0.0	ENSG00000157911.9
ABR	87	87	0.00137385694154	0.0	-1.15	0.0	ENSG00000159842.14
DFNA5	87	87	0.000393686200364	0.0	2.3642	0.0	ENSG00000105928.13
D4S234E	87	87	2.33279166257e-05	0.0	4.0908	0.0	ENSG00000168824.14
ARMC10	87	87	1.44169184313e-05	0.0	1.2247	0.0	ENSG00000170632.13
NDST2	87	87	0.00154750120311	0.0	-1.2765	0.0	ENSG00000166507.16
JAM3	87	87	0.00330986104359	0.0	-2.077	0.0	ENSG00000166086.12
PSMB2	87	87	0.000372039485768	0.0	1.3528	0.0	ENSG00000126067.11
STAP2	87	87	0.00978227727467	0.0	1.4727	0.0	ENSG00000178078.11
RPL7A	87	87	0.000944661599812	0.0	1.1629	0.0	ENSG00000148303.16
CYP4A22	87	87	0.00449975681173	0.0	-4.6923	0.0	ENSG00000162365.11
RGCC	87	87	3.77426982999e-09	0.0	-4.6716	0.0	ENSG00000102760.12
PNISR	87	87	4.76013621568e-05	0.0	-2.5145	0.0	ENSG00000132424.14
SMAGP	87	87	6.42017816505e-12	0.0	-3.973	0.0	ENSG00000170545.16
HN1	87	87	0.000573228280408	0.0	1.7427	0.0	ENSG00000189159.15
LPAR3	87	87	0.00110936537925	0.0	-3.4825	0.0	ENSG00000171517.5
ATG3	87	87	0.000287216766992	0.0	1.1493	0.0	ENSG00000144848.10
AP2A2	87	87	0.00115418661871	0.0	-0.9024	0.0	ENSG00000183020.13
