	num_samples	pval_counts	pval	pval_std	fc	fc_std	gene_id
GRIN3B	102	0			-0.0195	0.6845	ENSG00000116032.5
RSRC2	102	0			-0.3696	0.4448	ENSG00000111011.17
ARHGEF10	102	0			0.2496	0.6821	ENSG00000104728.15
KRTDAP	102	0			2.0532	1.6289	ENSG00000188508.10
CACNG3	102	0			-0.494	0.1895	ENSG00000006116.3
IL31RA	102	0			-1.3786	0.6264	ENSG00000164509.13
RP2	102	0			-0.4636	0.7184	ENSG00000102218.5
KBTBD6	102	0			-0.1791	0.6773	ENSG00000165572.7
IFIT1B	102	0			0.0092	0.329	ENSG00000204010.3
PRAMEF25	102	0					ENSG00000204505.4
METTL18	102	0			-0.6651	0.4521	ENSG00000171806.11
FAM25A	102	0					ENSG00000188100.8
CNRIP1	102	0			-0.8945	1.0214	ENSG00000119865.8
CPNE1	102	0	0.99943813725	0.0208	-0.2186	0.6583	ENSG00000214078.11
RP1L1	102	0			0.2764	0.7849	ENSG00000183638.5
RNF207	102	0			0.0005	0.7891	ENSG00000158286.12
SPOCK1	102	0			2.7919	1.0452	ENSG00000152377.12
MASTL	102	0			-0.5149	0.7095	ENSG00000120539.14
POLR2B	102	0	0.999442292636	0.0209	0.0116	0.5297	ENSG00000047315.14
PDGFRL	102	0			0.8161	0.9135	ENSG00000104213.12
SMIM18	102	0					ENSG00000253457.2
PRR13	102	0	0.999403470513	0.0165	-0.8135	0.476	ENSG00000205352.10
ZNF761	102	0			-0.0223	0.7139	ENSG00000160336.14
RP11-849F2.7	102	0			-0.0556	0.5069	ENSG00000263809.1
ASIC5	102	0					ENSG00000256394.2
RDH11	102	0	0.999403470513	0.022	-0.3857	0.6519	ENSG00000072042.12
ENAH	102	0			-0.1468	0.8461	ENSG00000154380.16
SCGB1D4	102	0					ENSG00000197745.2
PAMR1	102	0			0.114	0.9889	ENSG00000149090.11
C16orf74	102	0			-0.1113	1.1798	ENSG00000154102.10
RPP38	102	0			-0.5141	0.4716	ENSG00000152464.14
