query	_id	_score	entrezgene	name	notfound	summary	symbol
EPM2A	7957	92.5905	7957.0	EPM2A, laforin glucan phosphatase		This gene encodes a dual-specificity phosphatase that associates with polyribosomes. The encoded protein may be involved in the regulation of glycogen metabolism. Mutations in this gene have been associated with myoclonic epilepsy of Lafora. Alternative splicing results in multiple transcript variants.	EPM2A
SLMAP	7871	95.165184	7871.0	sarcolemma associated protein		This gene encodes a component of a conserved striatin-interacting phosphatase and kinase complex. Striatin family complexes participate in a variety of cellular processes including signaling, cell cycle control, cell migration, Golgi assembly, and apoptosis. The protein encoded by this gene is a coiled-coil, tail-anchored membrane protein with a single C-terminal transmembrane domain that is posttranslationally inserted into membranes. Mutations in this gene are associated with Brugada syndrome, a cardiac channelopathy. Alternative splicing results in multiple transcript variants.	SLMAP
PLCD4	84812	96.419785	84812.0	phospholipase C delta 4		This gene encodes a member of the delta class of phospholipase C enzymes. Phospholipase C enzymes play a critical role in many cellular processes by hydrolyzing phosphatidylinositol 4,5-bisphosphate into two intracellular second messengers, inositol 1,4,5-trisphosphate and diacylglycerol. Expression of this gene may be a marker for cancer.	PLCD4
LMOD3	56203	95.3786	56203.0	leiomodin 3		The protein encoded by this gene is a member of the leiomodin family of proteins. This protein contains three actin-binding domains, a tropomyosin domain, a leucine-rich repeat domain, and a Wiskott-Aldrich syndrome protein homology 2 domain (WH2). Localization of this protein to the pointed ends of thin filaments has been observed, and there is evidence that this protein acts as a catalyst of actin nucleation, and is important to the organization of sarcomeric thin filaments in skeletal muscles. Mutations in this gene have been associated as one cause of Nemaline myopathy, as other genes have also been linked to this disorder. Nemaline myopathy is a disorder characterized by nonprogressive generalized muscle weakness and protein inclusions (nemaline bodies) in skeletal myofibers. Patients with mutations in this gene often present with a severe congenital form of the disorder.	LMOD3
SRF	6722	92.26306	6722.0	serum response factor		This gene encodes a ubiquitous nuclear protein that stimulates both cell proliferation and differentiation. It is a member of the MADS (MCM1, Agamous, Deficiens, and SRF) box superfamily of transcription factors. This protein binds to the serum response element (SRE) in the promoter region of target genes. This protein regulates the activity of many immediate-early genes, for example c-fos, and thereby participates in cell cycle regulation, apoptosis, cell growth, and cell differentiation. This gene is the downstream target of many pathways; for example, the mitogen-activated protein kinase pathway (MAPK) that acts through the ternary complex factors (TCFs). Two transcript variants encoding different isoforms have been found for this gene.	SRF
PPP1R12A	4659	93.46419	4659.0	protein phosphatase 1 regulatory subunit 12A		Myosin phosphatase target subunit 1, which is also called the myosin-binding subunit of myosin phosphatase, is one of the subunits of myosin phosphatase. Myosin phosphatase regulates the interaction of actin and myosin downstream of the guanosine triphosphatase Rho. The small guanosine triphosphatase Rho is implicated in myosin light chain (MLC) phosphorylation, which results in contraction of smooth muscle and interaction of actin and myosin in nonmuscle cells. The guanosine triphosphate (GTP)-bound, active form of RhoA (GTP.RhoA) specifically interacted with the myosin-binding subunit (MBS) of myosin phosphatase, which regulates the extent of phosphorylation of MLC. Rho-associated kinase (Rho-kinase), which is activated by GTP. RhoA, phosphorylated MBS and consequently inactivated myosin phosphatase. Overexpression of RhoA or activated RhoA in NIH 3T3 cells increased phosphorylation of MBS and MLC. Thus, Rho appears to inhibit myosin phosphatase through the action of Rho-kinase. Several transcript variants encoding different isoforms have been found for this gene.	PPP1R12A
SMTN	6525	96.70164	6525.0	smoothelin		This gene encodes a structural protein that is found exclusively in contractile smooth muscle cells. It associates with stress fibers and constitutes part of the cytoskeleton. This gene is localized to chromosome 22q12.3, distal to the TUPLE1 locus and outside the DiGeorge syndrome deletion. Alternative splicing of this gene results in multiple transcript variants encoding distinct isoforms.	SMTN
SLC25A25	114789	94.259766	114789.0	solute carrier family 25 member 25		The protein encoded by this gene belongs to the family of calcium-binding mitochondrial carriers, with a characteristic mitochondrial carrier domain at the C-terminus. These proteins are found in the inner membranes of mitochondria, and function as transport proteins. They shuttle metabolites, nucleotides and cofactors through the mitochondrial membrane and thereby connect and/or regulate cytoplasm and matrix functions. This protein may function as an ATP-Mg/Pi carrier that mediates the transport of Mg-ATP in exchange for phosphate, and likely responsible for the net uptake or efflux of adenine nucleotides into or from the mitochondria. Alternatively spliced transcript variants encoding different isoforms with a common C-terminus but variable N-termini have been described for this gene.	SLC25A25
CSRP1	1465	93.87053	1465.0	cysteine and glycine rich protein 1		This gene encodes a member of the cysteine-rich protein (CSRP) family. This gene family includes a group of LIM domain proteins, which may be involved in regulatory processes important for development and cellular differentiation. The LIM/double zinc-finger motif found in this gene product occurs in proteins with critical functions in gene regulation, cell growth, and somatic differentiation. Alternatively spliced transcript variants have been described.	CSRP1
ITPKB	3707	93.67235	3707.0	inositol-trisphosphate 3-kinase B		The protein encoded by this protein regulates inositol phosphate metabolism by phosphorylation of second messenger inositol 1,4,5-trisphosphate to Ins(1,3,4,5)P4. The activity of this encoded protein is responsible for regulating the levels of a large number of inositol polyphosphates that are important in cellular signaling. Both calcium/calmodulin and protein phosphorylation mechanisms control its activity.	ITPKB
