query	_id	_score	entrezgene	name	notfound	summary	symbol
UBL5	59286	95.40171	59286.0	ubiquitin like 5		This gene encodes a member of a group of proteins similar to ubiquitin. The encoded protein is not thought to degrade proteins like ubiquitin but to affect their function through being bound to target proteins by an isopeptide bond. The gene product has been studied as a link to predisposition to obesity based on its expression in Psammomys obesus, the fat sand rat, which is an animal model for obesity studies. Variation in this gene was found to be significantly associated with some metabolic traits (PMID: 15331561) but not associated with childhood obesity (PMID: 19189687). Pseudogenes of this gene are located on chromosomes 3, 5 and 17. Multiple alternatively spliced variants, encoding the same protein, have been identified.	UBL5
NUTF2	10204	95.16694	10204.0	nuclear transport factor 2		This gene encodes a cytosolic factor that facilitates protein transport into the nucleus. The encoded protein is required for nuclear import of the small Ras-like GTPase, Ran which is involved in numerous cellular processes. This protein also interacts with the nuclear pore complex glycoprotein p62.	NUTF2
ERGIC2	51290	93.87053	51290.0	ERGIC and golgi 2		ERGIC2, or PTX1, is a ubiquitously expressed nuclear protein that is downregulated in prostate carcinoma (Kwok et al., 2001 [PubMed 11445006]).	ERGIC2
PCDHGB4	8641	113.74823	8641.0	protocadherin gamma subfamily B, 4		This gene is a member of the protocadherin gamma gene cluster, one of three related clusters tandemly linked on chromosome five. These gene clusters have an immunoglobulin-like organization, suggesting that a novel mechanism may be involved in their regulation and expression. The gamma gene cluster includes 22 genes divided into 3 subfamilies. Subfamily A contains 12 genes, subfamily B contains 7 genes and 2 pseudogenes, and the more distantly related subfamily C contains 3 genes. The tandem array of 22 large, variable region exons are followed by a constant region, containing 3 exons shared by all genes in the cluster. Each variable region exon encodes the extracellular region, which includes 6 cadherin ectodomains and a transmembrane region. The constant region exons encode the common cytoplasmic region. These neural cadherin-like cell adhesion proteins most likely play a critical role in the establishment and function of specific cell-cell connections in the brain. This particular family member is expressed in fibroblasts and is thought to play a role in wound healing in response to injury. Alternative splicing has been described for the gamma cluster genes.	PCDHGB4
ARL2BP	23568	94.71092	23568.0	ADP ribosylation factor like GTPase 2 binding protein		ADP-ribosylation factor (ARF)-like proteins (ARLs) comprise a functionally distinct group of the ARF family of RAS-related GTPases. The protein encoded by this gene binds to ARL2.GTP with high affinity but does not interact with ARL2.GDP, activated ARF, or RHO proteins. The lack of detectable membrane association of this protein or ARL2 upon activation of ARL2 is suggestive of actions distinct from those of the ARFs. This protein is considered to be the first ARL2-specific effector identified, due to its interaction with ARL2.GTP but lack of ARL2 GTPase-activating protein activity.	ARL2BP
PRPF6	24148	94.71092	24148.0	pre-mRNA processing factor 6		The protein encoded by this gene appears to be involved in pre-mRNA splicing, possibly acting as a bridging factor between U5 and U4/U6 snRNPs in formation of the spliceosome. The encoded protein also can bind androgen receptor, providing a link between transcriptional activation and splicing.	PRPF6
DNTTIP1	116092	94.68735	116092.0	deoxynucleotidyltransferase terminal interacting protein 1		DNTTIP1 binds DNA and enhances the activity of terminal deoxynucleotidyltransferase (TDT, or DNTT; MIM 187410), a DNA polymerase that catalyzes the polymerization of DNA in the absence of a DNA template (Yamashita et al., 2001 [PubMed 11473582]).	DNTTIP1
BLOC1S1	2647	96.14476	2647.0	biogenesis of lysosomal organelles complex 1 subunit 1		BLOC1S1 is a component of the ubiquitously expressed BLOC1 multisubunit protein complex. BLOC1 is required for normal biogenesis of specialized organelles of the endosomal-lysosomal system, such as melanosomes and platelet dense granules (Starcevic and Dell'Angelica, 2004 [PubMed 15102850]).	BLOC1S1
PRPF31	26121	97.61138	26121.0	pre-mRNA processing factor 31		This gene encodes a component of the spliceosome complex and is one of several retinitis pigmentosa-causing genes. When the gene product is added to the spliceosome complex, activation occurs.	PRPF31
CDC42SE2	56990	94.260376	56990.0	CDC42 small effector 2			CDC42SE2
