query	_id	_score	entrezgene	name	notfound	summary	symbol
CLCNKB	1188	111.14438	1188.0	chloride voltage-gated channel Kb		The protein encoded by this gene is a member of the family of voltage-gated chloride channels. Chloride channels have several functions, including the regulation of cell volume, membrane potential stabilization, signal transduction and transepithelial transport. This gene is expressed predominantly in the kidney and may be important for renal salt reabsorption. Mutations in this gene are associated with autosomal recessive Bartter syndrome type 3 (BS3). Alternatively spliced transcript variants encoding different isoforms have been found for this gene.	CLCNKB
ACPP	55	93.68867	55.0	acid phosphatase, prostate		This gene encodes an enzyme that catalyzes the conversion of orthophosphoric monoester to alcohol and orthophosphate. It is synthesized under androgen regulation and is secreted by the epithelial cells of the prostate gland. An alternatively spliced transcript variant encoding a longer isoform has been found for this gene. This isoform contains a transmembrane domain and is localized in the plasma membrane-endosomal-lysosomal pathway.	ACPP
KCNJ1	3758	96.33968	3758.0	potassium voltage-gated channel subfamily J member 1		Potassium channels are present in most mammalian cells, where they participate in a wide range of physiologic responses. The protein encoded by this gene is an integral membrane protein and inward-rectifier type potassium channel. It is activated by internal ATP and probably plays an important role in potassium homeostasis. The encoded protein has a greater tendency to allow potassium to flow into a cell rather than out of a cell. Mutations in this gene have been associated with antenatal Bartter syndrome, which is characterized by salt wasting, hypokalemic alkalosis, hypercalciuria, and low blood pressure. Multiple transcript variants encoding different isoforms have been found for this gene.	KCNJ1
SMIM5	643008	96.95247	643008.0	small integral membrane protein 5			SMIM5
ESRRB	2103	94.1077	2103.0	estrogen related receptor beta		This gene encodes a protein with similarity to the estrogen receptor. Its function is unknown; however, a similar protein in mouse plays an essential role in placental development.	ESRRB
TRPV6	55503	100.4223	55503.0	transient receptor potential cation channel subfamily V member 6		This gene encodes a member of a family of multipass membrane proteins that functions as calcium channels. The encoded protein contains N-terminal ankyrin repeats, which are required for channel assembly and regulation. Translation initiation for this protein occurs at a non-AUG start codon that is decoded as methionine. This gene is situated next to a closely related gene for transient receptor potential cation channel subfamily V member 5 (TRPV5). This locus has experienced positive selection in non-African populations, resulting in several non-synonymous codon differences among individuals of different genetic backgrounds.	TRPV6
INPP5J	27124	95.03958	27124.0	inositol polyphosphate-5-phosphatase J			INPP5J
AQP2	359	96.33891	359.0	aquaporin 2		This gene encodes a water channel protein located in the kidney collecting tubule. It belongs to the MIP/aquaporin family, some members of which are clustered together on chromosome 12q13. Mutations in this gene have been linked to autosomal dominant and recessive forms of nephrogenic diabetes insipidus.	AQP2
PRRG2	5639	100.92246	5639.0	proline rich and Gla domain 2		The protein encoded by this gene is a single-pass transmembrane protein containing an N-terminal gamma-carboxyglutamic acid (Gla) domain and tandem Pro/Leu-Pro-Xaa-Tyr (PY) motifs at its C-terminal end. The Gla domain is exposed on the cell surface while the PY motifs are cytoplasmic. The PY motifs of the encoded protein have been shown to interact with YAP1, a WW domain-containing protein. Therefore, it is thought that the encoded protein may be part of a signal transduction pathway. Two transcript variants encoding different isoforms have been found for this gene.	PRRG2
SLC26A7	115111	97.25174	115111.0	solute carrier family 26 member 7		This gene is one member of a family of sulfate/anion transporter genes. Family members are well conserved in gene structure and protein length yet have markedly different tissue expression patterns. This gene has abundant and specific expression in the kidney. Alternatively spliced transcript variants that encode different isoforms have been described.	SLC26A7
EPB41L4B	54566	97.94725	54566.0	erythrocyte membrane protein band 4.1 like 4B			EPB41L4B
