query	_id	_score	entrezgene	name	notfound	summary	symbol
HIF3A	64344	94.935585	64344.0	hypoxia inducible factor 3 alpha subunit		The protein encoded by this gene is the alpha-3 subunit of one of several alpha/beta-subunit heterodimeric transcription factors that regulate many adaptive responses to low oxygen tension (hypoxia). The alpha-3 subunit lacks the transactivation domain found in factors containing either the alpha-1 or alpha-2 subunits. It is thought that factors containing the alpha-3 subunit are negative regulators of hypoxia-inducible gene expression. Multiple alternatively spliced transcript variants have been found for this gene.	HIF3A
AOC3	8639	102.980034	8639.0	amine oxidase, copper containing 3		This gene encodes a member of the semicarbazide-sensitive amine oxidase family. Copper amine oxidases catalyze the oxidative conversion of amines to aldehydes in the presence of copper and quinone cofactor. The encoded protein is localized to the cell surface, has adhesive properties as well as monoamine oxidase activity, and may be involved in leukocyte trafficking. Alterations in levels of the encoded protein may be associated with many diseases, including diabetes mellitus. A pseudogene of this gene has been described and is located approximately 9-kb downstream on the same chromosome. Alternative splicing results in multiple transcript variants.	AOC3
FXYD3	5349	100.77555	5349.0	FXYD domain containing ion transport regulator 3		This gene belongs to a small family of FXYD-domain containing regulators of Na+/K+ ATPases which share a 35-amino acid signature sequence domain, beginning with the sequence PFXYD, and containing 7 invariant and 6 highly conserved amino acids. This gene encodes a cell membrane protein that may regulate the function of ion-pumps and ion-channels. This gene may also play a role in tumor progression. Alternative splicing results in multiple transcript variants encoding distinct isoforms.	FXYD3
TMC5	79838	92.239494	79838.0	transmembrane channel like 5			TMC5
AGER	177	98.28605	177.0	advanced glycosylation end-product specific receptor		The advanced glycosylation end product (AGE) receptor encoded by this gene is a member of the immunoglobulin superfamily of cell surface receptors. It is a multiligand receptor, and besides AGE, interacts with other molecules implicated in homeostasis, development, and inflammation, and certain diseases, such as diabetes and Alzheimer's disease. Many alternatively spliced transcript variants encoding different isoforms, as well as non-protein-coding variants, have been described for this gene (PMID:18089847).	AGER
NOSTRIN	115677	96.72214	115677.0	nitric oxide synthase trafficking		Nitric oxide (NO) is a potent mediator in biologic processes such as neurotransmission, inflammatory response, and vascular homeostasis. NOSTRIN binds the enzyme responsible for NO production, endothelial NO synthase (ENOS; MIM 163729), and triggers the translocation of ENOS from the plasma membrane to vesicle-like subcellular structures, thereby attenuating ENOS-dependent NO production.	NOSTRIN
SFTA3	253970	108.35549	253970.0	surfactant associated 3			SFTA3
SFTA2	389376	100.30506	389376.0	surfactant associated 2			SFTA2
NKX2-1	7080	96.16657	7080.0	NK2 homeobox 1		This gene encodes a protein initially identified as a thyroid-specific transcription factor. The encoded protein binds to the thyroglobulin promoter and regulates the expression of thyroid-specific genes but has also been shown to regulate the expression of genes involved in morphogenesis. Mutations and deletions in this gene are associated with benign hereditary chorea, choreoathetosis, congenital hypothyroidism, and neonatal respiratory distress, and may be associated with thyroid cancer. Multiple transcript variants encoding different isoforms have been found for this gene. This gene shares the symbol/alias 'TTF1' with another gene, transcription termination factor 1, which plays a role in ribosomal gene transcription.	NKX2-1
MUC15	143662	96.14476	143662.0	mucin 15, cell surface associated			MUC15
