query	_id	_score	entrezgene	name	notfound	summary	symbol
ITM2C	81618	101.058655	81618.0	integral membrane protein 2C			ITM2C
HERPUD2	64224	96.96026	64224.0	HERPUD family member 2			HERPUD2
GRIN3B	116444	96.97881	116444.0	glutamate ionotropic receptor NMDA type subunit 3B		The protein encoded by this gene is a subunit of an N-methyl-D-aspartate (NMDA) receptor. The encoded protein is found primarily in motor neurons, where it forms a heterotetramer with GRIN1 to create an excitatory glycine receptor. Variations in this gene have been proposed to be linked to schizophrenia.	GRIN3B
RBKS	64080	95.10208	64080.0	ribokinase		This gene encodes a member of the carbohydrate kinase PfkB family. The encoded protein phosphorylates ribose to form ribose-5-phosphate in the presence of ATP and magnesium as a first step in ribose metabolism. Alternative splicing results in multiple transcript variants.	RBKS
SSRP1	6749	96.95233	6749.0	structure specific recognition protein 1		The protein encoded by this gene is a subunit of a heterodimer that, along with SUPT16H, forms chromatin transcriptional elongation factor FACT. FACT interacts specifically with histones H2A/H2B to effect nucleosome disassembly and transcription elongation. FACT and cisplatin-damaged DNA may be crucial to the anticancer mechanism of cisplatin. This encoded protein contains a high mobility group box which most likely constitutes the structure recognition element for cisplatin-modified DNA. This protein also functions as a co-activator of the transcriptional activator p63. An alternatively spliced transcript variant of this gene has been described, but its full-length nature is not known.	SSRP1
TIGAR	57103	96.98144	57103.0	TP53 induced glycolysis regulatory phosphatase		This gene is regulated as part of the p53 tumor suppressor pathway and encodes a protein with sequence similarity to the bisphosphate domain of the glycolytic enzyme that degrades fructose-2,6-bisphosphate. The protein functions by blocking glycolysis and directing the pathway into the pentose phosphate shunt. Expression of this protein also protects cells from DNA damaging reactive oxygen species and provides some protection from DNA damage-induced apoptosis. The 12p13.32 region that includes this gene is paralogous to the 11q13.3 region.	TIGAR
RNF44	22838	94.05639	22838.0	ring finger protein 44		The protein encoded by this gene contains a RING finger, a motif present in a variety of functionally distinct proteins and known to be involved in protein-protein and protein-DNA interactions.	RNF44
UQCC2	84300	104.80017	84300.0	ubiquinol-cytochrome c reductase complex assembly factor 2		This gene encodes a nucleoid protein localized to the mitochondria inner membrane. The encoded protein affects regulation of insulin secretion, mitochondrial ATP production, and myogenesis through modulation of mitochondrial respiratory chain activity.	UQCC2
ADGRD2	ENSG00000180264	95.975296		adhesion G protein-coupled receptor D2			ADGRD2
C11orf84	144097	110.17962	144097.0	chromosome 11 open reading frame 84			C11orf84
