	num_samples	pval_counts	pval	pval_std	fc	fc_std	gene_id
C16orf89	407	357	6.43078536405e-11	0.1677	-6.1958	2.1561	ENSG00000153446.15
SOX10	407	341	3.01607976269e-06	0.1972	-6.8759	2.2107	ENSG00000100146.16
PLP1	407	341	1.39722578545e-08	0.1639	-6.5641	2.3178	ENSG00000123560.13
PCSK2	407	340	4.62557441294e-06	0.1821	-6.4149	2.1286	ENSG00000125851.9
FXYD1	407	335	1.72863864658e-08	0.1704	-4.7356	2.0425	ENSG00000266964.5
ADH1B	407	327	6.58547530517e-11	0.1891	-7.3459	3.0024	ENSG00000196616.12
CFD	407	326	4.3744303212e-08	0.1718	-4.7047	1.7016	ENSG00000197766.7
PI16	407	319	6.14235647353e-07	0.177	-7.0581	2.34	ENSG00000164530.13
CADM3	407	316	3.68912020002e-09	0.2162	-6.0604	2.7549	ENSG00000162706.12
NRXN1	407	310	6.74323584572e-06	0.1823	-6.1914	2.1688	ENSG00000179915.20
F10	407	308	6.36748493694e-06	0.1599	-4.4666	1.6307	ENSG00000126218.11
SCARA5	407	300	2.61276465214e-06	0.1803	-6.1829	2.1922	ENSG00000168079.16
ASPA	407	297	6.35689258459e-07	0.22	-4.4556	2.0993	ENSG00000108381.10
SCN7A	407	296	4.82736917388e-06	0.1993	-6.0058	2.2878	ENSG00000136546.13
SORCS1	407	294	9.46466581124e-06	0.1908	-5.6834	2.0346	ENSG00000108018.15
OLFM1	407	292	1.39401149481e-06	0.2281	-3.7575	1.7985	ENSG00000130558.18
CA9	407	282	1.846544315e-10	0.2701	5.5912	3.2336	ENSG00000107159.12
CLEC3B	407	274	4.07221980968e-05	0.1622	-4.7389	1.5495	ENSG00000163815.5
FAM107A	407	273	3.55607994978e-05	0.1945	-4.7974	1.8177	ENSG00000168309.16
XKR4	407	269	0.000234851084939	0.193	-5.4571	1.7802	ENSG00000206579.8
PER1	407	256	4.46543744059e-05	0.2189	-2.4965	1.1647	ENSG00000179094.13
GFRA1	407	252	7.8803742518e-05	0.2331	-4.7382	2.2831	ENSG00000151892.14
GNG7	407	250	9.18299471157e-05	0.2178	-3.4878	1.4572	ENSG00000176533.12
GREM2	407	248	3.55998286848e-05	0.2347	-4.6749	2.4399	ENSG00000180875.4
PRIMA1	407	244	2.37320307461e-05	0.2216	-4.5449	2.4242	ENSG00000175785.12
PMP2	407	242	0.000514891115699	0.1945	-5.1029	1.6797	ENSG00000147588.6
BCL2	407	240	0.000105412144008	0.2451	-2.0883	1.1578	ENSG00000171791.11
GRIK3	407	238	0.000348533213556	0.2044	-4.1821	2.0309	ENSG00000163873.9
MFAP4	407	237	0.000185490274371	0.2465	-4.0435	2.1388	ENSG00000166482.11
PLAC9	407	237	0.000147350021369	0.2168	-3.9601	1.6383	ENSG00000189129.13
RERGL	407	237	0.000301000268733	0.2211	-4.5999	2.0296	ENSG00000111404.6
GSTM5	407	237	0.00010993931012	0.2162	-4.0255	2.0367	ENSG00000134201.10
CHRDL1	407	236	8.37221500856e-05	0.2442	-5.4667	2.7706	ENSG00000101938.14
C7	407	236	0.000153734428597	0.2459	-5.6774	2.6093	ENSG00000112936.18
LGI4	407	236	0.000249531127799	0.2357	-2.8858	1.3254	ENSG00000153902.13
C1QTNF7	407	235	0.000170587791842	0.215	-4.3257	1.8161	ENSG00000163145.12
VIPR2	407	234	0.000225652432225	0.222	-4.6402	2.0126	ENSG00000106018.13
FAIM2	407	232	0.000227342588212	0.2217	-4.6411	2.0521	ENSG00000135472.8
CES1	407	229	0.000143078778118	0.2157	-4.0983	2.8875	ENSG00000198848.12
PHYHIP	407	227	0.00047624758462	0.2477	-3.8239	2.0137	ENSG00000168490.13
GFRA3	407	225	0.000512519469989	0.263	-3.4842	2.1478	ENSG00000146013.10
CCL14	407	225	0.000469618046309	0.2296	-4.8686	2.3508	ENSG00000276409.4
TPPP3	407	223	0.000412304293815	0.226	-2.1122	1.5135	ENSG00000159713.10
HLF	407	222	0.00061034862832	0.1936	-5.0116	1.7768	ENSG00000108924.13
RBM24	407	221	0.000423115021814	0.2145	-4.3997	1.939	ENSG00000112183.14
AR	407	220	0.000119803430568	0.3216	-2.9635	2.5318	ENSG00000169083.15
ZNF536	407	220	0.000517176160608	0.2357	-4.6444	2.1092	ENSG00000198597.8
