query	_id	_score	entrezgene	name	notfound	summary	symbol
CA7	766	92.04378	766.0	carbonic anhydrase 7		Carbonic anhydrases are a large family of zinc metalloenzymes that catalyze the reversible hydration of carbon dioxide. They participate in a variety of biological processes, including respiration, calcification, acid-base balance, bone resorption, and the formation of aqueous humor, cerebrospinal fluid, saliva, and gastric acid. They show extensive diversity in tissue distribution and in their subcellular localization. The cytosolic protein encoded by this gene is predominantly expressed in the salivary glands. Alternative splicing in the coding region results in multiple transcript variants encoding different isoforms.	CA7
ETFDH	2110	93.69036	2110.0	electron transfer flavoprotein dehydrogenase		This gene encodes a component of the electron-transfer system in mitochondria and is essential for electron transfer from a number of mitochondrial flavin-containing dehydrogenases to the main respiratory chain. Mutations in this gene are associated with glutaric acidemia. Alternatively spliced transcript variants that encode distinct isoforms have been observed.	ETFDH
BEST4	266675	98.29312	266675.0	bestrophin 4		This gene is a member of the bestrophin gene family of anion channels. Bestrophin genes share a similar gene structure with highly conserved exon-intron boundaries, but with distinct 3' ends. Bestrophins are transmembrane proteins that contain a homologous region rich in aromatic residues, including an invariant arg-phe-pro motif. Mutation in one of the family members (bestrophin 1) is associated with vitelliform macular dystrophy. The bestrophin 4 gene is predominantly expressed in the colon.	BEST4
UGP2	7360	96.93649	7360.0	UDP-glucose pyrophosphorylase 2		The enzyme encoded by this gene is an important intermediary in mammalian carbohydrate interconversions. It transfers a glucose moiety from glucose-1-phosphate to MgUTP and forms UDP-glucose and MgPPi. In liver and muscle tissue, UDP-glucose is a direct precursor of glycogen; in lactating mammary gland it is converted to UDP-galactose which is then converted to lactose. The eukaryotic enzyme has no significant sequence similarity to the prokaryotic enzyme. Two transcript variants encoding different isoforms have been found for this gene.	UGP2
OTOP2	92736	95.274765	92736.0	otopetrin 2			OTOP2
CLEC3B	7123	92.733116	7123.0	C-type lectin domain family 3 member B			CLEC3B
SCGN	10590	94.788185	10590.0	secretagogin, EF-hand calcium binding protein		The encoded protein is a secreted calcium-binding protein which is found in the cytoplasm. It is related to calbindin D-28K and calretinin. This protein is thought to be involved in KCL-stimulated calcium flux and cell proliferation.	SCGN
PKIB	5570	91.12927	5570.0	cAMP-dependent protein kinase inhibitor beta		This gene encodes a member of the cAMP-dependent protein kinase inhibitor family. The encoded protein may play a role in the protein kinase A (PKA) pathway by interacting with the catalytic subunit of PKA, and overexpression of this gene may play a role in prostate cancer. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene.	PKIB
BMX	660	96.63792	660.0	BMX non-receptor tyrosine kinase		This gene encodes a non-receptor tyrosine kinase belonging to the Tec kinase family. The protein contains a PH-like domain, which mediates membrane targeting by binding to phosphatidylinositol 3,4,5-triphosphate (PIP3), and a SH2 domain that binds to tyrosine-phosphorylated proteins and functions in signal transduction. The protein is implicated in several signal transduction pathways including the Stat pathway, and regulates differentiation and tumorigenicity of several types of cancer cells. Alternatively spliced transcript variants have been found for this gene.	BMX
SST	6750	95.28943	6750.0	somatostatin		The hormone somatostatin has active 14 aa and 28 aa forms that are produced by alternate cleavage of the single preproprotein encoded by this gene. Somatostatin is expressed throughout the body and inhibits the release of numerous secondary hormones by binding to high-affinity G-protein-coupled somatostatin receptors. This hormone is an important regulator of the endocrine system through its interactions with pituitary growth hormone, thyroid stimulating hormone, and most hormones of the gastrointestinal tract. Somatostatin also affects rates of neurotransmission in the central nervous system and proliferation of both normal and tumorigenic cells.	SST
GCNT2	2651	97.58604	2651.0	glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I blood group)		This gene encodes the enzyme responsible for formation of the blood group I antigen. The i and I antigens are distinguished by linear and branched poly-N-acetyllactosaminoglycans, respectively. The encoded protein is the I-branching enzyme, a beta-1,6-N-acetylglucosaminyltransferase responsible for the conversion of fetal i antigen to adult I antigen in erythrocytes during embryonic development. Mutations in this gene have been associated with adult i blood group phenotype. Alternatively spliced transcript variants encoding different isoforms have been described.	GCNT2
