	num_samples	pval_counts	pval	pval_std	fc	fc_std	gene_id
LENG8	50	50	7.20627751786e-09	0.0	-2.8684	0.4449	ENSG00000167615.16
SUGP2	50	50	9.26257919001e-07	0.0001	-2.1902	0.3195	ENSG00000064607.16
NKTR	50	47	1.08284794114e-07	0.0044	-2.5303	0.6241	ENSG00000114857.17
KIAA0895L	50	47	5.07682264109e-07	0.0008	-3.1489	0.5976	ENSG00000196123.12
MAPK8IP3	50	47	1.22034752415e-07	0.0005	-2.9977	0.6314	ENSG00000138834.12
AHSA2	50	46	1.15113710494e-06	0.0015	-3.2206	0.7308	ENSG00000173209.22
FAM193B	50	46	9.98123284466e-07	0.0012	-2.7604	0.5408	ENSG00000146067.15
SLX1A-SULT1A3	50	46	3.57182725657e-06	0.0008	-3.0679	0.6194	ENSG00000213599.9
PABPC1L	50	46	1.01163500698e-07	0.0165	-3.6908	0.9519	ENSG00000101104.12
SGK494	50	46	2.04655591263e-06	0.0073	-3.3371	0.899	ENSG00000167524.14
AGAP5	50	45	2.05303356138e-06	0.0009	-3.0142	0.7569	ENSG00000172650.12
JMJD7-PLA2G4B	50	45	2.36703221903e-06	0.0062	-2.8772	0.754	ENSG00000168970.20
ANKRD23	50	45	6.92030898421e-06	0.0054	-3.2207	0.7882	ENSG00000163126.14
FAM156A	50	45	1.80437324182e-07	0.0021	-2.9516	0.6789	ENSG00000268350.7
GGA3	50	45	1.876366581e-05	0.0016	-1.5794	0.2441	ENSG00000125447.16
EME2	50	45	4.3864173413e-07	0.0004	-2.9183	0.5678	ENSG00000197774.12
HNRNPH1	50	45	6.11550848095e-06	0.0124	-1.9992	0.3332	ENSG00000169045.17
TAF1C	50	45	7.90122692981e-06	0.0136	-1.8797	0.3271	ENSG00000103168.16
CHRD	50	44	1.82018043802e-06	0.0118	-3.2141	0.7889	ENSG00000090539.15
NFATC2IP	50	44	2.22393623139e-05	0.002	-1.3498	0.1927	ENSG00000176953.10
LY6G5B	50	44	1.09802717715e-06	0.0067	-3.5021	0.9562	ENSG00000240053.8
UBAP1L	50	44	2.45441136422e-06	0.0054	-3.3097	0.767	ENSG00000246922.8
CCNL2	50	43	3.68090690279e-06	0.0042	-2.9168	0.5228	ENSG00000221978.11
NR2C2	50	42	1.44032758868e-06	0.0171	-2.0941	0.544	ENSG00000177463.15
GOLGA6L9	50	42	2.00248985771e-05	0.0034	-2.3794	0.6133	ENSG00000197978.9
MZF1	50	42	8.36803088665e-05	0.0033	-2.3835	0.3529	ENSG00000099326.8
RBM33	50	42	1.91808290489e-05	0.0125	-1.9113	0.3151	ENSG00000184863.10
CENPT	50	41	6.00584279906e-05	0.0013	-2.1291	0.3322	ENSG00000102901.12
RTEL1-TNFRSF6B	50	41	4.49710013348e-05	0.005	-2.6508	0.7318	ENSG00000026036.20
WDR27	50	40	9.75174088514e-05	0.0094	-2.6535	0.6223	ENSG00000184465.15
KLHL17	50	40	3.96255501523e-05	0.0054	-2.358	0.5105	ENSG00000187961.13
CCDC84	50	39	0.000185952155672	0.023	-2.3177	0.473	ENSG00000186166.8
CRAMP1L	50	39	3.82390592247e-07	0.0079	-2.104	0.5709	ENSG00000007545.15
