query	_id	_score	entrezgene	name	notfound	summary	symbol
TMCO1	54499	98.28605	54499.0	transmembrane and coiled-coil domains 1		This locus encodes a transmembrane protein. Mutations at this locus have been associated with craniofacial dysmorphism, skeletal anomalies, and mental retardation. Mutations at this locus have also been associated with open angle glaucoma blindness. Alternatively spliced transcript variants have been described.	TMCO1
SRP9	6726	95.144135	6726.0	signal recognition particle 9			SRP9
GGPS1	9453	91.94669	9453.0	geranylgeranyl diphosphate synthase 1		This gene is a member of the prenyltransferase family and encodes a protein with geranylgeranyl diphosphate (GGPP) synthase activity. The enzyme catalyzes the synthesis of GGPP from farnesyl diphosphate and isopentenyl diphosphate. GGPP is an important molecule responsible for the C20-prenylation of proteins and for the regulation of a nuclear hormone receptor. Alternate transcriptional splice variants, both protein-coding and non-protein-coding, have been found for this gene.	GGPS1
TRMT12	55039	93.84546	55039.0	tRNA methyltransferase 12 homolog		Wybutosine (yW) is a hypermodified guanosine at the 3-prime position adjacent to the anticodon of phenylalanine tRNA that stabilizes codon-anticodon interactions during decoding on the ribosome. TRMT12 is the human homolog of a yeast gene essential for yW synthesis (Noma and Suzuki, 2006).	TRMT12
ATP6AP1	537	92.260666	537.0	ATPase H+ transporting accessory protein 1		This gene encodes a component of a multisubunit enzyme that mediates acidification of eukaryotic intracellular organelles. Vacuolar ATPase (V-ATPase) is comprised of a cytosolic V1 (site of the ATP catalytic site) and a transmembrane V0 domain. V-ATPase dependent organelle acidification is necessary for such intracellular processes as protein sorting, zymogen activation, and receptor-mediated endocytosis. The encoded protein of this gene may assist in the V-ATPase-mediated acidification of neuroendocrine secretory granules. This protein may also play a role in early development.	ATP6AP1
INIP	58493	96.44029	58493.0	INTS3 and NABP interacting protein		The protein encoded by this gene is a subunit of single-stranded DNA binding complexes that are important for maintaining genome stability. These complexes are involved in G2/M checkpoint control and homologous recombination repair.	INIP
PARN	5073	94.69105	5073.0	poly(A)-specific ribonuclease		The protein encoded by this gene is a 3'-exoribonuclease, with similarity to the RNase D family of 3'-exonucleases. It prefers poly(A) as the substrate, hence, efficiently degrades poly(A) tails of mRNAs. Exonucleolytic degradation of the poly(A) tail is often the first step in the decay of eukaryotic mRNAs. This protein is also involved in silencing of certain maternal mRNAs during oocyte maturation and early embryonic development, as well as in nonsense-mediated decay (NMD) of mRNAs that contain premature stop codons. Alternatively spliced transcript variants encoding different isoforms have been found for this gene.	PARN
TMEM57	55219	94.687675	55219.0	transmembrane protein 57			TMEM57
ENTPD7	57089	96.43853	57089.0	ectonucleoside triphosphate diphosphohydrolase 7			ENTPD7
H3F3A	3020	94.25345	3020.0	H3 histone family member 3A		Histones are basic nuclear proteins that are responsible for the nucleosome structure of the chromosomal fiber in eukaryotes. Two molecules of each of the four core histones (H2A, H2B, H3, and H4) form an octamer, around which approximately 146 bp of DNA is wrapped in repeating units, called nucleosomes. The linker histone, H1, interacts with linker DNA between nucleosomes and functions in the compaction of chromatin into higher order structures. This gene contains introns and its mRNA is polyadenylated, unlike most histone genes. The protein encoded is a replication-independent member of the histone H3 family.	H3F3A
