query	_id	_score	entrezgene	name	notfound	summary	symbol
RIC3	79608	94.07118	79608.0	RIC3 acetylcholine receptor chaperone		This gene encodes a member of the resistance to inhibitors of cholinesterase 3-like family which functions as a chaperone of specific 5-hydroxytryptamine type 3 receptor and nicotinic acetylcholine receptor subtypes. The encoded protein influences the folding and assembly of these receptor subunits in the endoplasmic reticulum and expression on the cell surface. This protein contains an N-terminal transmembrane domain, a proline-rich spacer, and a cytosolic C-terminal coiled-coil domain. Alternative splicing results in multiple transcript variants.	RIC3
EPO	2056	97.01221	2056.0	erythropoietin		This gene is a member of the EPO/TPO family and encodes a secreted, glycosylated cytokine composed of four alpha helical bundles. The protein is found in the plasma and regulates red cell production by promoting erythroid differentiation and initiating hemoglobin synthesis. This protein also has neuroprotective activity against a variety of potential brain injuries and antiapoptotic functions in several tissue types.	EPO
SRSF11	9295	95.630974	9295.0	serine and arginine rich splicing factor 11		This gene encodes 54-kD nuclear protein that contains an arginine/serine-rich region similar to segments found in pre-mRNA splicing factors. Although the function of this protein is not yet known, structure and immunolocalization data suggest that it may play a role in pre-mRNA processing. Alternative splicing results in multiple transcript variants encoding different proteins. In addition, a pseudogene of this gene has been found on chromosome 12.	SRSF11
PLIN5	440503	99.027435	440503.0	perilipin 5		Members of the perilipin family, such as PLIN5, coat intracellular lipid storage droplets and protect them from lipolytic degradation (Dalen et al., 2007 [PubMed 17234449]).	PLIN5
EGF	1950	92.40635	1950.0	epidermal growth factor		This gene encodes a member of the epidermal growth factor superfamily. The encoded preproprotein is proteolytically processed to generate the 53-amino acid epidermal growth factor peptide. This protein acts a potent mitogenic factor that plays an important role in the growth, proliferation and differentiation of numerous cell types. This protein acts by binding with high affinity to the cell surface receptor, epidermal growth factor receptor. Defects in this gene are the cause of hypomagnesemia type 4. Dysregulation of this gene has been associated with the growth and progression of certain cancers. Alternative splicing results in multiple transcript variants, at least one of which encodes a preproprotein that is proteolytically processed.	EGF
SPX	80763	99.44372	80763.0	spexin hormone		The protein encoded by this gene is a hormone involved in modulation of cardiovascular and renal function. It has also been shown in rats to cause weight loss. Several transcript variants have been found for this gene.	SPX
CERS4	79603	94.0537	79603.0	ceramide synthase 4			CERS4
SIX5	147912	98.309296	147912.0	SIX homeobox 5		The protein encoded by this gene is a homeodomain-containing transcription factor that appears to function in the regulation of organogenesis. This gene is located downstream of the dystrophia myotonica-protein kinase gene. Mutations in this gene are a cause of branchiootorenal syndrome type 2.	SIX5
PRODH2	58510	95.165184	58510.0	proline dehydrogenase 2		The protein encoded by this gene catalyzes the first step in the catabolism of trans-4-hydroxy-L-proline, an amino acid derivative obtained through food intake and collagen turnover. One of the downstream products of this catabolism is glyoxylate, which in people with disorders of glyoxalate metabolism can lead to an increase in oxalate levels and the formation of calcium-oxalate kidney stones. Therefore, this gene may serve as a therapeutic target against primary hyperoxalurias (PH). This gene is similar to proline dehydrogenase (oxidase) 1, a mitochondrial enzyme that catalyzes the first step in proline catabolism.	PRODH2
CBFA2T3	863	96.719734	863.0	CBFA2/RUNX1 translocation partner 3		This gene encodes a member of the myeloid translocation gene family which interact with DNA-bound transcription factors and recruit a range of corepressors to facilitate transcriptional repression. The t(16;21)(q24;q22) translocation is one of the less common karyotypic abnormalities in acute myeloid leukemia. The translocation produces a chimeric gene made up of the 5'-region of the runt-related transcription factor 1 gene fused to the 3'-region of this gene. This gene is also a putative breast tumor suppressor. Alternative splicing results in transcript variants.	CBFA2T3
