	num_samples	pval_counts	pval	pval_std	fc	fc_std	gene_id
STARD9	180	180	2.40030256486e-24	0.0	-5.2337	1.047	ENSG00000159433.11
TGFB1I1	180	180	5.32042676881e-25	0.0001	-4.5918	1.1025	ENSG00000140682.18
ARHGEF25	180	180	1.1679893258e-24	0.0	-4.0483	1.1943	ENSG00000240771.6
SAPCD2	180	180	9.52653910468e-10	0.0001	6.4532	0.9475	ENSG00000186193.8
CDC20	180	180	7.41698036302e-14	0.0	6.7559	1.1422	ENSG00000117399.13
ASF1B	180	179	2.53083228305e-09	0.0143	5.9624	0.9606	ENSG00000105011.8
CACNA1H	180	179	1.62663118018e-36	0.0002	-5.902	1.3486	ENSG00000196557.10
SPEG	180	179	1.22783877546e-28	0.0002	-5.4437	1.7695	ENSG00000072195.14
ESRP2	180	179	3.79443197951e-07	0.0051	5.5342	0.912	ENSG00000103067.11
STAT5B	180	179	9.53455837057e-18	0.0002	-2.3642	0.6221	ENSG00000173757.9
SKA3	180	179	1.37947222376e-10	0.0002	6.2402	0.805	ENSG00000165480.15
UBE2C	180	179	3.85837322045e-11	0.0002	6.8429	1.1682	ENSG00000175063.16
FAM83H	180	179	1.92254193432e-08	0.0076	6.5239	0.8773	ENSG00000180921.6
IFFO1	180	179	1.10107233496e-30	0.0003	-4.0498	1.0441	ENSG00000010295.19
GPRASP1	180	178	5.18866616989e-20	0.0068	-5.2882	1.2379	ENSG00000198932.12
RBFOX2	180	178	1.82993252399e-17	0.0704	-2.2836	0.6239	ENSG00000100320.22
SPINT1	180	178	4.27125171897e-11	0.0157	6.4804	1.1569	ENSG00000166145.14
MREG	180	178	5.42928164954e-11	0.0695	3.6389	0.7603	ENSG00000118242.15
LENG8	180	178	9.9033683983e-10	0.0003	-3.3419	0.7008	ENSG00000167615.16
PEAR1	180	178	1.00053550812e-18	0.0015	-4.7586	1.215	ENSG00000187800.13
CSDC2	180	178	3.4920938899e-18	0.001	-6.091	1.8338	ENSG00000172346.14
POC1A	180	178	1.2485947088e-13	0.0012	4.1216	0.9714	ENSG00000164087.7
KIF4A	180	178	4.60469371358e-10	0.0341	6.3087	1.038	ENSG00000090889.11
ADAM33	180	178	2.34712632106e-30	0.0218	-7.2702	2.1836	ENSG00000149451.17
AASS	180	178	9.33216273604e-13	0.0004	-4.5031	1.5064	ENSG00000008311.14
PGM5	180	178	2.94069829304e-24	0.0116	-5.9065	1.9889	ENSG00000154330.12
GABBR1	180	178	9.75269565886e-21	0.0007	-4.4251	1.7543	ENSG00000204681.10
CBX7	180	178	2.6947852266e-16	0.0129	-4.1714	0.9369	ENSG00000100307.12
BIRC5	180	178	1.56296015954e-09	0.0003	6.7021	1.1573	ENSG00000089685.14
RERG	180	178	1.16304480725e-30	0.0009	-5.9336	1.6545	ENSG00000134533.6
CCDC58	180	177	1.94024088746e-12	0.0008	2.082	0.578	ENSG00000160124.9
KIAA1644	180	177	1.08968095163e-21	0.0096	-6.4776	1.7951	ENSG00000138944.7
SMTN	180	177	9.50990838259e-10	0.0006	-4.0466	0.7618	ENSG00000183963.18
SYTL4	180	177	4.4403609438e-12	0.0012	-4.4616	1.0083	ENSG00000102362.15
CRB3	180	177	1.71700421955e-08	0.039	6.1995	1.1856	ENSG00000130545.15
LGI4	180	177	1.73836587244e-18	0.0005	-6.1003	1.267	ENSG00000153902.13
PDGFRB	180	177	1.33158418538e-23	0.001	-3.2147	1.0058	ENSG00000113721.13
ADH1B	180	177	8.42842816978e-22	0.0077	-9.8826	2.1722	ENSG00000196616.12
TSPYL2	180	177	2.17559133439e-11	0.0107	-3.5542	0.7466	ENSG00000184205.14
ABCC9	180	177	7.2734986476e-27	0.0018	-5.3425	1.3338	ENSG00000069431.10
TCF23	180	177	1.6103598494e-19	0.0147	-8.5598	2.2989	ENSG00000163792.6
RHOV	180	177	6.22960796694e-13	0.0072	5.6911	1.5311	ENSG00000104140.6
RIC3	180	177	7.99979877708e-23	0.0024	-6.8526	2.2024	ENSG00000166405.14
CDCA2	180	177	2.5662502367e-10	0.0003	6.2047	1.0409	ENSG00000184661.13
SLC25A10	180	177	1.27233493298e-09	0.0108	4.002	0.9195	ENSG00000183048.11
MARVELD2	180	177	4.70594527266e-08	0.0573	5.1366	0.7439	ENSG00000152939.14
TNS2	180	177	1.18927099387e-15	0.0103	-3.9626	0.8359	ENSG00000111077.17
TSHZ3	180	177	2.86879343365e-27	0.0136	-4.538	1.3102	ENSG00000121297.6
ASPA	180	177	3.07480905752e-11	0.0095	-7.074	1.5998	ENSG00000108381.10
MAL2	180	177	1.87474878741e-09	0.0695	7.383	1.1805	ENSG00000147676.13
