	num_samples	pval_counts	pval	pval_std	fc	fc_std	gene_id
UBAP1L	50	49	3.27260819708e-08	0.0715	-3.6598	0.879	ENSG00000246922.8
CHRD	50	49	1.21563810789e-08	0.0015	-3.7581	1.2135	ENSG00000090539.15
NKTR	50	48	6.99521353014e-08	0.016	-2.4125	0.6686	ENSG00000114857.17
AGAP5	50	45	4.29491206632e-06	0.0094	-2.7615	0.6962	ENSG00000172650.12
CCNL2	50	45	4.10509470936e-06	0.0552	-2.861	0.7268	ENSG00000221978.11
JMJD7-PLA2G4B	50	44	1.32910641496e-07	0.0337	-3.007	1.3711	ENSG00000168970.20
GDF2	50	44	1.37315189952e-09	0.1256	-7.021	2.1394	ENSG00000263761.2
LENG8	50	44	2.73416063338e-08	0.0105	-2.6958	0.6211	ENSG00000167615.16
BMPER	50	43	1.67009092656e-07	0.1563	-5.0617	1.9482	ENSG00000164619.8
ARGLU1	50	43	3.60847263376e-06	0.0586	-2.04	0.55	ENSG00000134884.13
CLEC4M	50	43	7.18791017023e-06	0.1762	-5.7222	1.8293	ENSG00000104938.16
TAF1C	50	43	4.68862673564e-07	0.0132	-1.9479	0.4817	ENSG00000103168.16
PRSS53	50	43	1.84945345396e-06	0.0027	-5.0221	1.2186	ENSG00000151006.7
SGK494	50	43	5.31485573161e-07	0.0033	-3.252	1.0934	ENSG00000167524.14
KRT13	50	43	8.42346975975e-07	0.1041	-6.1574	1.5519	ENSG00000171401.14
NPIPB5	50	42	3.86865807533e-05	0.129	-3.2552	0.7248	ENSG00000243716.10
FAM65C	50	42	1.88204311237e-06	0.0419	-4.6347	1.5832	ENSG00000042062.11
TIAF1	50	42	4.12361576849e-05	0.009	-3.3713	0.8037	ENSG00000221995.5
MAPK8IP3	50	42	1.12672318848e-06	0.0906	-2.7221	0.7415	ENSG00000138834.12
SLX1A-SULT1A3	50	42	4.06595261756e-06	0.0065	-3.0012	0.7092	ENSG00000213599.9
AGAP6	50	42	2.23509201201e-05	0.0065	-2.8709	0.6692	ENSG00000204149.9
RP5-966M1.6	50	42	1.54488337401e-05	0.0327	-4.085	1.5578	ENSG00000243696.4
KIAA0895L	50	41	1.70556330766e-06	0.1306	-2.8461	0.7808	ENSG00000196123.12
FAM193B	50	41	2.07000547616e-05	0.1232	-2.4277	0.7112	ENSG00000146067.15
NXF3	50	41	2.46423014962e-05	0.1815	-5.3064	1.5276	ENSG00000147206.16
RIC3	50	39	6.76799240246e-08	0.1918	-5.5398	2.1404	ENSG00000166405.14
RPS6KA6	50	39	2.7790534689e-06	0.2288	-5.3952	2.4812	ENSG00000072133.10
FAM156A	50	39	2.44189144675e-06	0.0197	-2.6012	1.0731	ENSG00000268350.7
HNRNPH1	50	38	2.23297036575e-05	0.067	-1.798	0.592	ENSG00000169045.17
RTEL1-TNFRSF6B	50	38	4.05126561143e-05	0.1397	-2.5917	0.892	ENSG00000026036.20
DBH	50	38	4.03319539069e-06	0.1247	-4.5369	1.8828	ENSG00000123454.10
KRT4	50	38	6.95947149464e-05	0.0153	-5.2712	1.2215	ENSG00000170477.12
AHSA2	50	37	2.94872907684e-05	0.0163	-2.7612	0.7572	ENSG00000173209.22
IGF2	50	37	5.11030645124e-11	0.2191	-2.7509	3.8106	ENSG00000167244.17
CLEC4G	50	37	5.31402535534e-05	0.1795	-5.1904	1.8561	ENSG00000182566.12
HHIP	50	37	8.55677524877e-08	0.1744	-5.6887	2.7605	ENSG00000164161.9
CCBE1	50	37	1.26968521478e-07	0.2174	-5.6857	2.1933	ENSG00000183287.13
KRT5	50	37	4.54652366723e-06	0.0982	-5.1064	1.968	ENSG00000186081.11
RP11-192H23.4	50	37	0.00022027449472	0.0209	-3.1207	0.7109	ENSG00000258472.8
RSPO3	50	37	9.61036056754e-06	0.1562	-4.7243	2.4056	ENSG00000146374.13
HAMP	50	37	1.44966834421e-05	0.1971	-5.5168	2.4653	ENSG00000105697.7
KRT14	50	36	0.000207754021782	0.0774	-5.0843	1.2493	ENSG00000186847.5
CXCL14	50	36	1.73125579521e-06	0.1896	-5.7425	2.3195	ENSG00000145824.12
CREBZF	50	36	1.83432615783e-05	0.0265	-1.7469	0.5638	ENSG00000137504.13
COLEC10	50	36	3.63373241282e-06	0.1893	-4.6637	1.8968	ENSG00000184374.2
ASPG	50	36	1.08816510005e-07	0.1684	-4.0757	3.3742	ENSG00000166183.15
INS-IGF2	50	36	0.000186956349304	0.2161	-5.0561	2.2836	ENSG00000129965.13
PNISR	50	36	1.0304496948e-05	0.0453	-2.603	0.6609	ENSG00000132424.14
ADAMTS13	50	36	2.59176589085e-05	0.1074	-3.8566	1.1013	ENSG00000160323.18
VPS72	50	36	1.9509002029e-05	0.102	1.3672	0.5995	ENSG00000163159.11
ATG16L2	50	36	3.60312447893e-05	0.1589	-2.6792	0.8263	ENSG00000168010.10
MT1G	50	36	6.54306576831e-06	0.1949	-5.3542	2.3197	ENSG00000125144.13
ANKRD23	50	36	5.9593069906e-05	0.082	-2.6666	0.8259	ENSG00000163126.14
KRT6A	50	35	0.00017743265409	0.1437	-5.1176	1.6014	ENSG00000205420.10
THBS4	50	35	4.42689819672e-08	0.1544	4.143	2.29	ENSG00000113296.14
APOA1BP	50	35	1.90001472047e-05	0.0722	1.5377	0.6985	ENSG00000163382.11
GOLGA8N	50	35	1.19511163787e-05	0.0422	-2.8334	1.1234	ENSG00000232653.8
PROM1	50	35	2.04080944948e-05	0.1833	-4.8086	2.9698	ENSG00000007062.11
ALLC	50	35	0.000107109016436	0.145	-4.8672	1.4887	ENSG00000151360.9
STAB2	50	35	3.76500081193e-05	0.2284	-5.2968	1.9171	ENSG00000136011.14
CCDC84	50	35	6.88114957168e-05	0.1355	-2.3154	0.7149	ENSG00000186166.8
H3F3A	50	35	1.03970088064e-05	0.1279	1.3171	0.6662	ENSG00000163041.9
NPIPB4	50	35	4.69005490286e-05	0.1305	-3.2628	0.8323	ENSG00000185864.16
AKAP17A	50	35	0.000290144553804	0.0067	-2.1691	0.3937	ENSG00000197976.10
EME2	50	35	7.87813637653e-05	0.0655	-2.2721	0.7343	ENSG00000197774.12
RP11-347C12.1	50	35	9.00829160455e-05	0.0168	-4.0862	1.1793	ENSG00000198064.13
SYT9	50	35	8.21465606526e-08	0.2366	-6.1315	3.22	ENSG00000170743.16
CNDP1	50	35	4.92579909074e-07	0.2904	-5.5786	2.7418	ENSG00000150656.14
SLC5A1	50	35	5.39711188111e-05	0.2971	-4.6955	2.4434	ENSG00000100170.9
PROM2	50	34	0.000166778431281	0.2037	-3.9617	1.7088	ENSG00000155066.15
AGER	50	34	0.000216536893137	0.1044	-2.8042	1.0217	ENSG00000204305.13
KCNAB3	50	34	0.000111454036675	0.0237	-3.6341	1.0505	ENSG00000170049.9
PLIN4	50	34	2.85961593284e-05	0.1478	-3.2735	1.666	ENSG00000167676.4
DNHD1	50	34	0.000101262251764	0.0193	-3.1086	0.9677	ENSG00000179532.12
SPRR3	50	34	0.00038894075393	0.0588	-4.9437	1.5174	ENSG00000163209.14
ANGPTL6	50	34	6.84832765208e-05	0.1985	-3.1844	1.9667	ENSG00000130812.10
LY6G5B	50	34	6.48407697889e-06	0.0164	-3.1437	0.977	ENSG00000240053.8
POFUT2	50	34	0.000249456404453	0.1113	-1.6134	0.5292	ENSG00000186866.16
CENPT	50	34	0.000232811801048	0.1548	-1.8873	0.5844	ENSG00000102901.12
HAND2	50	33	1.26475559904e-05	0.1521	-4.2361	2.3829	ENSG00000164107.8
PTH1R	50	33	3.94733572796e-05	0.1451	-4.3341	1.5739	ENSG00000160801.13
NPIPB11	50	33	0.000312947772009	0.0392	-3.3935	0.7811	ENSG00000254206.5
SAMD5	50	33	2.91291887657e-08	0.2763	-3.8816	2.349	ENSG00000203727.3
KRTCAP3	50	33	3.72830704532e-05	0.3068	-3.154	2.7436	ENSG00000157992.12
GOLGA8B	50	33	0.000100303486117	0.0472	-2.9523	0.8961	ENSG00000215252.11
IGLON5	50	33	4.26172460991e-05	0.226	-3.6465	2.1482	ENSG00000142549.9
WDR27	50	33	8.04653692448e-05	0.0098	-2.5767	0.7153	ENSG00000184465.15
PRIMA1	50	33	0.000474420244667	0.1103	-4.9499	1.3947	ENSG00000175785.12
PAXBP1	50	33	0.000232333528882	0.1159	-1.801	0.5222	ENSG00000159086.14
YJEFN3	50	32	0.000110214925939	0.1282	-3.6447	1.258	ENSG00000250067.11
NFKBIZ	50	32	5.5852844559e-05	0.0612	-3.1889	0.9993	ENSG00000144802.11
GABBR1	50	32	7.1055085021e-05	0.1653	-3.4982	1.4867	ENSG00000204681.10
CD1D	50	32	2.22193845931e-05	0.2803	-2.7472	1.5995	ENSG00000158473.6
ADCY1	50	32	8.27050008834e-06	0.2461	-4.636	2.0873	ENSG00000164742.14
C14orf180	50	32	0.000444035116774	0.1992	-4.5198	2.2643	ENSG00000184601.10
ZNF662	50	32	6.76039458687e-05	0.2023	-2.6836	1.494	ENSG00000182983.14
RBM6	50	32	0.000541162237313	0.1017	-2.2078	0.4551	ENSG00000004534.14
KIAA1875	50	32	0.00024006428872	0.1089	-2.7579	1.4101	ENSG00000179698.13
PIGC	50	32	4.71477902992e-05	0.1051	1.355	0.5372	ENSG00000135845.9
CTB-50L17.14	50	32	0.000363408078197	0.1248	-3.2742	1.5752	ENSG00000267385.1
MUC6	50	32	0.000130053040734	0.1463	-5.028	2.9355	ENSG00000184956.15
SEC31B	50	32	0.000232439392038	0.0564	-3.4134	1.1537	ENSG00000075826.16
FAM229A	50	32	0.000195236960952	0.046	-3.1695	0.8481	ENSG00000225828.1
PLA2G4B	50	32	0.000446607740992	0.0525	-3.0366	1.1272	ENSG00000243708.8
ZDBF2	50	32	3.88067933415e-06	0.2303	-2.9582	1.6919	ENSG00000204186.7
RBM33	50	32	0.000224735219571	0.0162	-1.616	0.3383	ENSG00000184863.10
PABPC1L	50	32	2.51616895216e-05	0.049	-3.0896	1.0538	ENSG00000101104.12
TRPV6	50	31	0.000298245848942	0.1805	-4.8954	2.0516	ENSG00000165125.17
RSRP1	50	31	0.000195146013865	0.0367	-2.7929	0.7521	ENSG00000117616.17
SLC25A37	50	31	0.000300073872225	0.0305	-2.6479	0.7824	ENSG00000147454.13
PCDH9	50	31	0.000222948643923	0.2121	-3.7567	1.669	ENSG00000184226.14
MZF1	50	31	0.000286662722004	0.026	-2.1361	0.5331	ENSG00000099326.8
CCDC64B	50	31	0.000236153759472	0.2182	-4.7209	2.1798	ENSG00000162069.14
PROSER1	50	30	0.00026658095537	0.2434	-1.254	0.678	ENSG00000120685.19
PILRB	50	30	0.000373847587559	0.016	-2.9372	0.9616	ENSG00000121716.18
CHST4	50	30	9.34207530183e-05	0.2864	-4.989	2.9624	ENSG00000140835.9
SFRP5	50	30	0.000121381440066	0.2627	-5.108	2.5226	ENSG00000120057.4
SUMO2	50	30	0.000114678682702	0.0426	1.2776	0.4265	ENSG00000188612.11
ZNF276	50	30	0.000377641016059	0.0113	-1.9246	0.4739	ENSG00000158805.11
ECM1	50	29	0.000113359509554	0.1843	-3.1064	1.3854	ENSG00000143369.14
DES	50	29	0.000149444767112	0.1145	-4.6531	1.8156	ENSG00000175084.11
HMBOX1	50	29	0.000152842706144	0.1813	-1.3415	0.5945	ENSG00000147421.17
MUM1L1	50	29	0.000133642269797	0.3203	-4.2258	2.7102	ENSG00000157502.12
FAM20B	50	29	5.54539527607e-05	0.2459	1.2646	0.6549	ENSG00000116199.11
MDK	50	29	0.000219418005644	0.2039	4.0505	1.8739	ENSG00000110492.15
C17orf85	50	29	0.000137578793005	0.1693	-1.2015	0.4934	ENSG00000074356.16
RP11-574K11.31	50	29	0.000304754096007	0.1115	-2.3002	0.8581	ENSG00000272916.5
ZNF700	50	29	0.000474133309245	0.0528	-1.8654	0.5939	ENSG00000196757.7
RNF165	50	29	0.000532696357825	0.0847	-3.8867	1.4657	ENSG00000141622.13
RGS11	50	29	0.000328525530698	0.191	-4.0606	1.8942	ENSG00000076344.15
CNTN3	50	29	5.82136293978e-06	0.2961	-2.9948	3.0479	ENSG00000113805.8
CHKB	50	29	0.000474311682161	0.1198	-1.6563	0.6824	ENSG00000100288.19
KBTBD11	50	29	2.80150951705e-06	0.3128	-3.807	2.2078	ENSG00000176595.3
LTK	50	29	0.000634196381268	0.2105	-3.4561	1.5384	ENSG00000062524.15
GCKR	50	29	0.000122584345447	0.1051	-2.5513	2.4386	ENSG00000084734.8
KLHL17	50	29	0.000251157995897	0.1359	-2.003	0.6205	ENSG00000187961.13
IKBKB	50	29	0.000145018273855	0.0977	-1.1	0.5769	ENSG00000104365.13
OTUD3	50	29	0.000353760526285	0.1596	-2.2338	0.7855	ENSG00000169914.5
FAM180A	50	29	0.00019125645513	0.2402	-3.9872	2.2905	ENSG00000189320.8
BCO2	50	29	0.000382873459866	0.1715	-4.1753	1.6263	ENSG00000197580.11
UBE2G2	50	28	0.000221288220294	0.0663	-1.1612	0.4486	ENSG00000184787.18
NTF3	50	28	0.00056410135439	0.185	-3.9982	1.5873	ENSG00000185652.11
TTN	50	28	0.000182665919474	0.085	-3.1994	1.339	ENSG00000155657.23
