	num_samples	pval_counts	pval	pval_std	fc	fc_std	gene_id
RORA	102	102	9.34546988939e-21	0.0	-6.3849	1.3814	ENSG00000069667.15
CES4A	102	102	2.82315747105e-21	0.0	-6.9238	2.0597	ENSG00000172824.14
KLF8	102	102	1.37001812842e-21	0.0	-5.5732	1.6956	ENSG00000102349.14
CYP3A5	102	102	9.92260914464e-14	0.0	-7.1364	1.3695	ENSG00000106258.13
ZNF273	102	102	3.64892046236e-09	0.0001	-4.8971	0.8384	ENSG00000198039.11
PLAGL1	102	102	1.65546881814e-24	0.0	-5.3365	1.2112	ENSG00000118495.18
C3orf52	102	102	2.60448162298e-10	0.0001	-4.907	1.261	ENSG00000114529.12
CYP4F12	102	101	2.51960542603e-20	0.0002	-8.9741	2.6148	ENSG00000186204.14
ACADL	102	101	1.72828739581e-09	0.0002	-7.0314	1.6231	ENSG00000115361.7
FGFR2	102	101	4.4046358846e-28	0.0166	-6.7542	2.6734	ENSG00000066468.20
PLOD3	102	101	7.70232994663e-19	0.0573	4.0599	0.8826	ENSG00000106397.11
LRIT2	102	101	1.42939087168e-07	0.0012	-7.2126	1.3648	ENSG00000204033.9
OVCH2	102	101	3.29158026121e-06	0.0004	-7.1272	1.0301	ENSG00000183378.11
EXPH5	102	101	2.88024167958e-20	0.0001	-7.0599	2.0406	ENSG00000110723.11
LAMB4	102	101	7.55888444467e-14	0.0238	-7.8435	1.7744	ENSG00000091128.12
ZBTB16	102	101	1.47985848374e-09	0.0202	-7.698	1.5609	ENSG00000109906.13
SLC35B2	102	101	3.87820322641e-19	0.0065	2.6544	0.7039	ENSG00000157593.16
WNT2B	102	101	2.11542443666e-11	0.0181	-4.3497	0.9426	ENSG00000134245.17
SOX10	102	100	9.73141289733e-09	0.0555	4.3204	0.8465	ENSG00000100146.16
KLF4	102	100	2.8567491329e-17	0.0051	-5.4381	1.4584	ENSG00000136826.14
MAGI1	102	100	2.17870500669e-34	0.0025	-3.9416	1.4711	ENSG00000151276.23
LYPD6B	102	100	3.62383584057e-18	0.0006	-7.5897	2.3979	ENSG00000150556.16
TNNT2	102	100	2.93080983192e-15	0.0063	-7.5151	2.276	ENSG00000118194.18
KRT77	102	100	6.26403648858e-21	0.0359	-11.1288	3.2339	ENSG00000189182.9
AP1S2	102	100	2.20669894657e-16	0.0112	4.0551	1.0793	ENSG00000182287.13
PAX3	102	100	2.45619816066e-10	0.0823	4.1207	1.0801	ENSG00000135903.18
DLG2	102	100	2.65088125344e-15	0.0871	-6.5391	1.5684	ENSG00000150672.16
PLCH2	102	100	3.37280989063e-24	0.0003	-7.0814	2.0262	ENSG00000149527.17
TNFRSF25	102	99	1.74504313903e-15	0.0038	-5.5125	1.3481	ENSG00000215788.9
SDC3	102	99	4.00817349473e-15	0.0029	4.1468	0.9923	ENSG00000162512.15
ATG16L2	102	99	2.41774207874e-09	0.0087	-3.9328	0.9753	ENSG00000168010.10
GCSAM	102	99	1.48092255592e-08	0.0052	-5.2702	1.1722	ENSG00000174500.12
ADGRF2	102	99	2.58720711261e-10	0.0023	-7.5386	2.0214	ENSG00000164393.8
EGFR	102	99	2.69439452095e-42	0.053	-5.7857	2.1744	ENSG00000146648.15
CLDN8	102	99	2.36142032596e-09	0.018	-8.1147	1.8174	ENSG00000156284.5
ETV5	102	99	3.96381192407e-12	0.0012	3.8289	0.7844	ENSG00000244405.7
ARPC1B	102	99	9.08678168732e-09	0.0062	3.4885	0.8128	ENSG00000130429.12
GABRE	102	99	1.10815214155e-25	0.0197	-6.8319	1.9005	ENSG00000102287.16
FAM153A	102	99	2.82495059316e-07	0.001	-6.8672	1.418	ENSG00000170074.19
RIC3	102	99	2.29560663242e-19	0.0188	-6.6298	2.1668	ENSG00000166405.14
ARMC9	102	99	3.86639203428e-11	0.0391	3.3316	0.9058	ENSG00000135931.17
ST3GAL4	102	99	1.69701222891e-09	0.0038	3.3376	0.8726	ENSG00000110080.18
NLRP1	102	99	1.99741650753e-18	0.03	-4.0787	1.1923	ENSG00000091592.15
BCL6	102	99	4.82036603551e-07	0.0041	-3.7615	0.8473	ENSG00000113916.17
KRT73	102	99	2.07662915546e-09	0.0092	-8.4174	1.6494	ENSG00000186049.8
SCEL	102	98	1.74788204797e-22	0.0062	-8.5519	3.2747	ENSG00000136155.16
TUBB4A	102	98	3.56678595918e-10	0.0705	5.3065	1.862	ENSG00000104833.10
EPB41L4B	102	98	6.1247430792e-23	0.0096	-5.1764	2.3798	ENSG00000095203.14
HLF	102	98	1.61430919824e-15	0.0817	-5.3575	1.6034	ENSG00000108924.13
TRPV6	102	98	3.91500980332e-15	0.023	-7.3017	2.1685	ENSG00000165125.17
CDHR1	102	98	7.5344002613e-16	0.0049	-7.824	2.6571	ENSG00000148600.14
CHP2	102	98	4.05536902127e-17	0.0065	-10.0455	2.9082	ENSG00000166869.2
ALS2CL	102	98	7.29676400888e-18	0.0295	-5.4364	1.7774	ENSG00000178038.16
RNF217	102	98	6.63052532108e-14	0.0886	-3.1231	1.5816	ENSG00000146373.16
RSPO1	102	98	7.72559501326e-12	0.0871	-5.545	1.9294	ENSG00000169218.13
C1QTNF7	102	98	2.642954085e-08	0.0459	-5.9095	1.6591	ENSG00000163145.12
