query	_id	_score	entrezgene	name	notfound	summary	symbol
RASSF9	9182	93.49018	9182.0	Ras association domain family member 9		The protein encoded by this gene localizes to perinuclear endosomes. This protein associates with peptidylglycine alpha-amidating monooxygenase, and may be involved with the trafficking of this enzyme through secretory or endosomal pathways.	RASSF9
C8orf88	100127983	116.50976	100127983.0	chromosome 8 open reading frame 88			C8orf88
TAPT1	202018	94.57353	202018.0	transmembrane anterior posterior transformation 1		This gene encodes a highly conserved protein that localizes to the centrosome and/or ciliary basal body. Mutations in this gene disrupt Golgi morphology and trafficking and normal primary cilium formation and these mutations are congenitally manifested by severe undermineralization of the intra-uterine skeleton. A mutation in the mouse ortholog of this gene results in homeotic, posterior-to-anterior transformations of the axial skeleton which are similar to the phenotype of mouse homeobox C8 gene mutants. In mouse, this gene is thought to function downstream of homeobox C8 to transduce extracellular patterning information during axial skeleton development.	TAPT1
KCTD16	57528	95.026665	57528.0	potassium channel tetramerization domain containing 16			KCTD16
PAPSS2	9060	96.95654	9060.0	3'-phosphoadenosine 5'-phosphosulfate synthase 2		Sulfation is a common modification of endogenous (lipids, proteins, and carbohydrates) and exogenous (xenobiotics and drugs) compounds. In mammals, the sulfate source is 3'-phosphoadenosine 5'-phosphosulfate (PAPS), created from ATP and inorganic sulfate. Two different tissue isoforms encoded by different genes synthesize PAPS. This gene encodes one of the two PAPS synthetases. Defects in this gene cause the Pakistani type of spondyloepimetaphyseal dysplasia. Two alternatively spliced transcript variants that encode different isoforms have been described for this gene.	PAPSS2
RPS6KA5	9252	94.81192	9252.0	ribosomal protein S6 kinase A5			RPS6KA5
PLA2R1	22925	92.94292	22925.0	phospholipase A2 receptor 1		This gene represents a phospholipase A2 receptor. The encoded protein likely exists as both a transmembrane form and a soluble form. The transmembrane receptor may play a role in clearance of phospholipase A2, thereby inhibiting its action. Polymorphisms at this locus have been associated with susceptibility to idiopathic membranous nephropathy. Alternatively spliced transcript variants encoding different isoforms have been identified.	PLA2R1
CSGALNACT1	55790	95.52683	55790.0	chondroitin sulfate N-acetylgalactosaminyltransferase 1			CSGALNACT1
GPC3	2719	94.55887	2719.0	glypican 3		Cell surface heparan sulfate proteoglycans are composed of a membrane-associated protein core substituted with a variable number of heparan sulfate chains. Members of the glypican-related integral membrane proteoglycan family (GRIPS) contain a core protein anchored to the cytoplasmic membrane via a glycosyl phosphatidylinositol linkage. These proteins may play a role in the control of cell division and growth regulation. The protein encoded by this gene can bind to and inhibit the dipeptidyl peptidase activity of CD26, and it can induce apoptosis in certain cell types. Deletion mutations in this gene are associated with Simpson-Golabi-Behmel syndrome, also known as Simpson dysmorphia syndrome. Alternative splicing results in multiple transcript variants.	GPC3
MMRN1	22915	97.58234	22915.0	multimerin 1		Multimerin is a massive, soluble protein found in platelets and in the endothelium of blood vessels.  It is comprised of subunits linked by interchain disulfide bonds to form large, variably sized homomultimers.  Multimerin is a factor V/Va-binding protein and may function as a carrier protein for platelet factor V.  It may also have functions as an extracellular matrix or adhesive protein.  Recently, patients with an unusual autosomal-dominant bleeding disorder (factor V Quebec) were found to have a deficiency of platelet multimerin.	MMRN1
ADGRA3	166647	96.33891	166647.0	adhesion G protein-coupled receptor A3		This gene encodes a member of the G protein-coupled receptor superfamily. This membrane protein may play a role in tumor angiogenesis through its interaction with the human homolog of the Drosophila disc large tumor suppressor gene. This gene is mapped to a candidate region of chromosome 4 which may be associated with bipolar disorder and schizophrenia.	ADGRA3
DLG2	1740	95.026665	1740.0	discs large MAGUK scaffold protein 2		This gene encodes a member of the membrane-associated guanylate kinase (MAGUK) family. The encoded protein forms a heterodimer with a related family member that may interact at postsynaptic sites to form a multimeric scaffold for the clustering of receptors, ion channels, and associated signaling proteins. Multiple transcript variants encoding different isoforms have been found for this gene. Additional transcript variants have been described, but their full-length nature is not known.	DLG2
IPCEF1	26034	95.0504	26034.0	interaction protein for cytohesin exchange factors 1			IPCEF1
SLC6A15	55117	91.72656	55117.0	solute carrier family 6 member 15		This gene encodes a member of the solute carrier family 6 protein family which transports neutral amino acids. The encoded protein is thought to play a role in neuronal amino acid transport (PMID: 16185194) and may be associated with major depression (PMID: 21521612). Multiple transcript variants encoding different isoforms have been found for this gene.	SLC6A15
PID1	55022	93.48905	55022.0	phosphotyrosine interaction domain containing 1			PID1
TFF3	7033	99.50245	7033.0	trefoil factor 3		Members of the trefoil family are characterized by having at least one copy of the trefoil motif, a 40-amino acid domain that contains three conserved disulfides. They are stable secretory proteins expressed in gastrointestinal mucosa. Their functions are not defined, but they may protect the mucosa from insults, stabilize the mucus layer and affect healing of the epithelium. This gene is expressed in goblet cells of the intestines and colon. This gene and two other related trefoil family member genes are found in a cluster on chromosome 21.	TFF3
RASSF6	166824	93.92523	166824.0	Ras association domain family member 6		This gene encodes a member of the Ras-association domain family (RASSF). Members of this family form the core of a highly conserved tumor suppressor network, the Salvador-Warts-Hippo (SWH) pathway. The protein encoded by this gene is a Ras effector protein that induces apoptosis. A genomic region containing this gene has been linked to susceptibility to viral bronchiolitis. Alternative splicing results in multiple transcript variants and protein isoforms.	RASSF6
LYVE1	10894	94.12676	10894.0	lymphatic vessel endothelial hyaluronan receptor 1		This gene encodes a type I integral membrane glycoprotein. The encoded protein acts as a receptor and binds to both soluble and immobilized hyaluronan. This protein may function in lymphatic hyaluronan transport and have a role in tumor metastasis.	LYVE1
ABCA9	10350	97.92721	10350.0	ATP binding cassette subfamily A member 9		This gene is a member of the superfamily of ATP-binding cassette (ABC) transporters and the encoded protein contains two transmembrane domains and two nucleotide binding folds. ABC proteins transport various molecules across extra- and intracellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, and White). This gene is a member of the ABC1 subfamily and is clustered with four other ABC1 family members on chromosome 17q24. Transcriptional expression of this gene is induced during monocyte differentiation into macrophages and is suppressed by cholesterol import.	ABCA9
RYR2	6262	96.93536	6262.0	ryanodine receptor 2		This gene encodes a ryanodine receptor found in cardiac muscle sarcoplasmic reticulum. The encoded protein is one of the components of a calcium channel, composed of a tetramer of the ryanodine receptor proteins and a tetramer of FK506 binding protein 1B proteins, that supplies calcium to cardiac muscle. Mutations in this gene are associated with stress-induced polymorphic ventricular tachycardia and arrhythmogenic right ventricular dysplasia.	RYR2
UGT2B11	10720	116.52714	10720.0	UDP glucuronosyltransferase family 2 member B11			UGT2B11
KIZ	55857	94.34509	55857.0	kizuna centrosomal protein		The protein encoded by this gene localizes to centrosomes, strengthening and stabilizing the pericentriolar region prior to spindle formation. The encoded protein usually remains with the mother centrosome after centrosomal duplication. Sevral transcript variants encoding different isoforms have been found for this gene.	KIZ
ADH1B	125	113.373924	125.0	alcohol dehydrogenase 1B (class I), beta polypeptide		The protein encoded by this gene is a member of the alcohol dehydrogenase family. Members of this enzyme family metabolize a wide variety of substrates, including ethanol, retinol, other aliphatic alcohols, hydroxysteroids, and lipid peroxidation products. This encoded protein, consisting of several homo- and heterodimers of alpha, beta, and gamma subunits, exhibits high activity for ethanol oxidation and plays a major role in ethanol catabolism. Three genes encoding alpha, beta and gamma subunits are tandemly organized in a genomic segment as a gene cluster. Two transcript variants encoding different isoforms have been found for this gene.	ADH1B
CLCNKB	1188	111.14438	1188.0	chloride voltage-gated channel Kb		The protein encoded by this gene is a member of the family of voltage-gated chloride channels. Chloride channels have several functions, including the regulation of cell volume, membrane potential stabilization, signal transduction and transepithelial transport. This gene is expressed predominantly in the kidney and may be important for renal salt reabsorption. Mutations in this gene are associated with autosomal recessive Bartter syndrome type 3 (BS3). Alternatively spliced transcript variants encoding different isoforms have been found for this gene.	CLCNKB
