query	_id	_score	entrezgene	name	notfound	summary	symbol
CDX1	1044	94.69105	1044.0	caudal type homeobox 1		This gene is a member of the caudal-related homeobox transcription factor gene family. The encoded DNA-binding protein regulates intestine-specific gene expression and enterocyte differentiation. It has been shown to induce expression of the intestinal alkaline phosphatase gene, and inhibit beta-catenin/T-cell factor transcriptional activity.	CDX1
CDX2	1045	99.86449	1045.0	caudal type homeobox 2		This gene is a member of the caudal-related homeobox transcription factor gene family. The encoded protein is a major regulator of intestine-specific genes involved in cell growth an differentiation. This protein also plays a role in early embryonic development of the intestinal tract. Aberrant expression of this gene is associated with intestinal inflammation and tumorigenesis.	CDX2
RB1	5925	93.09276	5925.0	RB transcriptional corepressor 1		The protein encoded by this gene is a negative regulator of the cell cycle and was the first tumor suppressor gene found. The encoded protein also stabilizes constitutive heterochromatin to maintain the overall chromatin structure. The active, hypophosphorylated form of the protein binds transcription factor E2F1. Defects in this gene are a cause of childhood cancer retinoblastoma (RB), bladder cancer, and osteogenic sarcoma.	RB1
CAPRIN1	4076	93.11186	4076.0	cell cycle associated protein 1			CAPRIN1
DCK	1633	92.763245	1633.0	deoxycytidine kinase		Deoxycytidine kinase (DCK) is required for the phosphorylation of several deoxyribonucleosides and their nucleoside analogs.  Deficiency of DCK is associated with resistance to antiviral and anticancer chemotherapeutic agents. Conversely, increased deoxycytidine kinase activity is associated with increased activation of these compounds to cytotoxic nucleoside triphosphate derivatives.  DCK is clinically important because of its relationship to drug resistance and sensitivity.	DCK
GMCL1	64395	95.630974	64395.0	germ cell-less, spermatogenesis associated 1		This gene encodes a nuclear envelope protein that appears to be involved in spermatogenesis, either directly or by influencing genes that play a more direct role in the process. This multi-exon locus is the homolog of the mouse and drosophila germ cell-less gene but the human genome also contains a single-exon locus on chromosome 5 that contains an open reading frame capable of encoding a highly-related protein.	GMCL1
ONECUT2	9480	94.05	9480.0	one cut homeobox 2		This gene encodes a member of the onecut family of transcription factors, which are characterized by a cut domain and an atypical homeodomain. The protein binds to specific DNA sequences and stimulates expression of target genes, including genes involved in melanocyte and hepatocyte differentiation.	ONECUT2
BMP8A	353500	104.417435	353500.0	bone morphogenetic protein 8a		This gene encodes a secreted ligand of the TGF-beta (transforming growth factor-beta) superfamily of proteins. Ligands of this family bind various TGF-beta receptors leading to recruitment and activation of SMAD family transcription factors that regulate gene expression. The encoded preproprotein is proteolytically processed to generate each subunit of the disulfide-linked homodimer. This protein may play a role in development of the reproductive system. This gene may have arose from a gene duplication event and its gene duplicate is also present on chromosome 1.	BMP8A
TRIM29	23650	95.164536	23650.0	tripartite motif containing 29		The protein encoded by this gene belongs to the TRIM protein family. It has multiple zinc finger motifs and a leucine zipper motif. It has been proposed to form homo- or heterodimers which are involved in nucleic acid binding. Thus, it may act as a transcriptional regulatory factor involved in carcinogenesis and/or differentiation. It may also function in the suppression of radiosensitivity since it is associated with ataxia telangiectasia phenotype.	TRIM29
CTSA	5476	95.905594	5476.0	cathepsin A		This gene encodes a member of the peptidase S10 family of serine carboxypeptidases. Alternative splicing results in multiple transcript variants, at least one of which encodes a preproprotein that is proteolytically processed to generate two chains that comprise the heterodimeric active enzyme. This enzyme possesses deamidase, esterase and carboxypeptidase activities and acts as a scaffold in the lysosomal multienzyme complex. Mutations in this gene are associated with galactosialidosis.	CTSA
RAE1	8480	96.14507	8480.0	ribonucleic acid export 1		Mutations in the Schizosaccharomyces pombe Rae1 and Saccharomyces cerevisiae Gle2 genes have been shown to result in accumulation of poly(A)-containing mRNA in the nucleus, suggesting that the encoded proteins are involved in RNA export. The protein encoded by this gene is a homolog of yeast Rae1. It contains four WD40 motifs, and has been shown to localize to distinct foci in the nucleoplasm, to the nuclear rim, and to meshwork-like structures throughout the cytoplasm. This gene is thought to be involved in nucleocytoplasmic transport, and in directly or indirectly attaching cytoplasmic mRNPs to the cytoskeleton. Alternatively spliced transcript variants encoding the same protein have been found for this gene.	RAE1
FBXL18	80028	94.91569	80028.0	F-box and leucine rich repeat protein 18		The protein encoded by this gene is a member of a family of proteins that contain an approximately 40-amino acid F-box motif. This motif is important for interaction with SKP1 and for targeting some proteins for degradation. The encoded protein has been shown to control the cellular level of FBXL7, a protein that induces mitotic arrest, by targeting it for polyubiquitylation and proteasomal degradation. Members of the F-box protein family, such as FBXL18, are characterized by an approximately 40-amino acid F-box motif. F-box proteins interact with SKP1 through the F box, and they interact with ubiquitination targets through other protein interaction domains.	FBXL18
MUC17	140453	102.38651	140453.0	mucin 17, cell surface associated		The protein encoded by this gene is a membrane-bound mucin that provides protection to gut epithelial cells. The encoded protein contains about 60 tandem repeats, with each repeat being around 60 aa. N-glycosylation enables the encoded protein to localize on the cell surface, while the C-terminus interacts with the scaffold protein PDZ domain containing 1 (PDZK1). Two transcript variants, one protein-coding and the other non-protein coding, have been found for this gene.	MUC17
PRAP1	118471	101.25423	118471.0	proline rich acidic protein 1			PRAP1
SERPINB5	5268	94.050766	5268.0	serpin family B member 5			SERPINB5
TWF1	5756	93.85239	5756.0	twinfilin actin binding protein 1		This gene encodes twinfilin, an actin monomer-binding protein conserved from yeast to mammals. Studies of the mouse counterpart suggest that this protein may be an actin monomer-binding protein, and its localization to cortical G-actin-rich structures may be regulated by the small GTPase RAC1.	TWF1
FAT1	2195	94.257	2195.0	FAT atypical cadherin 1		This gene is an ortholog of the Drosophila fat gene, which encodes a tumor suppressor essential for controlling cell proliferation during Drosophila development. The gene product is a member of the cadherin superfamily, a group of integral membrane proteins characterized by the presence of cadherin-type repeats. In addition to containing 34 tandem cadherin-type repeats, the gene product has five epidermal growth factor (EGF)-like repeats and one laminin A-G domain. This gene is expressed at high levels in a number of fetal epithelia. Its product probably functions as an adhesion molecule and/or signaling receptor, and is likely to be important in developmental processes and cell communication. Transcript variants derived from alternative splicing and/or alternative promoter usage exist, but they have not been fully described.	FAT1
ZBTB20	26137	93.27743	26137.0	zinc finger and BTB domain containing 20			ZBTB20
PABPC1	26986	96.44029	26986.0	poly(A) binding protein cytoplasmic 1		This gene encodes a poly(A) binding protein. The protein shuttles between the nucleus and cytoplasm and binds to the 3' poly(A) tail of eukaryotic messenger RNAs via RNA-recognition motifs. The binding of this protein to poly(A) promotes ribosome recruitment and translation initiation; it is also required for poly(A) shortening which is the first step in mRNA decay. The gene is part of a small gene family including three protein-coding genes and several pseudogenes.	PABPC1
PDS5A	23244	95.62866	23244.0	PDS5 cohesin associated factor A		The protein encoded by this gene binds to the cohesin complex and associates with chromatin through most of the cell cycle. The encoded protein may play a role in regulating sister chromatid cohesion during mitosis. Two transcript variants encoding different isoforms have been found for this gene.	PDS5A
PUM1	9698	93.848694	9698.0	pumilio RNA binding family member 1		This gene encodes a member of the PUF family, evolutionarily conserved RNA-binding proteins related to the Pumilio proteins of Drosophila and the fem-3 mRNA binding factor proteins of C. elegans. The encoded protein contains a sequence-specific RNA binding domain comprised of eight repeats and N- and C-terminal flanking regions, and serves as a translational regulator of specific mRNAs by binding to their 3' untranslated regions. The evolutionarily conserved function of the encoded protein in invertebrates and lower vertebrates suggests that the human protein may be involved in translational regulation of embryogenesis, and cell development and differentiation. Alternatively spliced transcript variants encoding different isoforms have been described.	PUM1
MTDH	92140	92.42383	92140.0	metadherin			MTDH
ZIC2	7546	96.16657	7546.0	Zic family member 2		This gene encodes a member of the ZIC family of C2H2-type zinc finger proteins. This protein functions as a transcriptional repressor and may regulate tissue specific expression of dopamine receptor D1. Expansion of an alanine repeat in the C-terminus of the encoded protein and other mutations in this gene cause holoprosencephaly type 5. Holoprosencephaly is the most common structural anomaly of the human brain. A polyhistidine tract polymorphism in this gene may be associated with increased risk of neural tube defects. This gene is closely linked to a gene encoding zinc finger protein of the cerebellum 5, a related family member on chromosome 13.	ZIC2
CLDN1	9076	96.99181	9076.0	claudin 1		Tight junctions represent one mode of cell-to-cell adhesion in epithelial or endothelial cell sheets, forming continuous seals around cells and serving as a physical barrier to prevent solutes and water from passing freely through the paracellular space. These junctions are comprised of sets of continuous networking strands in the outwardly facing cytoplasmic leaflet, with complementary grooves in the inwardly facing extracytoplasmic leaflet. The protein encoded by this gene, a member of the claudin family, is an integral membrane protein and a component of tight junction strands. Loss of function mutations result in neonatal ichthyosis-sclerosing cholangitis syndrome.	CLDN1
CLDN3	1365	97.94154	1365.0	claudin 3		Tight junctions represent one mode of cell-to-cell adhesion in epithelial or endothelial cell sheets, forming continuous seals around cells and serving as a physical barrier to prevent solutes and water from passing freely through the paracellular space. These junctions are comprised of sets of continuous networking strands in the outwardly facing cytoplasmic leaflet, with complementary grooves in the inwardly facing extracytoplasmic leaflet. The protein encoded by this intronless gene, a member of the claudin family, is an integral membrane protein and a component of tight junction strands. It is also a low-affinity receptor for Clostridium perfringens enterotoxin, and shares aa sequence similarity with a putative apoptosis-related protein found in rat.	CLDN3
VTA1	51534	97.632545	51534.0	vesicle trafficking 1		C6ORF55 encodes a protein involved in trafficking of the multivesicular body, an endosomal compartment involved in sorting membrane proteins for degradation in lysosomes (Ward et al., 2005 [PubMed 15644320]).	VTA1
